自動車メーカー,車種,型式,適合詳細,H/S,シートタイプ,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,商品名DB,スプリングタイプ,アッパーマウント(F/R),スプリングレート(F/R),仕様,備考,注意事項,定価,SET価格
スバル,BRZ,ZC6,,,,308700,,259664,ZS741SF3R2-qq-e-398k,ZS741SF3R2-qq-e-d-398k,ZS741SF3R2,ENDLESS,ZEAL SUPER FUNCTION,ZEAL SUPER FUNCTION,X COILS R,調整式ピロ/固定式ピロ,ID60-152-10K/ID60-152-10K+FELzS130,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>リザーブタンク追加可能<br>単筒正立式(ストラットタイプは単筒倒立式)<br>アルミシェルケース(ストラットタイプはスチールシェルケース),,,343000,272250
スバル,WRX STI,VAB,,,,313200,,259659,ZS709SF3R-qq-e-393k,ZS709SF3R-qq-e-d-393k,ZS709SF3R,ENDLESS,ZEAL SUPER FUNCTION,ZEAL SUPER FUNCTION,X COILS R,調整式ピロ/固定式ピロ,ID65-152-16K+FELzS150/ID65-152-10K+FELzS100,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>リザーブタンク追加可能<br>単筒正立式(ストラットタイプは単筒倒立式)<br>アルミシェルケース(ストラットタイプはスチールシェルケース),,,348000,279000
スバル,インプレッサ,GC8,,,,292500,,259613,ZS701SF3R-qq-e-347k,ZS701SF3R-qq-e-d-347k,ZS701SF3R,ENDLESS,ZEAL SUPER FUNCTION,ZEAL SUPER FUNCTION,X COILS R,調整式ピロ/調整式ピロ,ID60-178-10K/ID60-203-8K+FELzS130,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>リザーブタンク追加可能<br>単筒正立式(ストラットタイプは単筒倒立式)<br>アルミシェルケース(ストラットタイプはスチールシェルケース),,,325000,261750
スバル,インプレッサ,GDB,アプライドA/B/C/D,,,292500,,259620,ZS703SF3R-qq-e-354k,ZS703SF3R-qq-e-d-354k,ZS703SF3R,ENDLESS,ZEAL SUPER FUNCTION,ZEAL SUPER FUNCTION,X COILS R,調整式ピロ/調整式ピロ,ID60-203-12K/ID60-203-10K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>リザーブタンク追加可能<br>単筒正立式(ストラットタイプは単筒倒立式)<br>アルミシェルケース(ストラットタイプはスチールシェルケース),,,325000,261750
スバル,インプレッサ,GDB,アプライドE/F/G,,,292500,,259627,ZS705SF3R-qq-e-361k,ZS705SF3R-qq-e-d-361k,ZS705SF3R,ENDLESS,ZEAL SUPER FUNCTION,ZEAL SUPER FUNCTION,X COILS R,調整式ピロ/調整式ピロ,ID60-203-12K/ID60-203-10K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>リザーブタンク追加可能<br>単筒正立式(ストラットタイプは単筒倒立式)<br>アルミシェルケース(ストラットタイプはスチールシェルケース),,,325000,261750
スバル,インプレッサ,GRB,アプライドA/B,,,292500,,259634,ZS706SF3R-qq-e-368k,ZS706SF3R-qq-e-d-368k,ZS706SF3R,ENDLESS,ZEAL SUPER FUNCTION,ZEAL SUPER FUNCTION,X COILS R,調整式ピロ/固定式ピロ,ID60-178-14K/ID60-178-14K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>リザーブタンク追加可能<br>単筒正立式(ストラットタイプは単筒倒立式)<br>アルミシェルケース(ストラットタイプはスチールシェルケース),,,325000,261750
スバル,インプレッサ,GRB,アプライドC,,,292500,,259641,ZS707SF3R-qq-e-375k,ZS707SF3R-qq-e-d-375k,ZS707SF3R,ENDLESS,ZEAL SUPER FUNCTION,ZEAL SUPER FUNCTION,X COILS R,調整式ピロ/固定式ピロ,ID60-178-14K/ID60-178-14K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>リザーブタンク追加可能<br>単筒正立式(ストラットタイプは単筒倒立式)<br>アルミシェルケース(ストラットタイプはスチールシェルケース),,,325000,261750
スバル,インプレッサ,GVB,,,,292500,,259648,ZS708SF3R-qq-e-382k,ZS708SF3R-qq-e-d-382k,ZS708SF3R,ENDLESS,ZEAL SUPER FUNCTION,ZEAL SUPER FUNCTION,X COILS R,調整式ピロ/固定式ピロ,ID60-178-14K/ID60-178-14K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>リザーブタンク追加可能<br>単筒正立式(ストラットタイプは単筒倒立式)<br>アルミシェルケース(ストラットタイプはスチールシェルケース),,,325000,261750
トヨタ,86,ZN6,,,,308700,,259308,ZS242SF3R2-qq-e-42k,ZS242SF3R2-qq-e-d-42k,ZS242SF3R2,ENDLESS,ZEAL SUPER FUNCTION,ZEAL SUPER FUNCTION,X COILS R,調整式ピロ/固定式ピロ,ID60-152-10K/ID60-152-10K+FELzS130,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>リザーブタンク追加可能<br>単筒正立式(ストラットタイプは単筒倒立式)<br>アルミシェルケース(ストラットタイプはスチールシェルケース),ターンバックル調整式スタビリンクロッドが付属,,343000,272250
トヨタ,MR-S,ZZW30,,,,306000,,259289,ZS281SF3R-qq-e-23k,ZS281SF3R-qq-e-d-23k,ZS281SF3R,ENDLESS,ZEAL SUPER FUNCTION,ZEAL SUPER FUNCTION,X COILS R,調整式ピロ/調整式ピロ,ID60-178-6K/ID60-203-7K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>リザーブタンク追加可能<br>単筒正立式(ストラットタイプは単筒倒立式)<br>アルミシェルケース(ストラットタイプはスチールシェルケース),,,340000,270000
