自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,変化量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,車高変化量(F/R),変化量,バネレート(F/R),バンプラバー,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,MRワゴン,MF33S,H23/1～,R06A,2WD ターボ NA/T/X/G,Fr：33～38mm<br>Rr：33～38mm,11880,,225244,ESS-2200-qq-e-f1-4961,ESS-2200-qq-e-d-4961,4.53619E+12,ESS-2200,ESPELIR,DOWNSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,3/2.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213982>BR-915F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216003>BR-915R</a>,,,27000,26400,,
スズキ,MRワゴン,MF33S,H23/1～,R06A,4WD NA/X/G,,11880,,225985,ESS-2203-qq-e-f1-4963,ESS-2203-qq-e-d-4963,4.53619E+12,ESS-2203,ESPELIR,DOWNSUS,1台分,33～38/33～38,,3月2日,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215017>BR-915F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218845>BR-915R</a>,,,27000,26400,,
スズキ,MRワゴン,MF33S,H23/1～,R06A,4WD ターボ/T,Fr：35～40mm<br>Rr：33～38mm,11880,,223715,ESS-2202-qq-e-f1-4962,ESS-2202-qq-e-d-4962,4.53619E+12,ESS-2202,ESPELIR,DOWNSUS,1台分,35～40/33～38,Fr：35～40mm<br>Rr：33～38mm,3月2日,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219007>BR-915F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220867>BR-915R</a>,,,27000,26400,,
スズキ,MRワゴンWit,MF33S,H25/7～,R06A,2WD NA/LS/XS,,11880,,226742,ESS-2210-qq-e-f1-4965,ESS-2210-qq-e-d-4965,4.53619E+12,ESS-2210,ESPELIR,DOWNSUS,1台分,33～38/33～38,,3/2.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216000>BR-915F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217013>BR-915R</a>,,,27000,26400,,
スズキ,MRワゴンWit,MF33S,H25/7～,R06A,2WD ターボ/TS,,11880,,227403,ESS-2209-qq-e-f1-4964,ESS-2209-qq-e-d-4964,4.53619E+12,ESS-2209,ESPELIR,DOWNSUS,1台分,33～38/33～38,,3/2.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219008>BR-915F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219864>BR-915R</a>,,,27000,26400,,
スズキ,MRワゴンWit,MF33S,H25/7～,R06A,4WD NA/LS/XS,Fr：33～38mm<br>Rr：33～38mm,11880,,222930,ESS-2212-qq-e-f1-4967,ESS-2212-qq-e-d-4967,4.53619E+12,ESS-2212,ESPELIR,DOWNSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,3月2日,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216001>BR-915F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213987>BR-915R</a>,,,27000,26400,,
スズキ,MRワゴンWit,MF33S,H25/7～,R06A,4WD ターボ/TS,Fr：33～38mm<br>Rr：33～38mm,11880,,223717,ESS-2211-qq-e-f1-4966,ESS-2211-qq-e-d-4966,4.53619E+12,ESS-2211,ESPELIR,DOWNSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,3月2日,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/221015>BR-915F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218846>BR-915R</a>,,,27000,26400,,
スズキ,アルト,HA12S,H10/10～12/12,F6A,2WD NA 5ナンバー車,Fr：25～30mm<br>Rr：20～25mm,14080,,221758,ESS-2861-qq-e-f1-4807,ESS-2861-qq-e-d-4807,4.53619E+12,ESS-2861,ESPELIR,DOWNSUS,1台分,25～30/20～25,Fr：25～30mm<br>Rr：20～25mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215575>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215581>BR-774R</a>,,,32000,28500,,
スズキ,アルト,HA12S,H10/10～12/12,F6A,4WD NA 5ナンバー車,Fr：35～40mm<br>Rr：20～25mm,14080,,222335,ESS-2880-qq-e-f1-4816,ESS-2880-qq-e-d-4816,4.53619E+12,ESS-2880,ESPELIR,DOWNSUS,1台分,35～40/20～25,Fr：35～40mm<br>Rr：20～25mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220599>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218626>BR-774R</a>,,,32000,28500,,
スズキ,アルト,HA12S,H10/10～12/12,F6A,4WD ターボ 5ナンバー車,,14080,,226746,ESS-2879-qq-e-f1-4815,ESS-2879-qq-e-d-4815,4.53619E+12,ESS-2879,ESPELIR,DOWNSUS,1台分,35～40/20～25,,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213744>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213529>BR-774R</a>,,,32000,28500,,
スズキ,アルト,HA12S,H11/10～12/12,F6A,2WD エポターボ,Fr：25～30mm<br>Rr：20～25mm,14080,,222333,ESS-2867-qq-e-f1-4811,ESS-2867-qq-e-d-4811,4.53619E+12,ESS-2867,ESPELIR,DOWNSUS,1台分,25～30/20～25,Fr：25～30mm<br>Rr：20～25mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218618>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214597>BR-774R</a>,,,32000,28500,,
スズキ,アルト,HA12V,H10/10～12/12,F6A,2WD NA 4ナンバー車,Fr：25～30mm<br>Rr：20～25mm,14080,,224782,ESS-2865-qq-e-f1-4809,ESS-2865-qq-e-d-4809,4.53619E+12,ESS-2865,ESPELIR,DOWNSUS,1台分,25～30/20～25,Fr：25～30mm<br>Rr：20～25mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215576>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215582>BR-774R</a>,,,32000,28500,,
スズキ,アルト,HA12V,H10/10～12/12,F6A,4WD NA 4ナンバー車,Fr：35～40mm<br>Rr：20～25mm,14080,,224565,ESS-2881-qq-e-f1-4817,ESS-2881-qq-e-d-4817,4.53619E+12,ESS-2881,ESPELIR,DOWNSUS,1台分,35～40/20～25,Fr：35～40mm<br>Rr：20～25mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215577>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215583>BR-774R</a>,,,32000,28500,,
スズキ,アルト,HA22S,H10/10～12/12,F6A,2WD NA,Fr：25～30mm<br>Rr：20～25mm,14080,,223074,ESS-2869-qq-e-f1-4813,ESS-2869-qq-e-d-4813,4.53619E+12,ESS-2869,ESPELIR,DOWNSUS,1台分,25～30/20～25,Fr：25～30mm<br>Rr：20～25mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218619>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220602>BR-774R</a>,,,32000,28500,,
スズキ,アルト,HA22S,H10/10～12/12,F6A,4WD NA 5ナンバー車,,14080,,226091,ESS-2882-qq-e-f1-4818,ESS-2882-qq-e-d-4818,4.53619E+12,ESS-2882,ESPELIR,DOWNSUS,1台分,35～40/20～25,,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216603>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217580>BR-774R</a>,,,32000,28500,,
スズキ,アルト,HA23S,H12/12～16/9,F6A,2WD NA 5ナンバー車,Fr：25～30mm<br>Rr：20～25mm,14080,,224563,ESS-2871-qq-e-f1-4794,ESS-2871-qq-e-d-4794,4.53619E+12,ESS-2871,ESPELIR,DOWNSUS,1台分,25～30/20～25,Fr：25～30mm<br>Rr：20～25mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214259>BR-1317F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213746>BR-774R</a>,,,32000,28500
スズキ,アルト,HA23S,H12/12～16/9,F6A,4WD NA 5ナンバー車,Fr：35～40mm<br>Rr：20～25mm,14080,,225247,ESS-2883-qq-e-f1-4798,ESS-2883-qq-e-d-4798,4.53619E+12,ESS-2883,ESPELIR,DOWNSUS,1台分,35～40/20～25,Fr：35～40mm<br>Rr：20～25mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219257>BR-1317F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213526>BR-774R</a>,,,32000,28500
スズキ,アルト,HA24S,H16/9～21/12,K6A,2WD NA 5ナンバー車,,13200,,226858,ESS-2364-qq-e-f1-4732,ESS-2364-qq-e-d-4732,4.53619E+12,ESS-2364,ESPELIR,DOWNSUS,1台分,30～35/20～25,,2.8/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217310>BR-648F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217315>BR-648R</a>,,,30000,27600
スズキ,アルト,HA24S,H16/9～21/12,K6A,4WD NA 5ナンバー車,Fr：30～35mm<br>Rr：20～25mm,13200,,223836,ESS-2368-qq-e-f1-4736,ESS-2368-qq-e-d-4736,4.53619E+12,ESS-2368,ESPELIR,DOWNSUS,1台分,30～35/20～25,Fr：30～35mm<br>Rr：20～25mm,2.8/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217313>BR-648F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216566>BR-648R</a>,,,30000,27600
スズキ,アルト,HA24V,H16/9～21/12,K6A,2WD NA 4ナンバー車,,13200,,225989,ESS-2366-qq-e-f1-4734,ESS-2366-qq-e-d-4734,4.53619E+12,ESS-2366,ESPELIR,DOWNSUS,1台分,30～35/20～25,,2.8/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217312>BR-648F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217316>BR-648R</a>,,,30000,27600
スズキ,アルト,HA24V,H16/9～21/12,K6A,4WD NA 4ナンバー車,Fr：30～35mm<br>Rr：20～25mm,13200,,223837,ESS-2370-qq-e-f1-4738,ESS-2370-qq-e-d-4738,4.53619E+12,ESS-2370,ESPELIR,DOWNSUS,1台分,30～35/20～25,Fr：30～35mm<br>Rr：20～25mm,2.8/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216564>BR-648F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218338>BR-648R</a>,,,30000,27600
スズキ,アルト,HA25S,H21/12～,K6A,2WD NA,Fr：23～28mm<br>Rr：20～25mm,11440,,225406,ESS-1991-qq-e-f1-207,ESS-1991-qq-e-d-207,4.53619E+12,ESS-1991,ESPELIR,DOWNSUS,1台分,23～28/20～25,Fr：23～28mm<br>Rr：20～25mm,3月2日,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214002>BR-923F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216021>BR-923R</a>,,,26000,26000
スズキ,アルト,HA25V,H21/12～,K6A,2WD NA,Fr：23～28mm<br>Rr：20～25mm,11440,,223910,ESS-1994-qq-e-f1-208,ESS-1994-qq-e-d-208,4.53619E+12,ESS-1994,ESPELIR,DOWNSUS,1台分,23～28/20～25,Fr：23～28mm<br>Rr：20～25mm,3月2日,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219868>BR-923F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219869>BR-923R</a>,,,26000,26000
スズキ,アルト,HA36S,H26/12～,R06A,2WD NA/F/L/S/X,,9680,,226944,ESS-3072-qq-e-f1-5137,ESS-3072-qq-e-d-5137,4.53619E+12,ESS-3072,ESPELIR,DOWNSUS,1台分,32～37/30～35,,2.5/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219503>BR-1744F</a><br>リア:設定なし,,,22000,24300
スズキ,アルト,HA36S,H26/12～,R06A,4WD NA/F/L/S/X,,10560,,226943,ESS-3067-qq-e-f1-5136,ESS-3067-qq-e-d-5136,4.53619E+12,ESS-3067,ESPELIR,DOWNSUS,1台分,32～37/27～32,,2.5/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216718>BR-1744F</a><br>リア:設定なし,,,24000,25100
スズキ,アルトエコ,HA35S,H23/12～25/3,R06A,2WD/ECO-L/ECO-S,Fr：30～35mm<br>Rr：28～33mm,11440,,225560,ESS-2067-qq-e-f1-204,ESS-2067-qq-e-d-204,4.53619E+12,ESS-2067,ESPELIR,DOWNSUS,1台分,30～35/28～33,Fr：30～35mm<br>Rr：28～33mm,2.5/1.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216832>BR-1080F</a><br>リア:設定なし,,,26000,26000
スズキ,アルトエコ,HA35S,H25/3～,R06A,2WD/ECO-L/ECO-S,,11440,,226314,ESS-2065-qq-e-f1-205,ESS-2065-qq-e-d-205,4.53619E+12,ESS-2065,ESPELIR,DOWNSUS,1台分,30～35/28～33,,2.5/1.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215804>BR-1080F</a><br>リア:設定なし,,,26000,26000
スズキ,アルトエコ,HA35S,H25/3～,R06A,4WD/ECO-L/ECO-S,Fr：30～35mm<br>Rr：28～32mm,11880,,222331,ESS-1988-qq-e-f1-206,ESS-1988-qq-e-d-206,4.53619E+12,ESS-1988,ESPELIR,DOWNSUS,1台分,30～35/28～32,Fr：30～35mm<br>Rr：28～32mm,2.5/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215803>BR-1080F</a><br>リア:設定なし,,,27000,26400
スズキ,アルトターボRS,HA36S,H27/3～,R06A,2WD ターボ,Fr：32～37mm<br>Rr：32～37mm,10560,,223142,ESS-3070-qq-e-f1-5166,ESS-3070-qq-e-d-5166,4.53619E+12,ESS-3070,ESPELIR,DOWNSUS,1台分,32～37/32～37,Fr：32～37mm<br>Rr：32～37mm,1.94/1.9,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213807>BR-1767F</a><br>リア:設定なし,,,24000,25100
スズキ,アルトターボRS,HA36S,H27/3～,R06A,4WD ターボ,Fr：22～27mm<br>Rr：17～22mm,10560,,221656,ESS-3075-qq-e-f1-3697,ESS-3075-qq-e-d-3697,4.53619E+12,ESS-3075,ESPELIR,DOWNSUS,1台分,22～27/17～22,Fr：22～27mm<br>Rr：17～22mm,2.5/1.95,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217687>BR-1767F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213812>BR-1796R</a>,,,24000,25100
スズキ,アルトバン,HA23V,H12/12～16/9,F6A,2WD NA 4ナンバーバン,Fr：25～30mm<br>Rr：20～25mm,14080,,224564,ESS-2873-qq-e-f1-4796,ESS-2873-qq-e-d-4796,4.53619E+12,ESS-2873,ESPELIR,DOWNSUS,1台分,25～30/20～25,Fr：25～30mm<br>Rr：20～25mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216247>BR-1317F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217578>BR-774R</a>,,,32000,28500
