自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,変化量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,車高変化量(F/R),変化量,バネレート(F/R),バンプラバー,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,エブリイバン,DA62V,H13/9～17/7,K6A,4WD ターボ 4ナンバーバン/ジョインターボDX-II,Fr：12～17mm<br>Rr：12～17mm,11880,,222123,ESS-4791-qq-e-f1-3859,ESS-4791-qq-e-d-3859,4536190147912,ESS-4791,ESPELIR,DOWNSUS Plus,1台分,12～17/12～17,Fr：12～17mm<br>Rr：12～17mm,3/3.95,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219821>BR-431F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220292>BR-251R</a>,,,27000,26400,,
スズキ,エブリイバン,DA64V,H17/8～27/2,K6A,2WD NA/ターボ 1型～6型共通/ハイルーフ,,12760,,227080,ESS-3528-qq-e-f1-3903,ESS-3528-qq-e-d-3903,4536190135285,ESS-3528,ESPELIR,DOWNSUS Plus,1台分,22～27/22～27,,3.82/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218155>BR-737F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216907>BR-251R</a>,,,29000,27200,,
スズキ,エブリイバン,DA64V,H17/8～27/2,K6A,4WD NA/ターボ 1型～6型共通/ハイルーフ,Fr：22～27mm<br>Rr：20～25mm,12760,,222501,ESS-3529-qq-e-f1-3904,ESS-3529-qq-e-d-3904,4536190135292,ESS-3529,ESPELIR,DOWNSUS Plus,1台分,22～27/20～25,Fr：22～27mm<br>Rr：20～25mm,3.82/3.95,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214087>BR-737F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215885>BR-251R</a>,,,29000,27200,,
スズキ,エブリイワゴン,DA62W,H13/9～17/7,K6A,2WD NA ワゴン/ジョイポップ,Fr：8～13mm<br>Rr：17～22mm,11880,,224369,ESS-4794-qq-e-f1-3862,ESS-4794-qq-e-d-3862,4536190147943,ESS-4794,ESPELIR,DOWNSUS Plus,1台分,8～13/17～22,Fr：8～13mm<br>Rr：17～22mm,3/3.95,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220824>BR-431F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217274>BR-251R</a>,,,27000,26400,,
スズキ,エブリイワゴン,DA62W,H13/9～17/7,K6A,2WD ターボ ワゴン/ジョイポップターボ PZ/ジョイポップターボ/スポーツ,Fr：12～17mm<br>Rr：20～25mm,11880,,225150,ESS-4793-qq-e-f1-3861,ESS-4793-qq-e-d-3861,4536190147936,ESS-4793,ESPELIR,DOWNSUS Plus,1台分,12～17/20～25,Fr：12～17mm<br>Rr：20～25mm,3/3.95,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215753>BR-431F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215281>BR-251R</a>,,,27000,26400,,
スズキ,エブリイワゴン,DA62W,H13/9～17/7,K6A,4WD ターボ ワゴン/ジョイポップターボ,,11880,,226635,ESS-4795-qq-e-f1-3863,ESS-4795-qq-e-d-3863,4536190147950,ESS-4795,ESPELIR,DOWNSUS Plus,1台分,5～10/7～12,,3/3.95,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220825>BR-431F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213264>BR-251R</a>,,,27000,26400,,
スズキ,エブリイワゴン,DA64W,H17/8～27/2,K6A,2WD NA/ターボ ワゴン 1型～6型共通(標準ルーフ/ハイルーフ共通),,12760,,226317,ESS-3526-qq-e-f1-3901,ESS-3526-qq-e-d-3901,4536190135261,ESS-3526,ESPELIR,DOWNSUS Plus,1台分,27～32/22～27,,3.82/3.95,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214086>BR-737F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216906>BR-251R</a>,,,29000,27200,,
スズキ,エブリイワゴン,DA64W,H17/8～27/2,K6A,4WD NA/ターボ ワゴン 全車共通(標準ルーフ/ハイルーフ共通),,12760,,227079,ESS-3527-qq-e-f1-3902,ESS-3527-qq-e-d-3902,4536190135278,ESS-3527,ESPELIR,DOWNSUS Plus,1台分,27～32/22～27,,3.82/3.95,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217082>BR-737F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218926>BR-251R</a>,,,29000,27200,,
スズキ,クロスビーハイブリッド,MN71S,H29/12～,K10C,4WD HYBRID MZ/HYBRID MX,,12760,,226319,ESS-4419-qq-e-f1-5590,ESS-4419-qq-e-d-5590,4536190144195,ESS-4419,ESPELIR,DOWNSUS Plus,1台分,13～18/13～18,,3/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219991>BR-4417F</a><br>リア:設定なし,,,29000,27200,,
スズキ,スペーシア,MK42S,H27/5～H29/11,R06A,2WD NA S-エネチャージ車 G/X,Fr：10～15mm<br>Rr：10～15mm,12320,,224049,ESS-4422-qq-e-f1-4986,ESS-4422-qq-e-d-4986,4536190144225,ESS-4422,ESPELIR,DOWNSUS Plus,1台分,10～15/10～15,Fr：10～15mm<br>Rr：10～15mm,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214014>BR-966F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213598>BR-966R</a>,,,28000,26800,,
スズキ,スペーシア,MK42S,H27/5～H29/11,R06A,4WD NA S-エネチャージ車 G/X,Fr：17～22mm<br>Rr：20～25mm,12320,,224789,ESS-4423-qq-e-f1-4987,ESS-4423-qq-e-d-4987,4536190144232,ESS-4423,ESPELIR,DOWNSUS Plus,1台分,17～22/20～25,Fr：17～22mm<br>Rr：20～25mm,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214015>BR-966F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218662>BR-966R</a>,,,28000,26800,,
スズキ,スペーシア,MK42S,H27/5～H29/11,R06A,4WD ターボ/S-エネチャージ車/T,Fr：17～22mm<br>Rr：20～25mm,12320,,222336,ESS-4427-qq-e-f1-4991,ESS-4427-qq-e-d-4991,4536190144270,ESS-4427,ESPELIR,DOWNSUS Plus,1台分,17～22/20～25,Fr：17～22mm<br>Rr：20～25mm,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218656>BR-966F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219653>BR-966R</a>,,,28000,26800,,
スズキ,スペーシア,MK42S,H27/8～H29/11,R06A,2WD ターボ/S-エネチャージ車/T,,12320,,226750,ESS-4426-qq-e-f1-4990,ESS-4426-qq-e-d-4990,4536190144263,ESS-4426,ESPELIR,DOWNSUS Plus,1台分,10～15/15～20,,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218865>BR-966F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220646>BR-966R</a>,,,28000,26800,,
スズキ,スペーシアカスタム,MK42S,H27/5～H29/11,R06A,2WD NA S-エネチャージ車 GS/XS,,12320,,227083,ESS-4424-qq-e-f1-4988,ESS-4424-qq-e-d-4988,4536190144249,ESS-4424,ESPELIR,DOWNSUS Plus,1台分,10～15/15～20,,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214016>BR-966F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217621>BR-966R</a>,,,28000,26800,,
スズキ,スペーシアカスタム,MK42S,H27/5～H29/11,R06A,4WD NA S-エネチャージ車 GS/XS,Fr：17～22mm<br>Rr：20～25mm,12320,,223078,ESS-4425-qq-e-f1-4989,ESS-4425-qq-e-d-4989,4536190144256,ESS-4425,ESPELIR,DOWNSUS Plus,1台分,17～22/20～25,Fr：17～22mm<br>Rr：20～25mm,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215042>BR-966F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215627>BR-966R</a>,,,28000,26800,,
スズキ,スペーシアカスタム,MK42S,H27/8～H29/11,R06A,2WD ターボ/S-エネチャージ車/XSターボ,Fr：10～15mm<br>Rr：15～20mm,12320,,223841,ESS-4428-qq-e-f1-4992,ESS-4428-qq-e-d-4992,4536190144287,ESS-4428,ESPELIR,DOWNSUS Plus,1台分,10～15/15～20,Fr：10～15mm<br>Rr：15～20mm,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219640>BR-966F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215628>BR-966R</a>,,,28000,26800
スズキ,スペーシアカスタム,MK42S,H27/8～H29/11,R06A,4WD ターボ/S-エネチャージ車/XSターボ,,12320,,226092,ESS-4429-qq-e-f1-4993,ESS-4429-qq-e-d-4993,4536190144294,ESS-4429,ESPELIR,DOWNSUS Plus,1台分,17～22/20～25,,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216651>BR-966F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214656>BR-966R</a>,,,28000,26800
スズキ,スペーシアカスタムZ,MK42S,H28/12～H29/11,R06A,2WD NA/カスタムZ,Fr：10～15mm<br>Rr：15～20mm,12320,,225335,ESS-4436-qq-e-f1-4040,ESS-4436-qq-e-d-4040,4536190144362,ESS-4436,ESPELIR,DOWNSUS Plus,1台分,10～15/15～20,Fr：10～15mm<br>Rr：15～20mm,3/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214929>BR-2782F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218948>BR-2782R</a>,,,28000,26800
スズキ,スペーシアカスタムZ,MK42S,H28/12～H29/11,R06A,2WD ターボ/カスタムZ,Fr：10～15mm<br>Rr：15～20mm,12320,,225336,ESS-4437-qq-e-f1-4041,ESS-4437-qq-e-d-4041,4536190144379,ESS-4437,ESPELIR,DOWNSUS Plus,1台分,10～15/15～20,Fr：10～15mm<br>Rr：15～20mm,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218946>BR-2782F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213874>BR-2782R</a>,,,28000,26800
スズキ,スペーシアカスタムZ,MK42S,H28/12～H29/11,R06A,4WD NA/カスタムZ,Fr：17～22mm<br>Rr：20～25mm,12320,,223079,ESS-4438-qq-e-f1-4042,ESS-4438-qq-e-d-4042,4536190144386,ESS-4438,ESPELIR,DOWNSUS Plus,1台分,17～22/20～25,Fr：17～22mm<br>Rr：20～25mm,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215909>BR-2782F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215912>BR-2782R</a>,,,28000,26800
スズキ,スペーシアカスタムZ,MK42S,H28/12～H29/11,R06A,4WD ターボ/カスタムZ,,12320,,226862,ESS-4439-qq-e-f1-4043,ESS-4439-qq-e-d-4043,4536190144393,ESS-4439,ESPELIR,DOWNSUS Plus,1台分,17～22/20～25,,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218947>BR-2782F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216924>BR-2782R</a>,,,28000,26800
スズキ,スペーシアカスタムハイブリッド,MK53S,H29/12～,R06A,2WD HYBRID GS/HYBRID XS,Fr：15～20mm<br>Rr：10～15mm,11440,,224785,ESS-4394-qq-e-f1-5565,ESS-4394-qq-e-d-5565,4536190143945,ESS-4394,ESPELIR,DOWNSUS Plus,1台分,15～20/10～15,Fr：15～20mm<br>Rr：10～15mm,3/2.48,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220996>BR-4393F</a><br>リア:設定なし,,,26000,26000
スズキ,スペーシアカスタムハイブリッド,MK53S,H29/12～,R06A,2WD HYBRID XS ターボ,Fr：15～20mm<br>Rr：10～15mm,11440,,224787,ESS-4398-qq-e-f1-5569,ESS-4398-qq-e-d-5569,4536190143983,ESS-4398,ESPELIR,DOWNSUS Plus,1台分,15～20/10～15,Fr：15～20mm<br>Rr：10～15mm,3/2.48,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216980>BR-4393F</a><br>リア:設定なし,,,26000,26000
スズキ,スペーシアカスタムハイブリッド,MK53S,H29/12～,R06A,4WD HYBRID GS/HYBRID XS,Fr：10～15mm<br>Rr：10～15mm,12320,,225563,ESS-4396-qq-e-f1-5567,ESS-4396-qq-e-d-5567,4536190143969,ESS-4396,ESPELIR,DOWNSUS Plus,1台分,10～15/10～15,Fr：10～15mm<br>Rr：10～15mm,2.5/2.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214979>BR-4393F</a><br>リア:設定なし,,,28000,26800
スズキ,スペーシアカスタムハイブリッド,MK53S,H29/12～,R06A,4WD HYBRID XS ターボ,Fr：10～15mm<br>Rr：10～15mm,12320,,225564,ESS-4400-qq-e-f1-5571,ESS-4400-qq-e-d-5571,4536190144003,ESS-4400,ESPELIR,DOWNSUS Plus,1台分,10～15/10～15,Fr：10～15mm<br>Rr：10～15mm,2.5/2.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214980>BR-4393F</a><br>リア:設定なし,,,28000,26800
スズキ,スペーシアハイブリッド,MK53S,H29/12～,R06A,2WD HYBRID G/HYBRID X,Fr：15～20mm<br>Rr：10～15mm,11440,,224047,ESS-4402-qq-e-f1-5573,ESS-4402-qq-e-d-5573,4536190144027,ESS-4402,ESPELIR,DOWNSUS Plus,1台分,15～20/10～15,Fr：15～20mm<br>Rr：10～15mm,3/2.48,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217958>BR-4393F</a><br>リア:設定なし,,,26000,26000
スズキ,スペーシアハイブリッド,MK53S,H29/12～,R06A,4WD HYBRID G/HYBRID X,Fr：10～15mm<br>Rr：10～15mm,12320,,221761,ESS-4404-qq-e-f1-5575,ESS-4404-qq-e-d-5575,4536190144041,ESS-4404,ESPELIR,DOWNSUS Plus,1台分,10～15/10～15,Fr：10～15mm<br>Rr：10～15mm,2.5/2.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217960>BR-4393F</a><br>リア:設定なし,,,28000,26800
スバル,サンバーオープンデッキ,S321Q,H29/11～,KF,2WD NA,Fr：18～23mm<br>Rr：15～20mm,11220,,224735,ESF-4260-qq-e-f1-4489,ESF-4260-qq-e-d-4489,4536190142603,ESF-4260,ESPELIR,DOWNSUS Plus,1台分,18～23/15～20,Fr：18～23mm<br>Rr：15～20mm,2.7/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215955>BR-4202F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220989>BR-4202R</a>,,,25500,25800
スバル,サンバーオープンデッキ,S331Q,H29/11～,KF,4WD NA,,11220,,226266,ESF-4264-qq-e-f1-4493,ESF-4264-qq-e-d-4493,4536190142641,ESF-4264,ESPELIR,DOWNSUS Plus,1台分,18～23/15～20,,2.7/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216962>BR-4202F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215960>BR-4202R</a>,,,25500,25800
スバル,サンバーバン,S321B,H29/11～,KF,2WD NA/VB2シーター,Fr：18～23mm<br>Rr：13～18mm,11220,,225601,ESF-4224-qq-e-f1-4482,ESF-4224-qq-e-d-4482,4536190142245,ESF-4224,ESPELIR,DOWNSUS Plus,1台分,18～23/13～18,Fr：18～23mm<br>Rr：13～18mm,2.7/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216959>BR-4202F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216969>BR-4202R</a>,,,25500,25800
