自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,変化量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,車高変化量(F/R),変化量,バネレート(F/R),バンプラバー,備考,注意事項,定価,SET価格,,取付特記事項
AUDI,A1,8XCAX,H23/1～,CAX,1.4L ターボ/1.4T FSI,,14520,,226805,ESL-140-qq-e-f1-2359,ESL-140-qq-e-d-2359,4536190401403,ESL-140,ESPELIR,Super DOWNSUS,1台分,27～37/27～37,,2.5/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,33000,53900,,
AUDI,A3,8LAGN,96/9～,AGN,2WD/クワトロ不可,Fr：20～25mm<br>Rr：20～25mm,20680,,224230,ESL-018-qq-e-f1-2350,出さない,4536190400185,ESL-018,ESPELIR,Super DOWNSUS,1台分,20～25/20～25,Fr：20～25mm<br>Rr：20～25mm,2.4/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,47000,出さない,,
AUDI,A3,8PAXW,03/9～,AXW,2WD 2.0L/FSIスポーツ,Fr：20～25mm<br>Rr：20～25mm,17600,,225068,ESL-090-qq-e-f1-2351,ESL-090-qq-e-d-2351,4536190400901,ESL-090,ESPELIR,Super DOWNSUS,1台分,20～25/20～25,Fr：20～25mm<br>Rr：20～25mm,3.3/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,56800,,
AUDI,A3,8PAXX,04/10～06/7,AXX,2WD 2.0L ターボ/2.0T FSI スポーツバック,Fr：32～42mm<br>Rr：40～50mm,18480,,224977,ESL-157-qq-e-f1-2352,ESL-157-qq-e-d-2352,4536190401571,ESL-157,ESPELIR,Super DOWNSUS,1台分,32～42/40～50,Fr：32～42mm<br>Rr：40～50mm,2.4/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,57700,,
AUDI,A3,8PBLX/8PBLR,04/10～06/7,BLX/BLR,2WD 2.0L NA/2.0 FSI スポーツバック,,18480,,227161,ESL-158-qq-e-f1-2357,ESL-158-qq-e-d-2357,4536190401588,ESL-158,ESPELIR,Super DOWNSUS,1台分,32～42/40～50,,2.4/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,57700,,
AUDI,A3,8PBVY,06/7～07/3,BVY,2WD 2.0L NA/2.0 FSI スポーツバック,,18480,,226496,ESL-159-qq-e-f1-2354,ESL-159-qq-e-d-2354,4536190401595,ESL-159,ESPELIR,Super DOWNSUS,1台分,32～42/40～50,,2.4/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,57700,,
AUDI,A3,8PBWA,06/7～,BWA,2WD 2.0L/2.0T FSI ターボ スポーツバック,,18480,,227271,ESL-122-qq-e-f1-2353,ESL-122-qq-e-d-2353,4536190401229,ESL-122,ESPELIR,Super DOWNSUS,1台分,30～35/40～45,,2.4/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,57700,,
AUDI,A3,8PBYT/8PBZB,07/4～08/9,BYT/BZB,2WD 1.8L ターボ/1.8T FSI スポーツバック,,18480,,225623,ESL-155-qq-e-f1-2358,ESL-155-qq-e-d-2358,4536190401557,ESL-155,ESPELIR,Super DOWNSUS,1台分,32～42/40～50,,2.4/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,57700,,
AUDI,A3,8PCAX,08/9～,CAX,2WD 1.4L ターボ/1.4T FSI スポーツバック,,18480,,227160,ESL-154-qq-e-f1-2356,ESL-154-qq-e-d-2356,4536190401540,ESL-154,ESPELIR,Super DOWNSUS,1台分,32～42/40～50,,2.4/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,57700,,
AUDI,A3,8PCDA,08/9～,CDA,2WD 1.8L ターボ/1.8T FSI スポーツバック,Fr：32～42mm<br>Rr：40～50mm,18480,,223460,ESL-156-qq-e-f1-2355,ESL-156-qq-e-d-2355,4536190401564,ESL-156,ESPELIR,Super DOWNSUS,1台分,32～42/40～50,Fr：32～42mm<br>Rr：40～50mm,2.4/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,57700,,
AUDI,A4,8DAEBF,94/11～,ABE,1.8L/ターボ 4WD(1.8T クワトロ),Fr：25～30mm<br>Rr：25～30mm,21120,,225618,ESL-019-qq-e-f1-2349,出さない,4536190400192,ESL-019,ESPELIR,Super DOWNSUS,1台分,25～30/25～30,Fr：25～30mm<br>Rr：25～30mm,3.9/4.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,48000,出さない,,
AUDI,A4アバント,8KCDNF,H21/3～,CDN,2.0L ターボ/2.0TSFIクアトロ,,18920,,226807,ESL-147-qq-e-f1-2348,出さない,4536190401472,ESL-147,ESPELIR,Super DOWNSUS,1台分,20～25/20～25,,5.3/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,出さない,,
AUDI,TTクーペ,8NAUQ,02/12～,AUQ,2WD 1.8L ターボ 6速A/T(ティプトロニック),Fr：15～20mm<br>Rr：10～15mm,19800,,222788,ESL-080-qq-e-f1-2347,出さない,4536190400802,ESL-080,ESPELIR,Super DOWNSUS,1台分,15～20/10～15,Fr：15～20mm<br>Rr：10～15mm,3.8/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,45000,出さない,,
BMW,3シリーズ E36,318i,90/12～98/4,CA18,,Fr：30～35mm<br>Rr：10～15mm,18920,,224359,ESL-001-qq-e-f1-2343,ESL-001-qq-e-d-2343,4536190400017,ESL-001,ESPELIR,Super DOWNSUS,1台分,30～35/10～15,Fr：30～35mm<br>Rr：10～15mm,2.5/5.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,53100,,
BMW,3シリーズ E36,320i/323i/325i,92/6～98/4,CB/BF20/CB25,～92/5までの車両はスプリングの形状が違う為装着不可,,18920,,227331,ESL-002-qq-e-f1-2344,ESL-002-qq-e-d-2344,4536190400024,ESL-002,ESPELIR,Super DOWNSUS,1台分,30～35/10～15,,2.8/5.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,53100,,
BMW,3シリーズ E36,328i,92/6～98/4,286S,,Fr：30～35mm<br>Rr：20～25mm,18920,,223456,ESL-066-qq-e-f1-2345,ESL-066-qq-e-d-2345,4536190400666,ESL-066,ESPELIR,Super DOWNSUS,1台分,30～35/20～25,Fr：30～35mm<br>Rr：20～25mm,2.8/5.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,53100
BMW,3シリーズ E36,328iカブリオ,95/3～98/4,286S,,Fr：30～35mm<br>Rr：30～35mm,18920,,222057,ESL-091-qq-e-f1-2346,ESL-091-qq-e-d-2346,4536190400918,ESL-091,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,Fr：30～35mm<br>Rr：30～35mm,2.8/5.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,53100
BMW,3シリーズ E46,318Ci Mスポーツ,01/10～05/4,N42B20A,2WD 2.0L クーペ/318Ciベースグレード装着可,Fr：20～25mm<br>Rr：25～30mm,18920,,223552,ESL-087-qq-e-f1-2339,ESL-087-qq-e-d-2339,4536190400871,ESL-087,ESPELIR,Super DOWNSUS,1台分,20～25/25～30,Fr：20～25mm<br>Rr：25～30mm,2.3/4.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,53100
BMW,3シリーズ E46,318Ci Mスポーツ,01/2～01/9,194E,2WD 1.9L クーペ Mスポーツ,Fr：15～20mm<br>Rr：30～35mm,18920,,222789,ESL-087-qq-e-f1-2338,ESL-087-qq-e-d-2338,4536190400871,ESL-087,ESPELIR,Super DOWNSUS,1台分,15～20/30～35,Fr：15～20mm<br>Rr：30～35mm,2.3/4.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,53100
BMW,3シリーズ E46,318i,98/4～,AL19,4気筒エンジン搭載車,Fr：30～35mm<br>Rr：35～40mm,18920,,222699,ESL-032-qq-e-f1-2337,ESL-032-qq-e-d-2337,4536190400321,ESL-032,ESPELIR,Super DOWNSUS,1台分,30～35/35～40,Fr：30～35mm<br>Rr：35～40mm,2.3/4.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,53100
BMW,3シリーズ E46,318i Mスポーツ(AY20),01/10～05/4,N42B20A,2WD 2.0L 4ドア Mスポーツ,Fr：20～25mm<br>Rr：30～35mm,18920,,224978,ESL-165-qq-e-f1-2342,ESL-165-qq-e-d-2342,4536190401656,ESL-165,ESPELIR,Super DOWNSUS,1台分,20～25/30～35,Fr：20～25mm<br>Rr：30～35mm,2.3/4.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,53100
BMW,3シリーズ E46,320i,99/6～00/11,206S,2WD 2.0L 直列6気筒エンジン搭載車/Mスポーツ未確認,Fr：35～40mm<br>Rr：45～50mm,18920,,222060,ESL-105-qq-e-f1-2341,ESL-105-qq-e-d-2341,4536190401052,ESL-105,ESPELIR,Super DOWNSUS,1台分,35～40/45～50,Fr：35～40mm<br>Rr：45～50mm,2.3/4.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,53100
BMW,3シリーズ E46,320i(AV22),01/11～05/4,226S,2WD 2.2L,Fr：35～40mm<br>Rr：45～50mm,18920,,224235,ESL-105-qq-e-f1-2340,ESL-105-qq-e-d-2340,4536190401052,ESL-105,ESPELIR,Super DOWNSUS,1台分,35～40/45～50,Fr：35～40mm<br>Rr：45～50mm,2.3/4.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,53100
BMW,3シリーズ ツーリング,AL19,H11/10～,19 4E,2WD/318i ツーリング,,18920,,227497,ESL-137-qq-e-f1-2335,出さない,4536190401373,ESL-137,ESPELIR,Super DOWNSUS,1台分,30～35/15～20,,2.3/6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,出さない
BMW,3シリーズ ツーリング,AY20,H13/10～,N42B20A,2WD/318i ツーリング,Fr：30～35mm<br>Rr：15～20mm,18920,,223005,ESL-137-qq-e-f1-2336,出さない,4536190401373,ESL-137,ESPELIR,Super DOWNSUS,1台分,30～35/15～20,Fr：30～35mm<br>Rr：15～20mm,2.3/6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,出さない
BMW,5シリーズ E34,525i/535i,88/1～97/3,H25/H35,SOHCエンジン,,18920,,225882,ESL-003-qq-e-f1-2332,出さない,4536190400031,ESL-003,ESPELIR,Super DOWNSUS,1台分,30～35/10～15,,3.1/4.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,出さない
BMW,5シリーズ E34,525i-24V,91/9～97/3,HD25,DOHCエンジン,,19360,,226626,ESL-004-qq-e-f1-2333,出さない,4536190400048,ESL-004,ESPELIR,Super DOWNSUS,1台分,30～35/10～15,,3.2/4.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,44000,出さない
BMW,5シリーズ E34,530i/540i,88/1～97/3,HE30/HE40,,,19800,,225883,ESL-005-qq-e-f1-2334,出さない,4536190400055,ESL-005,ESPELIR,Super DOWNSUS,1台分,30～35/10～15,,3.1/4.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,45000,出さない
BMW,5シリーズ E39,525i/528i,95/12～,DM25/DM28,直列6気筒エンジン搭載車,,21120,,226385,ESL-020-qq-e-f1-2331,ESL-020-qq-e-d-2331,4536190400208,ESL-020,ESPELIR,Super DOWNSUS,1台分,30～35/15～20,,2.7/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,48000,55200
BMW,Z3 E40,CH19,96/4～,194S,1.9L ロードスター/Mテクニックを除く,Fr：25～30mm<br>Rr：15～20mm,18920,,223454,ESL-029-qq-e-f1-2329,出さない,4536190400291,ESL-029,ESPELIR,Super DOWNSUS,1台分,25～30/15～20,Fr：25～30mm<br>Rr：15～20mm,2.5/5.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,43000,出さない
