自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,変化量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,車高変化量(F/R),変化量,バネレート(F/R),バンプラバー,備考,注意事項,定価,SET価格,,取付特記事項
スバル,BRZ,ZC6,H24/3～H28/8,FA20,R/S(6M/T),Fr：15～20mm<br>Rr：15～20mm,15840,,223515,ESF-2614-qq-e-f1-5245,ESF-2614-qq-e-d-5245,4536190126146,ESF-2614,ESPELIR,Super DOWNSUS GT,1台分,15～20/15～20,Fr：15～20mm<br>Rr：15～20mm,3.2/5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220213>BR-2614F</a><br>リア:設定なし,,,36000,30200,,
スバル,BRZ,ZC6,H28/8～,FA20,R/S(6M/T),Fr：20～25mm<br>Rr：12～17mm,15840,,223596,ESF-2806-qq-e-f1-5246,ESF-2806-qq-e-d-5246,4536190128041,ESF-2806,ESPELIR,Super DOWNSUS GT,1台分,20～25/12～17,Fr：20～25mm<br>Rr：12～17mm,3.2/5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219220>BR-2614F</a><br>リア:設定なし,,,36000,30200,,
ダイハツ,コペン,L880K,H14/6～,JB-DET,V/X/S,Fr：7～12mm<br>Rr：7～12mm,10120,,223224,ESD-442-qq-e-f1-3058,ESD-442-qq-e-d-3058,4536190104427,ESD-442,ESPELIR,Super DOWNSUS GT,1台分,7～12/7～12,Fr：7～12mm<br>Rr：7～12mm,5/2.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219992>BR-442F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214983>BR-442R</a>,,,23000,24700,,
ダイハツ,コペン,L880K,H16/6～,JB-DET,セカンドアニバーサリーエディション,Fr：7～12mm<br>Rr：7～12mm,10120,,223225,ESD-442-qq-e-f1-3059,ESD-442-qq-e-d-3059,4536190104427,ESD-442,ESPELIR,Super DOWNSUS GT,1台分,7～12/7～12,Fr：7～12mm<br>Rr：7～12mm,5/2.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,23000,24700,,
トヨタ,MR2,SW20,H3/12～11/9,3S-GTE,ターボ車専用 1型装着不可,Fr：43～48mm<br>Rr：32～37mm,17160,,223172,EST-049-qq-e-f1-3025,EST-049-qq-e-d-3025,4536190100498,EST-049,ESPELIR,Super DOWNSUS GT,1台分,43～48/32～37,Fr：43～48mm<br>Rr：32～37mm,2.8/5.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,31400,,
トヨタ,アルテッツァ,SXE10,H10/10～17/7,3S-GE,2WD,Fr：35～40mm<br>Rr：40～45mm,18480,,223948,EST-230-qq-e-f1-3027,EST-230-qq-e-d-3027,4536190102300,EST-230,ESPELIR,Super DOWNSUS GT,1台分,35～40/40～45,Fr：35～40mm<br>Rr：40～45mm,6.4/5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215167>BR-225F</a><br>リア:設定なし,,,42000,32700,,
トヨタ,ウィッシュ,ZGE20W,H21/4～24/3,2ZR-FAE,2WD 1.8L/1.8S,,17600,,226121,EST-908-qq-e-f1-3028,EST-908-qq-e-d-3028,4536190109088,EST-908,ESPELIR,Super DOWNSUS GT,1台分,20～25/20～25,,3.4/4.9,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214364>BR-878F</a><br>リア:設定なし,,,40000,31800,,
日産,180SX,RS13/RPS13,H1/4～10/12,CA18DET/SR20DET,,,17600,,226416,ESN-161-qq-e-f1-3030,ESN-161-qq-e-d-3030,4536190101617,ESN-161,ESPELIR,Super DOWNSUS GT,1台分,33～38/27～32,,4.6/4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,31800,,
日産,シルビア,KS13/KPS13,H1/4～10/12,CA18DET/SR20DET,,Fr：38～43mm<br>Rr：27～32mm,17600,,221994,ESN-161-qq-e-f1-3031,ESN-161-qq-e-d-3031,4536190101617,ESN-161,ESPELIR,Super DOWNSUS GT,1台分,38～43/27～32,Fr：38～43mm<br>Rr：27～32mm,4.6/4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,31800,,
日産,シルビア,S14,H5/11～10/12,SR20DET,,,17600,,227182,ESN-162-qq-e-f1-3032,ESN-162-qq-e-d-3032,4536190101624,ESN-162,ESPELIR,Super DOWNSUS GT,1台分,38～43/27～32,,4.6/3.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,31800,,
日産,スカイライン,BCNR33,H7/1～10/12,RB26DETT,Vスペック,,17600,,227174,ESN-133-qq-e-f1-3037,ESN-133-qq-e-d-3037,4536190101334,ESN-133,ESPELIR,Super DOWNSUS GT,1台分,33～38/22～27,,5.6/6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,31800,,
日産,スカイライン,BCNR33,H7/1～10/12,RB26DETT,,,17600,,226408,ESN-133-qq-e-f1-3038,ESN-133-qq-e-d-3038,4536190101334,ESN-133,ESPELIR,Super DOWNSUS GT,1台分,33～38/22～27,,5.6/6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,31800,,
日産,スカイライン,BNR32,H1/8～7/1,RB26DETT,,,17600,,227173,ESN-132-qq-e-f1-3035,ESN-132-qq-e-d-3035,4536190101327,ESN-132,ESPELIR,Super DOWNSUS GT,1台分,43～48/32～37,,4.6/5.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,31800,,
日産,スカイライン,BNR34,H10/5～13/6,RB26DETT,,Fr：33～38mm<br>Rr：22～27mm,17600,,221984,ESN-133-qq-e-f1-3039,ESN-133-qq-e-d-3039,4536190101334,ESN-133,ESPELIR,Super DOWNSUS GT,1台分,33～38/22～27,Fr：33～38mm<br>Rr：22～27mm,5.6/6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,31800,,
日産,スカイライン,BNR34,H11/1～12/8,RB26DETT,Vスペック,,17600,,226927,ESN-633-qq-e-f1-3040,ESN-633-qq-e-d-3040,4536190106339,ESN-633,ESPELIR,Super DOWNSUS GT,1台分,33～38/17～22,,5.6/6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,31800,,
日産,スカイライン,CPV35,H15/2～,VQ35DE,3.5L,,18480,,226852,ESN-456-qq-e-f1-3041,ESN-456-qq-e-d-3041,4536190104564,ESN-456,ESPELIR,Super DOWNSUS GT,1台分,15～20/20～25,,7.3/8.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,32700
日産,スカイライン,ECR33,H5/8～10/5,RB25DET,,,17600,,227183,ESN-164-qq-e-f1-3036,ESN-164-qq-e-d-3036,4536190101648,ESN-164,ESPELIR,Super DOWNSUS GT,1台分,33～38/22～27,,3.8/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,31800
日産,スカイライン,HCR32,H1/5～5/8,RB20DET,,,17600,,225653,ESN-163-qq-e-f1-3034,ESN-163-qq-e-d-3034,4536190101631,ESN-163,ESPELIR,Super DOWNSUS GT,1台分,43～48/32～37,,4.8/4.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,31800
日産,スカイライン,HR31,S60/8～H1/4,RB20DET,GTS-Xターボ,,14960,,226407,ESN-122-qq-e-f1-3033,ESN-122-qq-e-d-3033,4536190101228,ESN-122,ESPELIR,Super DOWNSUS GT,1台分,38～43/32～37,,3/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,34000,39300
日産,パルサー,RNN14,H2/8～7/1,SR20DET,4WD ターボ GTI-R,Fr：35～40mm<br>Rr：25～30mm,13200,,224856,ESN-131-qq-e-f1-1243,ESN-131-qq-e-d-1243,4536190101310,ESN-131,ESPELIR,Super DOWNSUS GT,1台分,35～40/25～30,Fr：35～40mm<br>Rr：25～30mm,3/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,30000,27600
日産,フェアレディZ,Z33,H14/8～,VQ35DE,6M/T専用,,17160,,226157,ESN-423-qq-e-f1-3042,ESN-423-qq-e-d-3042,4536190104236,ESN-423,ESPELIR,Super DOWNSUS GT,1台分,17～22/17～22,,6.8/8.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218792>BR-423F</a><br>リア:設定なし,,,39000,31400
日産,フェアレディZ,Z33,H14/8～,VQ35DE,AT車専用,Fr：17～22mm<br>Rr：17～22mm,17160,,225394,ESN-572-qq-e-f1-3043,ESN-572-qq-e-d-3043,4536190105721,ESN-572,ESPELIR,Super DOWNSUS GT,1台分,17～22/17～22,Fr：17～22mm<br>Rr：17～22mm,6.8/8.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219816>BR-423F</a><br>リア:設定なし,,,39000,31400
日産,フェアレディZ,Z34,H20/12～,VQ37VHR,バージョンS/T/ST,Fr：22～27mm<br>Rr：18～23mm,17600,,223045,ESN-2616-qq-e-f1-3906,ESN-2616-qq-e-d-3906,4536190126160,ESN-2616,ESPELIR,Super DOWNSUS GT,1台分,22～27/18～23,Fr：22～27mm<br>Rr：18～23mm,6.8/8.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213194>BR-2615F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215177>BR-2615R</a>,,,40000,31800
日産,フェアレディZ,Z34,H20/12～,VQ37VHR,ベースグレード,Fr：22～27mm<br>Rr：18～23mm,17600,,223813,ESN-2615-qq-e-f1-3905,ESN-2615-qq-e-d-3905,4536190126153,ESN-2615,ESPELIR,Super DOWNSUS GT,1台分,22～27/18～23,Fr：22～27mm<br>Rr：18～23mm,6.8/8.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214188>BR-2615F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214189>BR-2615R</a>,,,40000,31800
ホンダ,NSX,NA1,H2/9～6/11,C30A,前期専用/タイプR除く,,17600,,225713,ESH-136-qq-e-f1-3044,ESH-136-qq-e-d-3044,4536190101365,ESH-136,ESPELIR,Super DOWNSUS GT,1台分,18～23/17～22,,4/4.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,36800
ホンダ,S2000,AP1,H11/4～,F20C,,,17160,,227494,ESH-348-qq-e-f1-3045,ESH-348-qq-e-d-3045,4536190103482,ESH-348,ESPELIR,Super DOWNSUS GT,1台分,28～33/17～22,,6/8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,この車両はスプリングをアブソーバーへセットし、車両側へ組み込むと遊びが出ないように設計されています,,39000,31400
ホンダ,S2000,AP2,H17/1～,F22C,,Fr：28～33mm<br>Rr：17～22mm,17160,,225527,ESH-348E-qq-e-f1-3046,ESH-348E-qq-e-d-3046,4536190003485,ESH-348E,ESPELIR,Super DOWNSUS GT,1台分,28～33/17～22,Fr：28～33mm<br>Rr：17～22mm,6/8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,この車両はスプリングをアブソーバーへセットし、車両側へ組み込むと遊びが出ないように設計されています,,39000,31400
ホンダ,シビックタイプR,FK8,H29/9～,K20C,2WD 2.0L ターボ,Fr：17～22mm<br>Rr：17～22mm,19800,,224964,ESH-4040-qq-e-f1-4409,ESH-4040-qq-e-d-4409,4536190140401,ESH-4040,ESPELIR,Super DOWNSUS GT,1台分,17～22/17～22,Fr：17～22mm<br>Rr：17～22mm,4.8/4.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219545>BR-4040F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216495>BR-4040R</a>,,,45000,53900
マツダ,RX-8,SE3P,H15/5～20/2,13B-MSP,,Fr：20～25mm<br>Rr：20～25mm,14960,,222593,ESM-464-qq-e-f1-3047,ESM-464-qq-e-d-3047,4536190104649,ESM-464,ESPELIR,Super DOWNSUS GT,1台分,20～25/20～25,Fr：20～25mm<br>Rr：20～25mm,3.8/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,34000,29300
マツダ,RX-8,SE3P,H16/11～20/2,13B-MSP,タイプE スポーツプレステージLTD A/T車,Fr：20～25mm<br>Rr：25～30mm,14960,,223360,ESM-464-qq-e-f1-3049,ESM-464-qq-e-d-3049,4536190104649,ESM-464,ESPELIR,Super DOWNSUS GT,1台分,20～25/25～30,Fr：20～25mm<br>Rr：25～30mm,3.8/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,34000,29300
