自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,変化量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,車高変化量(F/R),変化量,バネレート(F/R),バンプラバー,備考,注意事項,定価,SET価格,,取付特記事項
CHEVROLET,MW,ME34S,03/2～,M13A,2WD 1.3L 純正15インチ装着車,Fr：45～50mm<br>Rr：35～40mm,14960,,221953,ESL-170-qq-e-f1-3124,出さない,4536190401700,ESL-170,ESPELIR,Super DOWNSUS Type2,1台分,45～50/35～40,Fr：45～50mm<br>Rr：35～40mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219458>BRL-110F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213612>BRL-110R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります<br>この製品の塗装色は青色です,,34000,出さない,,
CHEVROLET,MW,ME34S,07/6～,M13A,2WD 1.3L/Vセレクション 純正14インチ装着車,,14960,,225738,ESL-170-qq-e-f1-3123,出さない,4536190401700,ESL-170,ESPELIR,Super DOWNSUS Type2,1台分,60～65/45～50,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218457>BRL-110F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218458>BRL-110R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります<br>この製品の塗装色は青色です,,34000,出さない,,
スズキ,MRワゴン,MF21S,H16/2～18/1,K6A,2WD NA 後期,Fr：52～57mm<br>Rr：45～50mm,11440,,225408,ESS-2017-qq-e-f1-3200,ESS-2017-qq-e-d-3200,4536190120175,ESS-2017,ESPELIR,Super DOWNSUS Type2,1台分,52～57/45～50,Fr：52～57mm<br>Rr：45～50mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217760>BR-380F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220793>BR-380R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000,,
スズキ,MRワゴン,MF21S,H16/2～18/1,K6A,2WD ターボ 後期,,11440,,226174,ESS-2016-qq-e-f1-3199,ESS-2016-qq-e-d-3199,4536190120168,ESS-2016,ESPELIR,Super DOWNSUS Type2,1台分,57～62/45～50,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220790>BR-380F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218785>BR-380R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000,,
スズキ,MRワゴン/MRワゴンWit,MF22S,H18/1～,K6A,2WD ターボ/NA/Wit 共通,,11440,,226172,ESS-2009-qq-e-f1-3198,ESS-2009-qq-e-d-3198,4536190120090,ESS-2009,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220595>BR-766F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217768>BR-380R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000,,
スズキ,アルト,HA12S,H10/10～12/12,F6A,2WD NA 5ナンバー車,Fr：47～52mm<br>Rr：50～55mm,11440,,224781,ESS-2862-qq-e-f1-4808,ESS-2862-qq-e-d-4808,4536190128621,ESS-2862,ESPELIR,Super DOWNSUS Type2,1台分,47～52/50～55,Fr：47～52mm<br>Rr：50～55mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217572>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214596>BR-774R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,26000,26000,,
スズキ,アルト,HA12S,H11/10～12/12,F6A,2WD エポターボ,Fr：47～52mm<br>Rr：50～55mm,11440,,222334,ESS-2868-qq-e-f1-4812,ESS-2868-qq-e-d-4812,4536190128683,ESS-2868,ESPELIR,Super DOWNSUS Type2,1台分,47～52/50～55,Fr：47～52mm<br>Rr：50～55mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220597>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218625>BR-774R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,26000,26000,,
スズキ,アルト,HA12V,H10/10～12/12,F6A,2WD NA 4ナンバー車,Fr：47～52mm<br>Rr：50～55mm,11440,,223839,ESS-2866-qq-e-f1-4810,ESS-2866-qq-e-d-4810,4536190128669,ESS-2866,ESPELIR,Super DOWNSUS Type2,1台分,47～52/50～55,Fr：47～52mm<br>Rr：50～55mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214593>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213528>BR-774R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000,,
スズキ,アルト,HA22S,H10/10～12/12,F6A,2WD NA,,11440,,226090,ESS-2870-qq-e-f1-4814,ESS-2870-qq-e-d-4814,4536190128706,ESS-2870,ESPELIR,Super DOWNSUS Type2,1台分,47～52/50～55,,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220598>BR-774F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220603>BR-774R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,26000,26000,,
スズキ,アルト,HA23S,H12/12～16/9,F6A,2WD NA 5ナンバー車,,11440,,226859,ESS-2872-qq-e-f1-4795,ESS-2872-qq-e-d-4795,4536190128720,ESS-2872,ESPELIR,Super DOWNSUS Type2,1台分,47～52/50～55,,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219256>BR-1317F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216607>BR-774R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,26000,26000,,
スズキ,アルト,HA24S,H16/9～21/12,K6A,2WD NA 5ナンバー車,Fr：57～62mm<br>Rr：47～52mm,11000,,223070,ESS-2363-qq-e-f1-4731,ESS-2363-qq-e-d-4731,4536190123633,ESS-2363,ESPELIR,Super DOWNSUS Type2,1台分,57～62/47～52,Fr：57～62mm<br>Rr：47～52mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215538>BR-648F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220353>BR-648R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,25000,25500,,
スズキ,アルト,HA24S,H16/9～21/12,K6A,4WD NA 5ナンバー車,Fr：58～63mm<br>Rr：47～52mm,11000,,224562,ESS-2367-qq-e-f1-4735,ESS-2367-qq-e-d-4735,4536190123671,ESS-2367,ESPELIR,Super DOWNSUS Type2,1台分,58～63/47～52,Fr：58～63mm<br>Rr：47～52mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215537>BR-648F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218337>BR-648R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,25000,25500,,
スズキ,アルト,HA24V,H16/9～21/12,K6A,2WD NA 4ナンバー車,Fr：57～62mm<br>Rr：47～52mm,11000,,225330,ESS-2365-qq-e-f1-4733,ESS-2365-qq-e-d-4733,4536190123657,ESS-2365,ESPELIR,Super DOWNSUS Type2,1台分,57～62/47～52,Fr：57～62mm<br>Rr：47～52mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217311>BR-648F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213512>BR-648R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,25000,25500,,
スズキ,アルト,HA24V,H16/9～21/12,K6A,4WD NA 4ナンバー車,,11000,,225990,ESS-2369-qq-e-f1-4737,ESS-2369-qq-e-d-4737,4536190123695,ESS-2369,ESPELIR,Super DOWNSUS Type2,1台分,58～63/47～52,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216563>BR-648F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215541>BR-648R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,25000,25500,,
スズキ,アルトバン,HA23V,H12/12～16/9,F6A,2WD NA 4ナンバーバン,,11440,,226860,ESS-2874-qq-e-f1-4797,ESS-2874-qq-e-d-4797,4536190128744,ESS-2874,ESPELIR,Super DOWNSUS Type2,1台分,47～52/50～55,,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218255>BR-1317F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218622>BR-774R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,26000,26000,,
スズキ,アルトラパン,HE21S,H14/1～20/11,K6A,"4WD NA 1型～6型/G,X,L,X2,モード",Fr：53～58mm<br>Rr：46～51mm,11440,,222381,ESS-2020-qq-e-f1-3194,ESS-2020-qq-e-d-3194,4536190120205,ESS-2020,ESPELIR,Super DOWNSUS Type2,1台分,53～58/46～51,Fr：53～58mm<br>Rr：46～51mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215943>BR-397F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213269>BR-397R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,アルトラパン,HE21S,H14/1～20/11,K6A,"4WD NA 1型～6型/G,X,L,X2,モード",Fr：53～58mm<br>Rr：46～51mm,11440,,225409,ESS-2020-qq-e-f1-3196,ESS-2020-qq-e-d-3196,4536190120205,ESS-2020,ESPELIR,Super DOWNSUS Type2,1台分,53～58/46～51,Fr：53～58mm<br>Rr：46～51mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214960>BR-397F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218238>BR-397R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,アルトラパン,HE21S,H14/1～20/11,K6A,"4WD NA 1型～6型/G,X,L,X2,モード",,11440,,226175,ESS-2020-qq-e-f1-3192,ESS-2020-qq-e-d-3192,4536190120205,ESS-2020,ESPELIR,Super DOWNSUS Type2,1台分,53～58/46～51,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214961>BR-397F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215286>BR-397R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,アルトラパン,HE21S,H14/10～20/11,K6A,4WD ターボ 1型～6型,Fr：53～58mm<br>Rr：46～51mm,11440,,225328,ESS-2021-qq-e-f1-3195,ESS-2021-qq-e-d-3195,4536190120212,ESS-2021,ESPELIR,Super DOWNSUS Type2,1台分,53～58/46～51,Fr：53～58mm<br>Rr：46～51mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216952>BR-397F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214288>BR-397R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,アルトラパン,HE21S,H14/10～20/11,K6A,4WD ターボ 1型～6型,Fr：53～58mm<br>Rr：46～51mm,11440,,225410,ESS-2021-qq-e-f1-3197,ESS-2021-qq-e-d-3197,4536190120212,ESS-2021,ESPELIR,Super DOWNSUS Type2,1台分,53～58/46～51,Fr：53～58mm<br>Rr：46～51mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217938>BR-397F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215287>BR-397R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,アルトラパン,HE21S,H14/10～20/11,K6A,4WD ターボ 1型～6型,,11440,,226088,ESS-2021-qq-e-f1-3193,ESS-2021-qq-e-d-3193,4536190120212,ESS-2021,ESPELIR,Super DOWNSUS Type2,1台分,53～58/46～51,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219961>BR-397F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214289>BR-397R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,アルトラパン,HE21S,H15/9～16/10,K6A,2WD ターボ 2型,Fr：58～63mm<br>Rr：48～53mm,11000,,223069,ESS-2362-qq-e-f1-4386,ESS-2362-qq-e-d-4386,4536190123626,ESS-2362,ESPELIR,Super DOWNSUS Type2,1台分,58～63/48～53,Fr：58～63mm<br>Rr：48～53mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215944>BR-397F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220231>BR-397R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,25000,25500
スズキ,アルトラパン,HE21S,H15/9～16/10,K6A,4WD ターボ 2型 SSグレード,,11000,,226089,ESS-2361-qq-e-f1-4385,ESS-2361-qq-e-d-4385,4536190123619,ESS-2361,ESPELIR,Super DOWNSUS Type2,1台分,50～55/35～40,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220799>BR-397F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216284>BR-397R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,25000,25500
スズキ,エブリイバン,DA17V,H27/2～,R06A,2WD ターボ/ジョインターボ 2WD NA/ジョイン/PC/PA/GA,Fr：43～48mm<br>Rr：33～38mm,12320,,225242,ESS-2184-qq-e-f1-3188,ESS-2184-qq-e-d-3188,4536190121844,ESS-2184,ESPELIR,Super DOWNSUS Type2,1台分,43～48/33～38,Fr：43～48mm<br>Rr：33～38mm,3.2/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215423>BR-1763F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218492>BR-1763R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,灯火類の高さが保安基準に抵触します,28000,26800
スズキ,エブリイバン,DA17V,H27/2～,R06A,4WD ターボ/ジョインターボ 4WD NA/ジョイン/PC/PA/GA,Fr：43～48mm<br>Rr：33～38mm,12320,,223714,ESS-2188-qq-e-f1-3189,ESS-2188-qq-e-d-3189,4536190121882,ESS-2188,ESPELIR,Super DOWNSUS Type2,1台分,43～48/33～38,Fr：43～48mm<br>Rr：33～38mm,3.2/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217433>BR-1763F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216438>BR-1763R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,灯火類の高さが保安基準に抵触します,28000,26800
スズキ,エブリイバン,DA62V,H13/9～17/7,K6A,2WD NA 4ナンバーバン/ジョイン/PC/PA,Fr：35～40mm<br>Rr：55～60mm,12320,,222931,ESS-2898-qq-e-f1-3841,ESS-2898-qq-e-d-3841,4536190128980,ESS-2898,ESPELIR,Super DOWNSUS Type2,1台分,35～40/55～60,Fr：35～40mm<br>Rr：55～60mm,2.8/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219819>BR-431F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214711>BR-251R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,28000,26800
スズキ,エブリイバン,DA62V,H13/9～17/7,K6A,2WD ターボ 4ナンバーバン/ジョインターボDX-II,Fr：50～55mm<br>Rr：48～53mm,12320,,223721,ESS-2897-qq-e-f1-3840,ESS-2897-qq-e-d-3840,4536190128973,ESS-2897,ESPELIR,Super DOWNSUS Type2,1台分,50～55/48～53,Fr：50～55mm<br>Rr：48～53mm,4.4/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217780>BR-431F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220739>BR-251R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,28000,26800
スズキ,エブリイバン,DA62V,H13/9～17/7,K6A,4WD NA 4ナンバーバン/ジョイン/PA/PC,,12320,,225992,ESS-2900-qq-e-f1-3843,ESS-2900-qq-e-d-3843,4536190129000,ESS-2900,ESPELIR,Super DOWNSUS Type2,1台分,50～55/50～55,,2.8/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220821>BR-431F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216741>BR-251R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,28000,26800
スズキ,エブリイバン,DA62V,H13/9～17/7,K6A,4WD ターボ 4ナンバーバン/ジョインターボDX-II,Fr：50～55mm<br>Rr：50～55mm,12320,,223722,ESS-2899-qq-e-f1-3842,ESS-2899-qq-e-d-3842,4536190128997,ESS-2899,ESPELIR,Super DOWNSUS Type2,1台分,50～55/50～55,Fr：50～55mm<br>Rr：50～55mm,2.8/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216795>BR-431F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218741>BR-251R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,28000,26800
