自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,変化量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,車高変化量(F/R),変化量,バネレート(F/R),バンプラバー,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,エブリイ,DA17V,H27/2～,R06A,4WD ターボ 4ナンバーバン,Fr：33～38mm<br>Rr：33～38mm,15400,,223913,ESS-2775-qq-e-f1-4013,ESS-2775-qq-e-d-4013,4536190127754,ESS-2775,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214922>BR-2758R</a>,,,35000,29700,,
スズキ,エブリイ,DA17W,H27/2～,R06A,4WD ターボ ワゴン,Fr：33～38mm<br>Rr：33～38mm,15400,,223912,ESS-2767-qq-e-f1-4011,ESS-2767-qq-e-d-4011,4536190127679,ESS-2767,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220957>BR-2758R</a>,,,35000,29700,,
スズキ,エブリイ,DA64V,H17/8～27/2,K6A,4WD ターボ 4ナンバーバン 1型～6型,Fr：33～38mm<br>Rr：33～38mm,15400,,224627,ESS-2741-qq-e-f1-3981,ESS-2741-qq-e-d-3981,4536190127419,ESS-2741,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216918>BR-2730R</a>,,,35000,29700,,
スズキ,エブリイ,DA64W,H17/8～27/2,K6A,4WD ターボ ワゴン 1型～6型,Fr：33～38mm<br>Rr：33～38mm,15400,,222119,ESS-2733-qq-e-f1-3977,ESS-2733-qq-e-d-3977,4536190127334,ESS-2733,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214918>BR-2730R</a>,,,35000,29700,,
スズキ,エブリイバン,DA17V,H27/2～,R06A,2WD NA 4ナンバーバン,Fr：33～38mm<br>Rr：33～38mm,15400,,225411,ESS-2758-qq-e-f1-4008,ESS-2758-qq-e-d-4008,4536190127587,ESS-2758,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217913>BR-2758R</a>,,,35000,29700,,
スズキ,エブリイバン,DA17V,H27/2～,R06A,2WD ターボ 4ナンバーバン,,15400,,226177,ESS-2759-qq-e-f1-4009,ESS-2759-qq-e-d-4009,4536190127594,ESS-2759,ESPELIR,Super UPSUS,1台分,33～38/33～38,,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216920>BR-2758R</a>,,,35000,29700,,
スズキ,エブリイバン,DA17V,H27/2～,R06A,4WD NA 4ナンバーバン,Fr：33～38mm<br>Rr：33～38mm,15400,,222385,ESS-2774-qq-e-f1-4012,ESS-2774-qq-e-d-4012,4536190127747,ESS-2774,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220958>BR-2758R</a>,,,35000,29700,,
スズキ,エブリイバン,DA64V,H17/8～27/2,K6A,2WD NA 4ナンバーバン 1型～6型,Fr：33～38mm<br>Rr：33～38mm,15400,,222120,ESS-2738-qq-e-f1-3978,ESS-2738-qq-e-d-3978,4536190127389,ESS-2738,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219931>BR-2730R</a>,,,35000,29700,,
スズキ,エブリイバン,DA64V,H17/8～27/2,K6A,2WD ターボ 4ナンバーバン 1型～6型,Fr：33～38mm<br>Rr：33～38mm,15400,,225145,ESS-2739-qq-e-f1-3979,ESS-2739-qq-e-d-3979,4536190127396,ESS-2739,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218934>BR-2730R</a>,,,35000,29700,,
スズキ,エブリイバン,DA64V,H17/8～27/2,K6A,4WD NA 4ナンバーバン 1型～6型,Fr：33～38mm<br>Rr：33～38mm,15400,,222121,ESS-2740-qq-e-f1-3980,ESS-2740-qq-e-d-3980,4536190127402,ESS-2740,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218935>BR-2730R</a>,,,35000,29700,,
スズキ,エブリイワゴン,DA17W,H27/2～,R06A,2WD ターボ ワゴン,Fr：33～38mm<br>Rr：33～38mm,15400,,221654,ESS-2766-qq-e-f1-4010,ESS-2766-qq-e-d-4010,4536190127662,ESS-2766,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217914>BR-2758R</a>,,,35000,29700,,
スズキ,エブリイワゴン,DA64W,H17/8～25/1,K6A,2WD NA ワゴン 1型～5型,Fr：33～38mm<br>Rr：33～38mm,15400,,224366,ESS-2730-qq-e-f1-3974,ESS-2730-qq-e-d-3974,4536190127303,ESS-2730,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219930>BR-2730R</a>,,,35000,29700,,
スズキ,エブリイワゴン,DA64W,H17/8～25/1,K6A,4WD NA ワゴン 1型～5型,,15400,,225888,ESS-2732-qq-e-f1-3976,ESS-2732-qq-e-d-3976,4536190127327,ESS-2732,ESPELIR,Super UPSUS,1台分,33～38/33～38,,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214917>BR-2730R</a>,,,35000,29700,,
スズキ,エブリイワゴン,DA64W,H17/8～27/2,K6A,2WD ターボ ワゴン 1型～6型,Fr：33～38mm<br>Rr：33～38mm,15400,,225144,ESS-2731-qq-e-f1-3975,ESS-2731-qq-e-d-3975,4536190127310,ESS-2731,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.81/3.81,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216917>BR-2730R</a>,,,35000,29700,,
スズキ,クロスビーハイブリッド,MN71S,H29/12～,K10C,2WD HYBRID MZ/HYBRID MX,Fr：33～38mm<br>Rr：33～38mm,14520,,223282,ESS-4421-qq-e-f1-6006,ESS-4421-qq-e-d-6006,4536190144218,ESS-4421,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,2.55/4.14,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,33000,28900,,
スズキ,ジムニー,JB23W,H10/10～,K6A,4WD ターボ,,17600,,226315,ESS-2069-qq-e-f1-6005,ESS-2069-qq-e-d-6005,4536190120694,ESS-2069,ESPELIR,Super UPSUS,1台分,約2インチ/約2インチ,,2.47/2.9,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,車高アップに伴い、アブソーバー・ブレーキライン・ラテラルロッド等は別途ご準備下さい,,40000,31800
スズキ,ハスラー,MR31S,H26/1～,R06A,2WD 5M/T車/A/G,Fr：約25mm<br>Rr：約25mm,12320,,222497,ESS-1700-qq-e-f1-3214,ESS-1700-qq-e-d-3214,4536190117007,ESS-1700,ESPELIR,Super UPSUS,1台分,約25mm/約25mm,Fr：約25mm<br>Rr：約25mm,2.5/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,28000,26800
スズキ,ハスラー,MR31S,H26/1～,R06A,2WD CVT車/A/G/Gターボ/X/Xターボ,Fr：約25mm<br>Rr：約25mm,12320,,224776,ESS-1620-qq-e-f1-3213,ESS-1620-qq-e-d-3213,4536190116208,ESS-1620,ESPELIR,Super UPSUS,1台分,約25mm/約25mm,Fr：約25mm<br>Rr：約25mm,2.5/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,28000,26800
スズキ,ハスラー,MR31S,H26/1～,R06A,4WD 5M/T車/A/G,Fr：約25mm<br>Rr：約25mm,12320,,224037,ESS-1615-qq-e-f1-3212,ESS-1615-qq-e-d-3212,4536190116154,ESS-1615,ESPELIR,Super UPSUS,1台分,約25mm/約25mm,Fr：約25mm<br>Rr：約25mm,2.5/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,28000,26800
スズキ,ハスラー,MR31S,H26/1～,R06A,4WD CVT車/A/G/Gターボ/X/Xターボ,Fr：約25mm<br>Rr：約25mm,12320,,224775,ESS-1589-qq-e-f1-3211,ESS-1589-qq-e-d-3211,4536190115898,ESS-1589,ESPELIR,Super UPSUS,1台分,約25mm/約25mm,Fr：約25mm<br>Rr：約25mm,2.5/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,28000,26800
スズキ,ハスラー,MR41S,H27/12～,R06A,2WD ターボ S-エネチャージ車 Gターボ/Xターボ,Fr：約25mm<br>Rr：約25mm,12320,,222382,ESS-2025-qq-e-f1-3209,ESS-2025-qq-e-d-3209,4536190120250,ESS-2025,ESPELIR,Super UPSUS,1台分,約25mm/約25mm,Fr：約25mm<br>Rr：約25mm,2.5/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,28000,26800
スズキ,ハスラー,MR41S,H27/12～,R06A,4WD ターボ S-エネチャージ車 Gターボ/Xターボ,Fr：約25mm<br>Rr：約25mm,12320,,222383,ESS-2026-qq-e-f1-3210,ESS-2026-qq-e-d-3210,4536190120267,ESS-2026,ESPELIR,Super UPSUS,1台分,約25mm/約25mm,Fr：約25mm<br>Rr：約25mm,2.5/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,28000,26800
スズキ,ハスラー,MR41S,H27/5～,R06A,2WD NA S-エネチャージ車 G/X,Fr：約25mm<br>Rr：約25mm,12320,,225076,ESS-1776-qq-e-f1-3207,ESS-1776-qq-e-d-3207,4536190117762,ESS-1776,ESPELIR,Super UPSUS,1台分,約25mm/約25mm,Fr：約25mm<br>Rr：約25mm,2.5/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,28000,26800
スズキ,ハスラー,MR41S,H27/5～,R06A,4WD NA S-エネチャージ車 G/X,,12320,,227340,ESS-1777-qq-e-f1-3208,ESS-1777-qq-e-d-3208,4536190117779,ESS-1777,ESPELIR,Super UPSUS,1台分,約25mm/約25mm,,2.5/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,28000,26800
スバル,インプレッサXV,GP7,H24/10～,FB20,4WD/2.0i/2.0i-L,Fr：約25mm<br>Rr：約25mm,19360,,222194,ESF-1802-qq-e-f1-3205,ESF-1802-qq-e-d-3205,4536190118028,ESF-1802,ESPELIR,Super UPSUS,1台分,約25mm/約25mm,Fr：約25mm<br>Rr：約25mm,4.2/3.9,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,44000,36500
スバル,インプレッサXVハイブリッド,GPE,H25/6～,FB20+モーター,4WD HYBRID/2.0i/2.0i-L,Fr：約25mm<br>Rr：約25mm,19360,,222980,ESF-1800-qq-e-f1-3206,ESF-1800-qq-e-d-3206,4536190118004,ESF-1800,ESPELIR,Super UPSUS,1台分,約25mm/約25mm,Fr：約25mm<br>Rr：約25mm,4.7/5.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,44000,36500
スバル,サンバーバン,S321B,H24/4～H29/10,KF,2WD NA/VB/VC,Fr：33～38mm<br>Rr：33～38mm,14520,,223346,ESF-2955-qq-e-f1-4106,ESF-2955-qq-e-d-4106,4536190129550,ESF-2955,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,4.18/4.27,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215441>BR-2955R</a>,,,33000,28900
スバル,サンバーバン,S321B,H24/4～H29/10,KF,2WD ターボ/VCターボ,Fr：33～38mm<br>Rr：33～38mm,14520,,221926,ESF-2957-qq-e-f1-4108,ESF-2957-qq-e-d-4108,4536190129574,ESF-2957,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,4.18/4.27,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213663>BR-2955R</a>,,,33000,28900
スバル,サンバーバン,S321B,H29/11～,KF,2WD NA/VB2シーター,Fr：33～38mm<br>Rr：33～38mm,14520,,221840,ESF-4287-qq-e-f1-4538,ESF-4287-qq-e-d-4538,4536190142870,ESF-4287,ESPELIR,Super UPSUS,1台分,33～38/33～38,Fr：33～38mm<br>Rr：33～38mm,4.18/4.27,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217501>BR-4281R</a>,,,33000,28900
スバル,サンバーバン,S321B,H29/11～,KF,2WD NA/VBクリーン,,14520,,226268,ESF-4285-qq-e-f1-4536,ESF-4285-qq-e-d-4536,4536190142856,ESF-4285,ESPELIR,Super UPSUS,1台分,33～38/33～38,,4.18/4.27,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214521>BR-4281R</a>,,,33000,28900
スバル,サンバーバン,S321B,H29/11～,KF,2WD NA/VC/トランスポーター,,14520,,226267,ESF-4281-qq-e-f1-4532,ESF-4281-qq-e-d-4532,4536190142818,ESF-4281,ESPELIR,Super UPSUS,1台分,33～38/33～38,,4.18/4.27,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214520>BR-4281R</a>,,,33000,28900
