自動車メーカー,車種,型式,エンジン型式,年式,適合詳細,ダウン量,バネレート【F/R】,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,注意事項,定価,送料,SET価格
スズキ,Kei,HN11S/HN12S/HN21S/HN22S,F6A/K6A,98/10～09/10,2WD 3.5Dr共通,Fr：30～35mm<br>Rr：30～35mm,3.0/2.5,バンプラバーカット,17802,,260584,BS002A-qq-e-381,BS002A-qq-e-d-381,BS002A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17000,1000,31200
スズキ,Keiワークス,HN22S,K6A,02/11～09/10,2WD/4WD共通,Fr：30～35mm<br>Rr：30～35mm,3.0/2.5,バンプラバーカット,17802,,260585,BS002A-qq-e-382,BS002A-qq-e-d-382,BS002A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17000,1000,31200
スズキ,MRワゴン,MF21S,K6A,01/12～05/12,NA/ターボ共通 2WD,Fr：40～45mm<br>Rr：40～45mm,2.9/2.6,バンプラバーカット,17802,,260606,BS011B-qq-e-383,BS011B-qq-e-d-383,BS011B,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17000,1000,31200
スズキ,MRワゴン,MF22S,K6A,06/1～11/1,2WD,Fr：35～40mm<br>Rr：35～40mm,3.1/2.3,リア純正チューブ再利用,17802,,260619,BS016A-qq-e-384,BS016A-qq-e-d-384,BS016A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17000,1000,31200
スズキ,MRワゴン,MF33S,R06A,11/1～,2WD NA/ターボ共通,Fr：40～45mm<br>Rr：40～45mm,2.4/2.5,,17802,,260640,BS023A-qq-e-385,BS023A-qq-e-d-385,BS023A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17000,1000,31200
スズキ,アルト,HA24S,K6A,04/9～09/12,2WD,Fr：30～35mm<br>Rr：30～35mm,3.0/2.3,,17802,,260646,BS027A-qq-e-386,BS027A-qq-e-d-386,BS027A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17000,1000,31200
スズキ,アルト,HA25S,K6A,09/12～,2WD,Fr：35～40mm<br>Rr：35～40mm,2.5/1.6,,18537,,260632,BS019B-qq-e-387,BS019B-qq-e-d-387,BS019B,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17800,1000,32000
スズキ,アルト,HA36S,R06A,14/12～,2WD NA,Fr：30～35mm<br>Rr：30～35mm,2.4/2.2,ノーマルダウン仕様<br>Fバンプラバー1巻(約30mm)要カット,18998,,260902,BS036A-qq-e-62k,BS036A-qq-e-d-62k,BS036A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18300,1000,32400
スズキ,アルト,HA36S,R06A,14/12～,2WD NA,Fr：15～20mm<br>Rr：15～20mm,2.2/1.9,ハーフダウン仕様,18998,,260901,BS035A-qq-e-61k,BS035A-qq-e-d-61k,BS035A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18300,1000,32400
スズキ,アルト,HA36S,R06A,14/12～,4WD NA,Fr：30～35mm<br>Rr：30～35mm,2.4/2.2,ノーマルダウン仕様<br>Fバンプラバー1巻(約30mm)要カット,18998,,260903,BS037A-qq-e-63k,BS037A-qq-e-d-63k,BS037A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18300,1000,32400
