自動車メーカー,車種,型式,適合詳細,リフトアップ量,バネレート【F/R】,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,備考,注意事項,定価,送料,SET価格
スズキ,エブリイバン,DA17V,2WD,Fr：25～30mm<br>Rr：30～35mm,2.5K/2.3K,20377,,260964,FK-UPSUS-qq-e-h-9k,FK-UPSUS-qq-e-d-h-9k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
スズキ,エブリイバン,DA64V,2WD,Fr：25～30mm<br>Rr：30～35mm,2.5K/2.3K,20377,,260962,FK-UPSUS-qq-e-h-7k,FK-UPSUS-qq-e-d-h-7k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
スズキ,エブリイワゴン,DA17W,2WD,Fr：25～30mm<br>Rr：25～30mm,2.5K/2.3K,20377,,260965,FK-UPSUS-qq-e-h-10k,FK-UPSUS-qq-e-d-h-10k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
スズキ,エブリイワゴン,DA64W,2WD,Fr：25～30mm<br>Rr：25～30mm,2.5K/2.3K,20377,,260963,FK-UPSUS-qq-e-h-8k,FK-UPSUS-qq-e-d-h-8k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
スズキ,ジムニー,JB64W,,Fr：40～45mm<br>Rr：35～40mm,2.5K/3.0K,27918,,260961,FK-UPSUS-qq-e-h-6k,FK-UPSUS-qq-e-d-h-6k,FINAL KONNEXION,EAGER UP SUS,車高が上がる事でリアショックが伸びきってしまうため、リアショク延長アダプターを推奨します。(45mmロングアダプター),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,28000,1000,41600
スズキ,ジムニー,JB64W,,※オプションパーツ<br>45mmロングアダプター,,7708,,260981,FK-UPSUS-qq-e-h-26k,出さない,FINAL KONNEXION,45mmロングアダプター,リアショックアダプター 2個セット,,6000,1000,出さない
スズキ,スペーシアギア,MK53S,4WD,Fr：25～30mm<br>Rr：25～30mm,2.0K/3.4K,20377,,260966,FK-UPSUS-qq-e-h-11k,FK-UPSUS-qq-e-d-h-11k,FINAL KONNEXION,EAGER UP SUS,,直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
スズキ,ハスラー,MR31S,2WD,Fr：25～30mm<br>Rr：30～35mm,2.5K/2.4K,20377,,260967,FK-UPSUS-qq-e-h-12k,FK-UPSUS-qq-e-d-h-12k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
スズキ,ハスラー,MR31S,4WD,Fr：20～25mm<br>Rr：25～30mm,2.5K/2.0K,20377,,260968,FK-UPSUS-qq-e-h-13k,FK-UPSUS-qq-e-d-h-13k,FINAL KONNEXION,EAGER UP SUS,,直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
スバル,サンバーバン,S321B,2WD,Fr：30～35mm<br>Rr：30～35mm,3.7K/3.6K,20377,,260978,FK-UPSUS-qq-e-h-23k,FK-UPSUS-qq-e-d-h-23k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
