自動車メーカー,車種,型式,年式,適合詳細,タイプ,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F/R),減衰力(F/R),スプリング kgf/mm(F/R),仕様,備考,注意事項,定価,送料,SET価格,C_SET価格,,規格1,パターン数,管理用コード,管理用コード
スズキ,スイフト,ZC31,,4WD車取付不可,Type-2,91726,82861,242723,FK-BASIC-qq-e-h-126k,FK-BASIC-qq-e-d-h-126k,FINAL KONNEXION,STEALTH Basic,ノーマルアッパー使用/別体式,倒立式/正立式,8/4,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
スバル,BRZ,ZC6,,4WD車取付不可,Type-1,91726,82861,243124,FK-BASIC-qq-e-h-79k,FK-BASIC-qq-e-d-h-79k,FINAL KONNEXION,STEALTH Basic,調整式/リジット,倒立式/正立式,10/8,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
スバル,インプレッサ,GDB,,後期(アプライドF/D)<br>4WD車取付不可,Type-1,118317,109453,243125,FK-BASIC-qq-e-h-81k,FK-BASIC-qq-e-d-h-81k,FINAL KONNEXION,STEALTH Basic,調整式/調整式,倒立式/倒立式,10/8,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,128000,2000,135200,126200,,,,,
スバル,インプレッサ,GDB/GDA,,前期<br>4WD車取付不可,Type-1,118317,109453,242590,FK-BASIC-qq-e-h-80k,FK-BASIC-qq-e-d-h-80k,FINAL KONNEXION,STEALTH Basic,調整式/調整式,倒立式/倒立式,10/8,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,128000,2000,135200,126200,,,,,
スバル,レガシィ,BH5/BE5,,4WD,Type-1,91726,82861,243126,FK-BASIC-qq-e-h-83k,FK-BASIC-qq-e-d-h-83k,FINAL KONNEXION,STEALTH Basic,調整式/ピロ固定式,倒立式/正立式,7/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,108200,99200,,,,,
スバル,レガシィB4,BP5/BL5,,4WD,Type-1,91726,82861,242591,FK-BASIC-qq-e-h-82k,FK-BASIC-qq-e-d-h-82k,FINAL KONNEXION,STEALTH Basic,調整式/ピロ固定式,倒立式/正立式,7/7,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,108200,99200,,,,,
トヨタ,86,ZN6,,4WD車取付不可,Type-1,91726,82861,242927,FK-BASIC-qq-e-h-37k,FK-BASIC-qq-e-d-h-37k,FINAL KONNEXION,STEALTH Basic,調整式/リジット,倒立式/正立式,10/8,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
トヨタ,MR2,SW20,,4WD車取付不可,Type-1,136044,127181,242928,FK-BASIC-qq-e-h-38k,FK-BASIC-qq-e-d-h-38k,FINAL KONNEXION,STEALTH Basic,調整式/固定式,倒立式/倒立式,6/8,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,148000,2000,150200,141200,,,,,
トヨタ,SAI,AZK10,,4WD車取付不可,Type-1 STD,91726,82861,242926,FK-BASIC-qq-e-h-35k,FK-BASIC-qq-e-d-h-35k,FINAL KONNEXION,STEALTH Basic,調整式/別体式,倒立式/正立式,8/5(特別形状),フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,ダウン量F:0～-120mm<br>ダウン量R:-10～-75mm,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
トヨタ,SAI,AZK10,,4WD車取付不可,Type-1 ハード,91726,82861,242751,FK-BASIC-qq-e-h-36k,FK-BASIC-qq-e-d-h-36k,FINAL KONNEXION,STEALTH Basic,調整式/別体式,倒立式/正立式,10/6(特別形状),フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,ダウン量F:0～-120mm<br>ダウン量R:-30～-90mm,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
トヨタ,アリスト,JZS14,,4WD車取付不可<br>エアサス車取付可,Type-1,91726,82861,242924,FK-BASIC-qq-e-h-2k,FK-BASIC-qq-e-d-h-2k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,16/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
トヨタ,アリスト,JZS14,,4WD車取付不可<br>エアサス車取付可,Type-2,91726,82861,242941,FK-BASIC-qq-e-h-85k,FK-BASIC-qq-e-d-h-85k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,16/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
トヨタ,アリスト,JZS16,,4WD車取付不可<br>エアサス車取付可,Type-1,91726,82861,243115,FK-BASIC-qq-e-h-3k,FK-BASIC-qq-e-d-h-3k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/8,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
トヨタ,アリスト,JZS16,,4WD車取付不可<br>エアサス車取付可,Type-2,91726,82861,242592,FK-BASIC-qq-e-h-86k,FK-BASIC-qq-e-d-h-86k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/8,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
トヨタ,アルテッツァ,SXE10/GXE10,,4WD車取付不可,Type-1,91726,82861,242918,FK-BASIC-qq-e-h-1k,FK-BASIC-qq-e-d-h-1k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,14/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200,,,,,
トヨタ,アルテッツァ,SXE10/GXE10,,4WD車取付不可,Type-2,91726,82861,243127,FK-BASIC-qq-e-h-84k,FK-BASIC-qq-e-d-h-84k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,14/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,ウィンダム,MCV20,,4WD車取付不可,Type-1,91726,82861,242750,FK-BASIC-qq-e-h-34k,FK-BASIC-qq-e-d-h-34k,FINAL KONNEXION,STEALTH Basic,調整式/固定式,倒立式/倒立式,8/6,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,下がり幅は、F:約6～7cm/R:約8～9cmとなります,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,ヴェロッサ,JZX110,,4WD車取付不可,Type-1,91726,82861,242748,FK-BASIC-qq-e-h-28k,FK-BASIC-qq-e-d-h-28k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,14/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,ヴェロッサ,JZX110,,4WD車取付不可,Type-2,91726,82861,242721,FK-BASIC-qq-e-h-111k,FK-BASIC-qq-e-d-h-111k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,14/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,クラウン,GRS18,,4WD車取付不可<br>エアサス車取付可,Type-1,91726,82861,242893,FK-BASIC-qq-e-h-10k,FK-BASIC-qq-e-d-h-10k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,クラウン,GRS18,,4WD車取付不可<br>エアサス車取付可,Type-2,91726,82861,242945,FK-BASIC-qq-e-h-93k,FK-BASIC-qq-e-d-h-93k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,クラウン,GRS181/GRS183,,4WD,Type-1,91726,82861,242558,FK-BASIC-qq-e-h-11k,FK-BASIC-qq-e-d-h-11k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,クラウン,GRS181/GRS183,,4WD,Type-2,91726,82861,242595,FK-BASIC-qq-e-h-94k,FK-BASIC-qq-e-d-h-94k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,クラウン,GRS200,,4WD車取付不可<br>エアサス車取付可,Type-1,91726,82861,242561,FK-BASIC-qq-e-h-12k,FK-BASIC-qq-e-d-h-12k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,クラウン,GRS200,,4WD車取付不可<br>エアサス車取付可,Type-2,91726,82861,242946,FK-BASIC-qq-e-h-95k,FK-BASIC-qq-e-d-h-95k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,クラウン,GRS201/GRS203,,4WD,Type-1,91726,82861,242901,FK-BASIC-qq-e-h-13k,FK-BASIC-qq-e-d-h-13k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,クラウン,GRS201/GRS203,,4WD,Type-2,91726,82861,242596,FK-BASIC-qq-e-h-96k,FK-BASIC-qq-e-d-h-96k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,クラウン,GRS204,,4WD車取付不可<br>エアサス車取付可,Type-1,91726,82861,242732,FK-BASIC-qq-e-h-14k,FK-BASIC-qq-e-d-h-14k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>ピロアッパーマウント<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
トヨタ,クラウン,GRS204,,4WD車取付不可<br>エアサス車取付可,Type-2,91726,82861,242764,FK-BASIC-qq-e-h-97k,FK-BASIC-qq-e-d-h-97k,FINAL KONNEXION,STEALTH Basic,固定式/固定式,正立式/正立式,12/10,フルタップ・全長調整式<br>倒立式ショック(ストラットサス)<br>リジットマウントタイプ<br>減衰力25段調整機能付<br>単筒式ショック<br>ダストブーツ付<br>オーバーホール可能,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
