自動車メーカー,車種,型式,年式,適合詳細,タイプ,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F/R),減衰力(F/R),スプリング kgf/mm(F/R),仕様,備考,注意事項,定価,送料,SET価格,C_SET価格,,規格1,パターン数,管理用コード,管理用コード
スバル,インプレッサ,GDB,,後期(アプライドF/D)<br>4WD車取付不可,Type-1,140477,131613,242959,FK-COMP-qq-e-h-57k,FK-COMP-qq-e-d-h-57k,FINAL KONNEXION,STEALTH Complete,調整式/調整式,倒立式/倒立式,10/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,153000,2000,157700,148700,,,,,
スバル,インプレッサ,GDB/GDA,,前期<br>4WD車取付不可,Type-1,140477,131613,243137,FK-COMP-qq-e-h-56k,FK-COMP-qq-e-d-h-56k,FINAL KONNEXION,STEALTH Complete,調整式/調整式,倒立式/倒立式,10/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,153000,2000,157700,148700,,,,,
スバル,インプレッサ,GVB,,4WD車取付不可,Type-1,122748,113885,242607,FK-COMP-qq-e-h-55k,FK-COMP-qq-e-d-h-55k,FINAL KONNEXION,STEALTH Complete,調整式/固定式,倒立式/正立式,9/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,139700,130700,,,,,
スバル,レガシィ,BH5,,4WD,Type-1,122748,113885,242608,FK-COMP-qq-e-h-59k,FK-COMP-qq-e-d-h-59k,FINAL KONNEXION,STEALTH Complete,ピロ調整/ピロ固定,倒立式/正立式,7/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,139700,130700,,,,,
スバル,レガシィB4,BP5/BPE/BL5,,4WD,Type-1,122748,113885,243138,FK-COMP-qq-e-h-58k,FK-COMP-qq-e-d-h-58k,FINAL KONNEXION,STEALTH Complete,ピロ調整/ピロ固定,倒立式/正立式,7/7,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,139700,130700,,,,,
トヨタ,アリスト,JZS14,,4WD車取付不可,Type-1,113885,105021,242784,FK-COMP-qq-e-h-9k,FK-COMP-qq-e-d-h-9k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,16/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,アリスト,JZS14,,4WD車取付不可,Type-2,113885,105021,243278,FK-COMP-qq-e-h-64k,FK-COMP-qq-e-d-h-64k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,16/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,アリスト,JZS160,,4WD車取付不可,Type-1,113885,105021,242598,FK-COMP-qq-e-h-10k,FK-COMP-qq-e-d-h-10k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,アリスト,JZS160,,4WD車取付不可,Type-2,113885,105021,243139,FK-COMP-qq-e-h-65k,FK-COMP-qq-e-d-h-65k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,アルテッツァ,SXE10/GXE10,,4WD車取付不可,Type-1,113885,105021,242617,FK-COMP-qq-e-h-8k,FK-COMP-qq-e-d-h-8k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,アルテッツァ,SXE10/GXE10,,4WD車取付不可,Type-2,113885,105021,242778,FK-COMP-qq-e-h-63k,FK-COMP-qq-e-d-h-63k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,ヴェロッサ,JZX110,,4WD車取付不可,Type-1,113885,105021,242771,FK-COMP-qq-e-h-28k,FK-COMP-qq-e-d-h-28k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,ヴェロッサ,JZX110,,4WD車取付不可,Type-2,113885,105021,242964,FK-COMP-qq-e-h-83k,FK-COMP-qq-e-d-h-83k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,クラウン,GRS18,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,242948,FK-COMP-qq-e-h-16k,FK-COMP-qq-e-d-h-16k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,クラウン,GRS18,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,243140,FK-COMP-qq-e-h-71k,FK-COMP-qq-e-d-h-71k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,クラウン,GRS200,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,242600,FK-COMP-qq-e-h-17k,FK-COMP-qq-e-d-h-17k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウン,GRS200,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,242612,FK-COMP-qq-e-h-72k,FK-COMP-qq-e-d-h-72k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウン,GRS210,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,242601,FK-COMP-qq-e-h-18k,FK-COMP-qq-e-d-h-18k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウン,GRS210,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,243279,FK-COMP-qq-e-h-73k,FK-COMP-qq-e-d-h-73k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウン,JZS15,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,242599,FK-COMP-qq-e-h-14k,FK-COMP-qq-e-d-h-14k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウン,JZS15,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,242611,FK-COMP-qq-e-h-69k,FK-COMP-qq-e-d-h-69k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウン,JZS17,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,242768,FK-COMP-qq-e-h-15k,FK-COMP-qq-e-d-h-15k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウン,JZS17,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,242780,FK-COMP-qq-e-h-70k,FK-COMP-qq-e-d-h-70k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウンマジェスタ,JZS14,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,242963,FK-COMP-qq-e-h-74k,FK-COMP-qq-e-d-h-74k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,16/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウンマジェスタ,JZS14,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,243131,FK-COMP-qq-e-h-19k,FK-COMP-qq-e-d-h-19k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,16/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウンマジェスタ,JZS15/UZS15,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,242769,FK-COMP-qq-e-h-20k,FK-COMP-qq-e-d-h-20k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,16/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウンマジェスタ,JZS15/UZS15,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,242781,FK-COMP-qq-e-h-75k,FK-COMP-qq-e-d-h-75k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,16/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウンマジェスタ,JZS17/UZS17,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,242782,FK-COMP-qq-e-h-76k,FK-COMP-qq-e-d-h-76k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
