自動車メーカー,車種,型式,年式,適合詳細,タイプ,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F/R),減衰力(F/R),スプリング kgf/mm(F/R),仕様,備考,注意事項,定価,送料,SET価格,C_SET価格
スズキ,MRワゴン,MF22S,06/01～11/01,4WD車取付不可,,91726,82861,242702,FK-MINI-qq-e-h-48k,FK-MINI-qq-e-d-h-48k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/3.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,MRワゴン,MF33S,11/01～,4WD車取付不可,,91726,82861,243236,FK-MINI-qq-e-h-49k,FK-MINI-qq-e-d-h-49k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,4/2.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用<br>車高の高さによっては、スタビライザーがロアアームに干渉及び、スタビリンクが装着出来ない恐れあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,アルト,HA24S,04/09～09/12,4WD車取付不可,,91726,82861,242695,FK-MINI-qq-e-h-32k,FK-MINI-qq-e-d-h-32k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/3.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,アルト,HA36S,,4WD車取付不可<br>スタビライザー付き車、無し車確認必要,,91726,82861,243232,FK-MINI-qq-e-h-33k,FK-MINI-qq-e-d-h-33k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,5/4(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,アルトワークス,HA21S,94/11～98/10,4WD車取付不可,,91726,82861,243047,FK-MINI-qq-e-h-28k,FK-MINI-qq-e-d-h-28k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/正立式,6/4.5(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,アルトワークス,HA22S,98/10～01/05,4WD車取付不可,,91726,82861,243230,FK-MINI-qq-e-h-29k,FK-MINI-qq-e-d-h-29k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/正立式,6/4.5(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,アルトワークス/アルトRS,HA36S,,4WD<br>スタビライザー付無確認,,91726,82861,242856,FK-MINI-qq-e-h-31k,FK-MINI-qq-e-d-h-31k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,6/3.3(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,アルトワークス/アルトRS,HA36S,,スタビライザー付車<br>4WD車取付不可,,91726,82861,243231,FK-MINI-qq-e-h-30k,FK-MINI-qq-e-d-h-30k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,5/4(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,エブリイ,DA17V/DA17W,,2WD/4WD,,91726,82861,243239,FK-MINI-qq-e-h-56k,FK-MINI-qq-e-d-h-56k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/4.3(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,エブリイ,DA52V/DA52W,99/01～05/07,2WD/4WD,,91726,82861,242863,FK-MINI-qq-e-h-53k,FK-MINI-qq-e-d-h-53k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/4.3(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
