自動車メーカー,車種,型式,年式,適合詳細,タイプ,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F/R),減衰力(F/R),スプリング kgf/mm(F/R),仕様,備考,注意事項,定価,掛け,送料,SET価格,C_SET価格
スズキ,MRワゴン/MRワゴンWit,MF33S,11/01～,FF,,75594,71162,243017,FK-KIDS-qq-e-h-6k,FK-KIDS-qq-e-d-h-6k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,5/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,車高の高さによっては、スタビライザーがロアアームに干渉、及びスタビリンクが装着出来ない恐れがあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,アルトワークス/アルトRS,HA12S/HA22S,98/10～01/05,FF/4WD<br>1～2型,,75594,71162,242832,FK-KIDS-qq-e-h-8k,FK-KIDS-qq-e-d-h-8k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,4/2.8(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,スペーシア,MK32S/MK42S,13/03～,FF,,75594,71162,243199,FK-KIDS-qq-e-h-19k,FK-KIDS-qq-e-d-h-19k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,5/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,車高の高さによっては、スタビライザーがロアアームに干渉、及びスタビリンクが装着出来ない恐れがあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,ハスラー,MR31S/MR41S,14/01～,FF/4WD,,75594,71162,243200,FK-KIDS-qq-e-h-20k,FK-KIDS-qq-e-d-h-20k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,5/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,パレット,MK21S,08/01～,FF/4WD,,75594,71162,242833,FK-KIDS-qq-e-h-9k,FK-KIDS-qq-e-d-h-9k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,6/3.5(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,ラパン,HE22S,08/11～,FF/4WD<br>1型～,,75594,71162,243202,FK-KIDS-qq-e-h-7k,FK-KIDS-qq-e-d-h-7k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,4/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,ワゴンR,MC11S/MC12S/MC21S/MC22S,98/10～02/03,FF/4WD<br>1～4型前期,,75594,71162,243196,FK-KIDS-qq-e-h-10k,FK-KIDS-qq-e-d-h-10k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,4/2.8(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,ワゴンR,MH23S,08/09～,FF/4WD,,75594,71162,242664,FK-KIDS-qq-e-h-11k,FK-KIDS-qq-e-d-h-11k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,4/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,ワゴンR,MH34S/MH44S,12/09～,FF,,75594,71162,243006,FK-KIDS-qq-e-h-12k,FK-KIDS-qq-e-d-h-12k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,4/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,車高の高さによっては、スタビライザーがロアアームに干渉、及びスタビリンクが装着出来ない恐れがあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,ワゴンR,MH35S/MH55S,17/02～,FF<br>MH35S(FA)/MH55S(FX)<br>スタビライザー無車,,75594,71162,243007,FK-KIDS-qq-e-h-13k,FK-KIDS-qq-e-d-h-13k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,6/4(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
