自動車メーカー,車種,型式,エンジン,年式,適合詳細,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,フルキット設定バネレート【F/R】N/mm(kgf/mm),自由長【F/R】(mm),減衰力 ピストン速度 0.1m/sec 減衰力値N F:伸び側/縮み側,減衰力 ピストン速度 0.1m/sec 減衰力値N R:伸び側/縮み側,車高情報出荷時(最大上限～最大下限)【F/R】,備考,商品について,定価,SET価格,C_SET価格
スバル,BRZ,ZC6,FA20,12/03～,,140521,133946,127351,80230-AF012V-qq-e-33,80230-AF012V-qq-e-d-33,80230-AF012V,HKS,マックス IV GT Spec-A,F=39+19(4+2)/R=39+19(4+2),200/170,400/300,350/350,-25(0～61)/-28(0～45),車高データは年改E型(16/08-)のもの<br>年改A-D型(12/04-16/07)に装着する場合、出荷時状態では保安基準適合となりません<br>取扱説明書を参考にウインカーおよびフォグランプ高さが保安基準を満たすように車高調整してください<br>後期86AT車で確認,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,204000,151700,143600
スバル,WRX,VAG,FA20,14/08～,ターボ,140521,133946,127350,80230-AF009V-qq-e-34,80230-AF009V-qq-e-d-34,80230-AF009V,HKS,マックス IV GT Spec-A,F=49+19(5+2)/R=39+19(4+2),250/220(Barrel),1000/490,370/350,-19(0～33)/-20(0～30),フロント・リアともにバネレート19N/mm(2kgf/mm)相当のバンプラバーを併用<br>FA20 6MT 北米左ハンドル(MAX4GTのデータを元に算出),フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,204000,154700,146600
スバル,WRX STI,VAB,EJ20,14/08～,ターボ<br>EJ20 6MT stdグレードリヤスポ付,140521,133946,127099,80230-AF009V-qq-e-36,80230-AF009V-qq-e-d-36,80230-AF009V,HKS,マックス IV GT Spec-A,F=49+19(5+2)/R=39+19(4+2),250/220(Barrel),1000/490,370/350,-19(0～34)/-20(0～35),フロント・リアともにバネレート19N/mm(2kgf/mm)相当のバンプラバーを併用,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,204000,154700,146600
スバル,WRX STI,VAF,EJ25,14/＊＊～,ターボ,140521,133946,127470,80230-AF009V-qq-e-35,80230-AF009V-qq-e-d-35,80230-AF009V,HKS,マックス IV GT Spec-A,F=49+19(5+2)/R=39+19(4+2),250/220(Barrel),1000/490,370/350,-19(0～30)/-20(0～31),車高データは北米仕様2.5Lのもの(北米 EJ25 6MT(Max4GTのデータを元に算出))<br>フロント・リアともにバネレート19N/mm(2kgf/mm)相当のバンプラバーを併用,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,204000,154700,146600
スバル,インプレッサ,GDA,EJ20,00/08～07/06,ターボ<br>WRX・年改A-G用,168231,160867,127080,80230-AF002V-qq-e-43,80230-AF002V-qq-e-d-43,80230-AF002V,HKS,マックス IV GT Spec-A,F=59+19(6+2)/R=38+19(4+2),250/250(Barrel),820/400,400/220,-46(0～58)/-28(0～38),車高データはWRX STI(GDB)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,245000,182200,172400
スバル,インプレッサ,GDB,EJ20,00/10～04/05,ターボ<br>WRX STI・年改A-D用,168231,160867,127336,80230-AF002V-qq-e-42,80230-AF002V-qq-e-d-42,80230-AF002V,HKS,マックス IV GT Spec-A,F=59+19(6+2)/R=38+19(4+2),250/250(Barrel),820/400,400/220,-46(0～58)/-28(0～38),,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,245000,182200,172400
スバル,インプレッサ,GDB,EJ20,04/06～07/06,ターボ<br>WRX STI・年改E-G用,168231,160867,127337,80230-AF003V-qq-e-41,80230-AF003V-qq-e-d-41,80230-AF003V,HKS,マックス IV GT Spec-A,F=59+19(6+2)/R=38+19(4+2),250/250(Barrel),820/400,400/220,-46(0～58)/-28(0～38),バネレート19N/mm(2kgf/mm)相当のバンプラバーを併用,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,245000,182200,172400
スバル,インプレッサ,GRB,EJ20,07/10～14/08,ターボ,140521,133946,127335,80230-AF001V-qq-e-40,80230-AF001V-qq-e-d-40,80230-AF001V,HKS,マックス IV GT Spec-A,F=59+19(6+2)/R=49+19(5+2),250/200,1000/500,350/350,-26(0～43)/-23(0～37),車高データはGRFのもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,204000,154700,146600
スバル,インプレッサ,GRF,EJ25,09/02～14/08,ターボ,140521,133946,127076,80230-AF001V-qq-e-39,80230-AF001V-qq-e-d-39,80230-AF001V,HKS,マックス IV GT Spec-A,F=59+19(6+2)/R=49+19(5+2),250/200,1000/500,350/350,-26(0～43)/-23(0～37),車高データはGRFのもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,204000,154700,146600
スバル,インプレッサ,GVB,EJ20,10/07～14/08,ターボ,140521,133946,127075,80230-AF001V-qq-e-38,80230-AF001V-qq-e-d-38,80230-AF001V,HKS,マックス IV GT Spec-A,F=59+19(6+2)/R=49+19(5+2),250/200,1000/500,350/350,-26(0～43)/-23(0～37),車高データはGRFのもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,204000,154700,146600
