自動車メーカー,車種,型式,エンジン,年式,適合詳細,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,フルキット設定バネレート【F/R】N/mm(kgf/mm),自由長【F/R】(mm),減衰力 ピストン速度 0.1m/sec 減衰力値N F:伸び側/縮み側,減衰力 ピストン速度 0.1m/sec 減衰力値N R:伸び側/縮み側,車高情報出荷時(最大上限～最大下限)【F/R】,備考,商品について,定価,SET価格,C_SET価格
スバル,BRZ,ZC6,FA20,12/03～,,133762,127380,127166,80250-AT001-qq-e-20,80250-AT001-qq-e-d-20,80250-AT001,HKS,マックス IV SP,F=78(8)/R=78(8),170/150,1000/300,750/250,-19(0～60)/-21(0～52),フロントはキャンバー調整式ピロアッパーマウント採用,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,194000,145000,137300
スバル,WRX,VAG,FA20,14/08～,ターボ 北米 FA20 6MT,133762,127380,127155,80250-AF003-qq-e-21,80250-AF003-qq-e-d-21,80250-AF003,HKS,マックス IV SP,F=118(12)/R=98(10),170/170,1991/373,726/147,-24(0～54)/-16(0～69),車高情報は計算値,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,194000,148000,140300
スバル,WRX STI,VAB,EJ20,14/08～,ターボ<br>6MT,133762,127380,127402,80250-AF003-qq-e-23,80250-AF003-qq-e-d-23,80250-AF003,HKS,マックス IV SP,F=118(12)/R=98(10),170/170,1991/373,726/147,-17(0～59)/-19(0～72),,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,194000,148000,140300
スバル,WRX STI,VAF,EJ25,14/＊＊～,ターボ,133762,127380,127401,80250-AF003-qq-e-22,80250-AF003-qq-e-d-22,80250-AF003,HKS,マックス IV SP,F=118(12)/R=98(10),170/170,1991/373,726/147,-17(0～46)/-22(0～75),車高データは北米仕様2.5Lのもの(北米 EJ25 6MT),フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,194000,148000,140300
スバル,インプレッサ,GDA,EJ20,00/08～07/06,ターボ<br>WRX・年改A-G用,161472,154301,127157,80250-AF004-qq-e-30,80250-AF004-qq-e-d-30,80250-AF004,HKS,マックス IV SP,F=118(12)/R=98(10),170/220(Barrel),1900/700,700/300,-47(0～66)/-29(0～38),車高データはWRX STI(GDB)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,235000,175500,166100
スバル,インプレッサ,GDB,EJ20,00/10～04/05,ターボ<br>WRX STI・年改A-D用,161472,154301,127156,80250-AF004-qq-e-29,80250-AF004-qq-e-d-29,80250-AF004,HKS,マックス IV SP,F=118(12)/R=98(10),170/220(Barrel),1900/700,700/300,-47(0～66)/-29(0～38),,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,235000,175500,166100
スバル,インプレッサ,GDB,EJ20,04/06～07/06,ターボ<br>WRX STI・年改E-G用,161472,154301,127154,80250-AF002-qq-e-28,80250-AF002-qq-e-d-28,80250-AF002,HKS,マックス IV SP,F=118(12)/R=98(10),170/220(Barrel),1900/700,700/300,-54(0～69)/-32(0～35),,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,235000,175500,166100
スバル,インプレッサ,GRB,EJ20,07/10～14/08,ターボ,145927,139199,127400,80250-AF001-qq-e-27,80250-AF001-qq-e-d-27,80250-AF001,HKS,マックス IV SP,F=118(12)/R=98(10),170/170,2737/431,1187/157,-26(0～71)/-36(0～65),,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,212000,160100,151600
スバル,インプレッサ,GRF,EJ25,09/02～14/08,ターボ,145927,139199,127153,80250-AF001-qq-e-26,80250-AF001-qq-e-d-26,80250-AF001,HKS,マックス IV SP,F=118(12)/R=98(10),170/170,2737/431,1187/157,-26(0～71)/-36(0～65),,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,212000,160100,151600
スバル,インプレッサ,GVB,EJ20,10/07～14/08,ターボ,145927,139199,127152,80250-AF001-qq-e-25,80250-AF001-qq-e-d-25,80250-AF001,HKS,マックス IV SP,F=118(12)/R=98(10),170/170,2737/431,1187/157,-21(0～68)/-28(0～57),,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,212000,160100,151600
