自動車メーカー,車種,型式,エンジン,年式,適合詳細,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,フルキット設定バネレート【F/R】N/mm(kgf/mm),自由長【F/R】(mm),減衰力 ピストン速度 0.1m/sec 減衰力値N F:伸び側/縮み側,減衰力 ピストン速度 0.1m/sec 減衰力値N R:伸び側/縮み側,車高情報出荷時(最大上限～最大下限)【F/R】,備考,商品について,定価,SET価格,C_SET価格
スバル,BRZ,ZC6,FA20,12/03～16/07,年改A～D型(2012/3～2016/7)用,111459,105712,127174,80260-AT003-qq-e-555,80260-AT003-qq-e-d-555,80260-AT003,HKS,ハイパーマックスG,F=27(2.8)/R=44(4.5),Special/Special,245/98,333/98,-9/-12,アッパーマウント:F=純正/R=純正<br>出荷時アッパーマウント組替:不可<br>出荷時バネレート変更:F=不可/R=不可,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,161000,121300,114900
スバル,BRZ,ZC6,FA20,16/08～,年改E型(2016/8～)用,111459,105712,127422,80260-AT007-qq-e-554,80260-AT007-qq-e-d-554,80260-AT007,HKS,ハイパーマックスG,F=27(2.8)/R=45(4.6),Special/Special,245/118,333/98,-15/-16,アッパーマウント:F=純正/R=純正<br>出荷時アッパーマウント組替:不可<br>出荷時バネレート変更:F=不可/R=不可,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,161000,121300,114900
スバル,WRX,VAG,FA20,14/08～,ターボ,111459,105712,127170,80260-AF002-qq-e-556,80260-AF002-qq-e-d-556,80260-AF002,HKS,ハイパーマックスG,F=49(5)/R=48(4.9),Special/Special,657/255,333/226,-11/-9,アッパーマウント:F=純正/R=純正<br>出荷時アッパーマウント組替:不可<br>出荷時バネレート変更:F=不可/R=不可,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,161000,124300,117900
スバル,WRX STI,VAB,EJ20,14/08～,ターボ,111459,105712,127490,80260-AF001-qq-e-557,80260-AF001-qq-e-d-557,80260-AF001,HKS,ハイパーマックスG,F=53(5.4)/R=62(6.3),Special/Special,824/275,363/216,-13/-10,アッパーマウント:F=純正/R=純正<br>出荷時アッパーマウント組替:不可<br>出荷時バネレート変更:F=不可/R=不可,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,161000,124300,117900
スバル,レヴォーグ,VM4,FB16,14/06～,ターボ,111459,105712,127413,80260-AF003-qq-e-559,80260-AF003-qq-e-d-559,80260-AF003,HKS,ハイパーマックスG,F=49(5)/R=52.4(5.4),Special/Special,726/226,363/206,-5/-4,リアのバンプラバーを同梱の50mmのタイプに交換することでロールを抑えたよりスポーティな乗り味に変更することが可能<br>お好みに合わせて選択ください<br>アッパーマウント:F=純正/R=純正<br>出荷時アッパーマウント組替:不可<br>出荷時バネレート変更:F=不可/R=不可,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,161000,124300,117900
スバル,レヴォーグ,VMG,FA20,14/06～,ターボ,111459,105712,127171,80260-AF003-qq-e-558,80260-AF003-qq-e-d-558,80260-AF003,HKS,ハイパーマックスG,F=49(5)/R=52.4(5.4),Special/Special,726/226,363/206,-8/-7,リアのバンプラバーを同梱の50mmのタイプに交換することでロールを抑えたよりスポーティな乗り味に変更することが可能<br>お好みに合わせて選択ください<br>アッパーマウント:F=純正/R=純正<br>出荷時アッパーマウント組替:不可<br>出荷時バネレート変更:F=不可/R=不可,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,161000,124300,117900
トヨタ,86,ZN6,FA20,12/04～16/07,年改A～D型(2012/4～2016/7)用,111459,105712,127418,80260-AT003-qq-e-527,80260-AT003-qq-e-d-527,80260-AT003,HKS,ハイパーマックスG,F=27(2.8)/R=44(4.5),Special/Special,245/98,333/98,-9/-12,アッパーマウント:F=純正/R=純正<br>出荷時アッパーマウント組替:不可<br>出荷時バネレート変更:F=不可/R=不可,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,161000,121300,114900
トヨタ,86,ZN6,FA20,16/08～,年改E型(2016/8～)用,111459,105712,127421,80260-AT007-qq-e-526,80260-AT007-qq-e-d-526,80260-AT007,HKS,ハイパーマックスG,F=27(2.8)/R=45(4.6),Special/Special,245/118,333/98,-15/-16,アッパーマウント:F=純正/R=純正<br>出荷時アッパーマウント組替:不可<br>出荷時バネレート変更:F=不可/R=不可,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,161000,121300,114900
トヨタ,アルファード,AGH30W,2AR-FE,15/01～,2WD,104700,99146,127416,80260-AT001-qq-e-529,80260-AT001-qq-e-d-529,80260-AT001,HKS,ハイパーマックスG,F=29(3)/R=60(6.1),Special/Special,275/78,441/186,-30/-30,アッパーマウント:純正<br>出荷時バネレート変更:不可,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,151000,114700,108700
トヨタ,アルファード,AGH35W,2AR-FE,15/01～,4WD<br>サイドリフトアップシート取付車両には装着不可,104700,99146,127493,80260-AT002-qq-e-531,80260-AT002-qq-e-d-531,80260-AT002,HKS,ハイパーマックスG,F=29(3)/R=60(6.1),Special/Special,275/78,510/177,-16/-22,車高情報はハイブリッド(AYH30W)装着時のもの<br>アッパーマウント:F=純正/R=純正<br>出荷時アッパーマウント組替:不可<br>出荷時バネレート変更:F=不可/R=不可,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,151000,114700,108700
