自動車メーカー,車種,型式,エンジン,年式,適合詳細,販売価格,Camp販売,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,フルキット設定バネレート【F/R】N/mm(kgf/mm),自由長【F/R】(mm),減衰力 ピストン速度 0.1m/sec 減衰力値N F:伸び側/縮み側,減衰力 ピストン速度 0.1m/sec 減衰力値N R:伸び側/縮み側,車高情報出荷時(最大上限～最大下限)【F/R】,備考,商品について,定価,SET価格,Campセット
スズキ,ランディ,SC25,MR20DE,07/01～10/11,2WD,125652,119501,127039,80130-AN202-qq-e-387,80130-AN202-qq-e-d-387,80130-AN202,HKS,ハイパーマックスSスタイルL,F=49(5)/R=63(6.4),220(Barrel)/Special,441/300,177/122,-46(-40～90)/-41(-19～70),リア形状別体<br>車高データはC25(セレナ)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,182000,137000,118800
スズキ,ランディ,SC26,MR20DD,10/12～,2WD,125652,119501,127305,80130-AN202-qq-e-386,80130-AN202-qq-e-d-386,80130-AN202,HKS,ハイパーマックスSスタイルL,F=49(5)/R=63(6.4),220(Barrel)/Special,441/300,177/122,-45(-33～63)/-21(-1～47),リア形状別体<br>車高データはC26(セレナ)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,182000,137000,118800
スズキ,ランディ,SHC26,MR20DD-SM23,12/08～,2WD,125652,119501,127459,80130-AN202-qq-e-385,80130-AN202-qq-e-d-385,80130-AN202,HKS,ハイパーマックスSスタイルL,F=49(5)/R=63(6.4),220(Barrel)/Special,441/300,177/122,-46(-37～69)/-31(-11～57),リア形状別体<br>車高データはHC26(セレナ)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,182000,137000,118800
トヨタ,アルファード,GGH20W/ANH20W,2GR-FE/2AZ-FE,08/05～15/01,2WD,125652,119501,127318,80130-AT205-qq-e-305,80130-AT205-qq-e-d-305,80130-AT205,HKS,ハイパーマックスSスタイルL,F=49(5)/R=72(7.3),250(Barrel)/Special,716/211,461/147,-42(-6～63）/-41（-20～71),リア形状別体<br>車高データはGGH20W(3.5L)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,182000,137000,118800
トヨタ,アルファード,GGH25W/ANH25W,2GR-FE/2AZ-FE,08/05～15/01,4WD,125652,119501,127047,80130-AT205-qq-e-306,80130-AT205-qq-e-d-306,80130-AT205,HKS,ハイパーマックスSスタイルL,F=49(5)/R=72(7.3),250(Barrel)/Special,716/211,461/147,-36(0～57)/-37(-16～67),リア形状別体<br>車高データはANH20Wのもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,182000,137000,118800
トヨタ,アルファード,GGH30W/AGH30W,2GR-FE/2AR-FE,15/01～17/12,2WD,125652,119501,127466,80130-AT210-qq-e-303,80130-AT210-qq-e-d-303,80130-AT210,HKS,ハイパーマックスSスタイルL,F=69(7)/R=89(9),250(Barrel)/Special,610/300,490/270,-40(-3～70)/-40(-8～66),リア形状別体<br>車高データはAGH30W(2.5L)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,182000,137000,118800
トヨタ,アルファード,GGH30W/AGH30W,2GR-FKS/2AR-FE,18/01～,2WD,125652,119501,127467,80130-AT210-qq-e-7,80130-AT210-qq-e-d-7,80130-AT210,HKS,ハイパーマックスSスタイルL,F=69(7)/R=89(9),250(Barrel)/Special,610/300,490/270,-37(0～67)/-43(-11～69),リア形状別体<br>車高データはAGH30W(2.5L)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,182000,137000,118800
トヨタ,アルファード,GGH35W/AGH35W,2GR-FE/2AR-FE,15/01～,4WD,125652,119501,127057,80130-AT211-qq-e-304,80130-AT211-qq-e-d-304,80130-AT211,HKS,ハイパーマックスSスタイルL,F=69(7)/R=79(8),250(Barrel)/Special,300/220,400/280,-50(-16～91)/-45(-18～86),,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,182000,137000,118800
トヨタ,アルファード,MNH10W/ANH10W,1MZ-FE/2AZ-FE,02/05～08/04,2WD,125652,119501,127312,80130-AT202-qq-e-307,80130-AT202-qq-e-d-307,80130-AT202,HKS,ハイパーマックスSスタイルL,F=49(5)/R=63(6.4),250(Barrel)/Special,530/216,363/167,-42(0～73)/-32(-24～58),リア形状別体<br>車高データはANH10W(2.4L)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,182000,137000,118800
トヨタ,アルファード,MNH15W/ANH15W,1MZ-FE/2AZ-FE,02/05～08/04,4WD,125652,119501,127462,80130-AT202-qq-e-308,80130-AT202-qq-e-d-308,80130-AT202,HKS,ハイパーマックスSスタイルL,F=49(5)/R=63(6.4),250(Barrel)/Special,530/216,363/167,45(-2～79)/-47(-39～72),リア形状別体<br>車高データはANH15W(2.4L)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,182000,137000,118800
