自動車メーカー,車種,型式,エンジン,年式,適合詳細,販売価格,Camp販売,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,フルキット設定バネレート【F/R】N/mm(kgf/mm),自由長【F/R】(mm),減衰力 ピストン速度 0.1m/sec 減衰力値N F:伸び側/縮み側,減衰力 ピストン速度 0.1m/sec 減衰力値N R:伸び側/縮み側,車高情報出荷時(最大上限～最大下限)【F/R】,備考,商品について,定価,SET価格,Campセット
スズキ,ランディ,SC25,MR20DE,07/01～10/11,2WD,139169,132633,127008,80120-AN202-qq-e-298,80120-AN202-qq-e-d-298,80120-AN202,HKS,ハイパーマックスSスタイルX,F=118(12)/R=118(12),170/Special,932/304,696/275,-57(0～87)/-55(-55～97),リア形状別体<br>車高データはC25(セレナ)のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
スズキ,ランディ,SC26,MR20DD,10/12～,2WD,139169,132633,127272,80120-AN202-qq-e-297,80120-AN202-qq-e-d-297,80120-AN202,HKS,ハイパーマックスSスタイルX,F=118(12)/R=118(12),170/Special,932/304,696/275,-56(-56～83)/-50(-50～92),リア形状別体<br>車高データはHFC26(セレナ)のもの<br>フロントキャンバーの調整は出荷時の位置からネガ方向に3目盛り以内としてください,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
スズキ,ランディ,SHC26,MR20DD-SM23,12/08～,2WD,139169,132633,127271,80120-AN202-qq-e-296,80120-AN202-qq-e-d-296,80120-AN202,HKS,ハイパーマックスSスタイルX,F=118(12)/R=118(12),170/Special,932/304,696/275,-56(-56～83)/-50(-50～92),リア形状別体<br>車高データはHFC26(セレナ)のもの<br>フロントキャンバーの調整は出荷時の位置からネガ方向に3目盛り以内としてください,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,202000,150400,130200
スバル,デックス,M401F,K3-VE,08/11～,2WD,132410,126067,127290,80120-AT214-qq-e-295,80120-AT214-qq-e-d-295,80120-AT214,HKS,ハイパーマックスSスタイルX,F=59(6)/R=48(4.9),200/Special,476/211,255/216,-49(0～106)/-70(-70～106),リア形状別体<br>車高データはQNC21のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
ダイハツ,クー,M401S,K3-VE,06/05～,2WD,132410,126067,127292,80120-AT214-qq-e-300,80120-AT214-qq-e-d-300,80120-AT214,HKS,ハイパーマックスSスタイルX,F=59(6)/R=48(4.9),200/Special,476/211,255/216,-49(0～106)/-70(-70～106),リア形状別体<br>車高データはQNC21のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
ダイハツ,クー,M402S,3SZ-VE,06/05～,2WD,132410,126067,127291,80120-AT214-qq-e-299,80120-AT214-qq-e-d-299,80120-AT214,HKS,ハイパーマックスSスタイルX,F=59(6)/R=48(4.9),200/Special,476/211,255/216,-49(0～106)/-70(-70～106),リア形状別体<br>車高データはQNC21のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
トヨタ,bB,NCP30,2NZ-FE,00/02～05/12,2WD,132410,126067,127022,80120-AT213-qq-e-231,80120-AT213-qq-e-d-231,80120-AT213,HKS,ハイパーマックスSスタイルX,F=49(5)/R=46(4.7),200/Special,482/217,308/168,-67(-27～116)/-72(-59～103),リア形状別体<br>車高データはNCP31のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
トヨタ,bB,NCP31,1NZ-FE,00/02～05/12,2WD,132410,126067,127289,80120-AT213-qq-e-230,80120-AT213-qq-e-d-230,80120-AT213,HKS,ハイパーマックスSスタイルX,F=49(5)/R=46(4.7),200/Special,482/217,308/168,-67(-27～116)/-72(-59～103),リア形状別体<br>車高データはNCP31のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
トヨタ,bB,QNC20,K3-VE,05/12～,2WD,132410,126067,127024,80120-AT214-qq-e-229,80120-AT214-qq-e-d-229,80120-AT214,HKS,ハイパーマックスSスタイルX,F=59(6)/R=48(4.9),200/Special,476/211,255/216,-49(0～106)/-70(-70～106),リア形状別体<br>車高データはQNC21のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
トヨタ,bB,QNC21,3SZ-VE,05/12～,2WD,132410,126067,127023,80120-AT214-qq-e-228,80120-AT214-qq-e-d-228,80120-AT214,HKS,ハイパーマックスSスタイルX,F=59(6)/R=48(4.9),200/Special,476/211,255/216,-49(0～106)/-70(-70～106),リア形状別体<br>車高データはQNC21のもの,フルキットご購入の際には、ご希望のバネレートへ変更できます(HKSが取扱するスプリングとし、自由長の変更は不可)<br>ご希望の場合は、必ずご注文時にお知らせ下さい<br>各車種別推奨バネレート範囲を超えるバネレート変更は保証対象外となります<br>車高情報の数値は、HKS社内でのフルキット設定の組み合わせによる参考値データ(ノーマル比)です(データは車輌の個体差・組み付け条件により変化します)<br>カッコ内の数値(上限～下限)はノーマル車高から可能な車高調整幅のみを示したもので、あくまで参考値となります<br>車種によっては走行に支障をきたす恐れがありますのでご注意ください,192000,143700,124500
