自動車メーカー,車種,型式,エンジン,排気量(cc),年式,純正規格・熱価,プラグタイプ,熱価,備考,本数,販売価格,Camp価格,商品ID,物販コード
ALFAROMEO,147,GH-937GXL(GTA),,3200,03/5～,ISO:6,ISOタイプ,NGK7番相当,,8本,14852,,254814,50003-M35i-qq-e-016
ALFAROMEO,147,GH-937GXL(GTA),,3200,03/5～,ISO:6,ISOタイプ,NGK8番相当,,8本,14852,,253027,50003-M40i-qq-e-038
ALFAROMEO,147,GH-937GXL(GTA),,3200,03/5～,ISO:6,ISOタイプ,NGK9番相当,,8本,14852,,253648,50003-M45i-qq-e-060
ALFAROMEO,155,E-167A1E,67.303,2500,95/6～98/4,LONG:7,Gタイプ,NGK7番相当,,6本,11294,,249462,50003-M35G-qq-e-014
ALFAROMEO,155,E-167A1E,67.303,2500,95/6～98/4,LONG:7,Gタイプ,NGK8番相当,,6本,11294,,250640,50003-M40G-qq-e-06
ALFAROMEO,155,E-167A1E,67.303,2500,95/6～98/4,LONG:7,Gタイプ,NGK9番相当,,6本,11294,,251816,50003-M45G-qq-e-010
ALFAROMEO,155,E-167A2A,67.201,2000,92/7～95/4,JIS:7,JISタイプ,NGK7番相当,,4本,7735,,250456,50003-M35-qq-e-01
ALFAROMEO,155,E-167A2A,67.201,2000,92/7～95/4,JIS:7,JISタイプ,NGK8番相当,,4本,7735,,249627,50003-M40-qq-e-02
ALFAROMEO,155,E-167A2A,67.201,2000,92/7～95/4,JIS:7,JISタイプ,NGK9番相当,,4本,7735,,255725,50003-M45-qq-e-03
ALFAROMEO,155,E-167A2C,,2000,92/9～95/8,LONG:6,Gタイプ,NGK7番相当,,4本,7735,,249461,50003-M35G-qq-e-012
ALFAROMEO,155,E-167A2C,,2000,92/9～95/8,LONG:6,Gタイプ,NGK8番相当,,4本,7735,,251662,50003-M40G-qq-e-04
ALFAROMEO,155,E-167A2C,,2000,92/9～95/8,LONG:6,Gタイプ,NGK9番相当,,4本,7735,,253600,50003-M45G-qq-e-08
ALFAROMEO,155,E-167A2E,67.203,2000,95/8～98/4,LONG:6,Gタイプ,NGK7番相当,,4本,7735,,255856,50003-M35G-qq-e-013
ALFAROMEO,155,E-167A2E,67.203,2000,95/8～98/4,LONG:6,Gタイプ,NGK8番相当,,4本,7735,,256524,50003-M40G-qq-e-05
ALFAROMEO,155,E-167A2E,67.203,2000,95/8～98/4,LONG:6,Gタイプ,NGK9番相当,,4本,7735,,257153,50003-M45G-qq-e-09
ALFAROMEO,156,E/GF-932A1,32401,2500,98/5～02/6,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,250023,50003-M35i-qq-e-019
ALFAROMEO,156,E/GF-932A1,32401,2500,98/5～02/6,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,253494,50003-M40i-qq-e-041
