自動車メーカー,車種,型式,年式,駆動方法,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,備考,注意事項,定価,送料,SET価格
スズキ,スペーシア,MK32S,13～18,2WD,,87220,,294140,SZ-AY-MK32S-qq-e-164k,SZ-AY-MK32S-qq-e-d-164k,SZ-AY-MK32S,IDEAL,ANYONE,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):5/3<br>自由長(F/R):180/115<br>ダウン量(F/R):24/26<br>減衰力(F/R):○/○,受注生産1.5ヶ月程度,,89000,2500,102100
スズキ,ハスラー,MR31S/MR41S,14～UP,2WD,,87220,,293896,SZ-AY-MR31S-qq-e-165k,SZ-AY-MR31S-qq-e-d-165k,SZ-AY-MR31S,IDEAL,ANYONE,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):5/3<br>自由長(F/R):180/115<br>ダウン量(F/R):24/26<br>減衰力(F/R):○/○,受注生産1.5ヶ月程度,,89000,2500,102100
スズキ,ワゴンR,MH34S,12～15,2WD,,87220,,294138,SZ-AY-MH34S-qq-e-162k,SZ-AY-MH34S-qq-e-d-162k,SZ-AY-MH34S,IDEAL,ANYONE,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):5/3<br>自由長(F/R):180/115<br>ダウン量(F/R):24/26<br>減衰力(F/R):○/○,受注生産1.5ヶ月程度,,89000,2500,102100
スズキ,ワゴンR,MH44S,12～17,2WD,,87220,,294139,SZ-AY-MH44S-qq-e-163k,SZ-AY-MH44S-qq-e-d-163k,SZ-AY-MH44S,IDEAL,ANYONE,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):5/3<br>自由長(F/R):180/115<br>ダウン量(F/R):24/26<br>減衰力(F/R):○/○,受注生産1.5ヶ月程度,,89000,2500,102100
ダイハツ,タント,L375S,07～13,2WD,,87220,,294032,DA-AY-L375S-qq-e-22k,DA-AY-L375S-qq-e-d-22k,DA-AY-L375S,IDEAL,ANYONE,アッパーマウント(F/R):アルミ/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):5/4.7<br>自由長(F/R):180/180<br>ダウン量(F/R):24/24<br>減衰力(F/R):○/○,受注生産1.5ヶ月程度,,89000,2500,102100
ダイハツ,タント,LA600S,13～UP,2WD,,87220,,294273,DA-AY-LA600S-qq-e-29k,DA-AY-LA600S-qq-e-d-29k,DA-AY-LA600S,IDEAL,ANYONE,アッパーマウント(F/R):アルミ/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):5/4.7<br>自由長(F/R):180/180<br>ダウン量(F/R):24/24<br>減衰力(F/R):○/○,受注生産1.5ヶ月程度,,89000,2500,102100
ダイハツ,タントエグゼ,L455S,07～UP,2WD,,87220,,294033,DA-AY-L455S-qq-e-23k,DA-AY-L455S-qq-e-d-23k,DA-AY-L455S,IDEAL,ANYONE,アッパーマウント(F/R):アルミ/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):5/4.7<br>自由長(F/R):180/180<br>ダウン量(F/R):24/24<br>減衰力(F/R):○/○,受注生産1.5ヶ月程度,,89000,2500,102100
ダイハツ,ミラ,L275S/L275V,06～UP,2WD,,87220,,293776,DA-AY-L275S-qq-e-21k,DA-AY-L275S-qq-e-d-21k,DA-AY-L275S,IDEAL,ANYONE,アッパーマウント(F/R):アルミ/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):5/3<br>自由長(F/R):180/180<br>ダウン量(F/R):24/24<br>減衰力(F/R):○/○,受注生産1.5ヶ月程度,,89000,2500,102100
ダイハツ,ミライース,LA300S,UP,2WD,,87220,,294037,DA-AY-LA300S-qq-e-28k,DA-AY-LA300S-qq-e-d-28k,DA-AY-LA300S,IDEAL,ANYONE,アッパーマウント(F/R):アルミ/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):5/3<br>自由長(F/R):180/180<br>ダウン量(F/R):24/24<br>減衰力(F/R):○/○,受注生産1.5ヶ月程度,,89000,2500,102100
ダイハツ,ミラココア,L675S,09～UP,2WD,,87220,,294035,DA-AY-L675S-qq-e-25k,DA-AY-L675S-qq-e-d-25k,DA-AY-L675S,IDEAL,ANYONE,アッパーマウント(F/R):アルミ/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):5/3<br>自由長(F/R):180/180<br>ダウン量(F/R):24/24<br>減衰力(F/R):○/○,受注生産1.5ヶ月程度,,89000,2500,102100
