自動車メーカー,車種,型式,年式,駆動方法,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,備考,注意事項,定価,送料,SET価格
スバル,BRZ,ZC6,12～UP,2WD,,158034,,293891,SU-H-ZC6-qq-e-154k,SU-H-ZC6-qq-e-d-154k,SU-H-ZC6,IDEAL,HYPER FOOT,アッパーマウント(F/R):ピロ固定式/ピロ固定式<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):18/12<br>自由長(F/R):140/140<br>ダウン量(F/R):36/36<br>減衰力(F/R):○/○,,,189000,2500,168700
トヨタ,86,ZN6,12～UP,2WD,,158034,,294206,TO-H-ZN6-qq-e-220k,TO-H-ZN6-qq-e-d-220k,TO-H-ZN6,IDEAL,HYPER FOOT,アッパーマウント(F/R):ピロ固定式/ピロ固定式<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):18/12<br>自由長(F/R):140/140<br>ダウン量(F/R):36/36<br>減衰力(F/R):○/○,,,189000,2500,168700
トヨタ,アリスト,JZS161,97～05,2WD,,158034,,293953,TO-H-JZS161-qq-e-448,TO-H-JZS161-qq-e-d-448,TO-H-JZS161,IDEAL,HYPER FOOT,アッパーマウント(F/R):ピロ固定式/ピロ固定式<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):30/24<br>自由長(F/R):150/160<br>ダウン量(F/R):36/36<br>減衰力(F/R):○/○,,,189000,2500,168700
トヨタ,クラウン,GRS180/GRS184,03～12,2WD,,158034,,294199,TO-H-GRS180-qq-e-216k,TO-H-GRS180-qq-e-d-216k,TO-H-GRS180,IDEAL,HYPER FOOT,アッパーマウント(F/R):ピロ固定式/ピロ固定式<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):30/24<br>自由長(F/R):150/160<br>ダウン量(F/R):36/36<br>減衰力(F/R):○/○,,,189000,2500,168700
トヨタ,クラウン,GRS200/GRS202/GRS204,08～12,2WD,,158034,,294200,TO-H-GRS200-qq-e-452,TO-H-GRS200-qq-e-d-452,TO-H-GRS200,IDEAL,HYPER FOOT,アッパーマウント(F/R):ピロ固定式/ピロ固定式<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):30/24<br>自由長(F/R):150/160<br>ダウン量(F/R):36/36<br>減衰力(F/R):○/○,,,189000,2500,168700
トヨタ,クラウン,GRS210/GRS214/ARS214/AWS210,12～18,2WD,,158034,,294201,TO-H-GRS210-qq-e-453,TO-H-GRS210-qq-e-d-453,TO-H-GRS210,IDEAL,HYPER FOOT,アッパーマウント(F/R):ピロ固定式/ピロ固定式<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):30/24<br>自由長(F/R):150/160<br>ダウン量(F/R):36/36<br>減衰力(F/R):○/○,,,189000,2500,168700
トヨタ,クラウンマジェスタ,GWS214,13～UP,2WD,,158034,,294203,TO-H-GWS214-qq-e-456,TO-H-GWS214-qq-e-d-456,TO-H-GWS214,IDEAL,HYPER FOOT,アッパーマウント(F/R):ピロ固定式/ピロ固定式<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):30/24<br>自由長(F/R):150/160<br>ダウン量(F/R):36/36<br>減衰力(F/R):○/○,,,189000,2500,168700
トヨタ,クラウンマジェスタ,JZS177/UZS171,99～04,2WD,,158034,,294204,TO-H-JZS177-qq-e-449,TO-H-JZS177-qq-e-d-449,TO-H-JZS177,IDEAL,HYPER FOOT,アッパーマウント(F/R):ピロ固定式/ピロ固定式<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):30/24<br>自由長(F/R):150/160<br>ダウン量(F/R):36/36<br>減衰力(F/R):○/○,,,189000,2500,168700
トヨタ,クラウンマジェスタ,URS206,09～13,2WD,,158034,,294205,TO-H-URS206-qq-e-219k,TO-H-URS206-qq-e-d-219k,TO-H-URS206,IDEAL,HYPER FOOT,アッパーマウント(F/R):ピロ固定式/ピロ固定式<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):30/24<br>自由長(F/R):150/160<br>ダウン量(F/R):36/36<br>減衰力(F/R):○/○,,,189000,2500,193700
トヨタ,クラウンマジェスタ,UZS186,04～09,2WD,,158034,,293954,TO-H-UZS186-qq-e-454,TO-H-UZS186-qq-e-d-454,TO-H-UZS186,IDEAL,HYPER FOOT,アッパーマウント(F/R):ピロ固定式/ピロ固定式<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):30/24<br>自由長(F/R):150/160<br>ダウン量(F/R):36/36<br>減衰力(F/R):○/○,,,189000,2500,193700
