自動車メーカー,車種,型式,年式,駆動方法,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,備考,注意事項,定価,送料,SET価格
AUDI,A3,8P,03～12,2WD,,129435,,294016,AD-A3-qq-e-4k,AD-A3-qq-e-d-4k,AD-A3,IDEAL,TRUEVA,アッパーマウント(F/R):ピロ固定式/-<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):10/6<br>自由長(F/R):180/180<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,169900
AUDI,A4(B5),8D,94～01,2WD,,129435,,293757,AD-B5-qq-e-352,出さない,AD-B5,IDEAL,TRUEVA,アッパーマウント(F/R):アルミ/アルミ<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):12/8<br>自由長(F/R):180/200<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,出さない
AUDI,A4(B6),8E,01～05,2WD,,129435,,293758,AD-B6-qq-e-353,出さない,AD-B6,IDEAL,TRUEVA,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):12/8<br>自由長(F/R):180/180<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,出さない
AUDI,A4(B7),8E,05～08,2WD,,129435,,293759,AD-B7-qq-e-6k,出さない,AD-B7,IDEAL,TRUEVA,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):12/8<br>自由長(F/R):180/180<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,出さない
AUDI,A4(B8),8K,08～15,2WD,,129435,,293760,AD-B8-qq-e-7k,AD-B8-qq-e-d-7k,AD-B8,IDEAL,TRUEVA,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):11/9<br>自由長(F/R):180/155<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,169900
AUDI,A4(B8),8K,08～15,4WD,,129435,,294017,AD-B8-qq-e-354,AD-B8-qq-e-d-354,AD-B8,IDEAL,TRUEVA,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):11/9<br>自由長(F/R):180/155<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,169900
AUDI,A4(B9),8W,15～UP,2WD,,129435,,294018,AD-B9-qq-e-8k,出さない,AD-B9,IDEAL,TRUEVA,アッパーマウント(F/R):アルミ/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):14/9<br>自由長(F/R):180/155<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,出さない
AUDI,A5,8T,07～UP,2WD,,129435,,294015,AD-8T-qq-e-3k,AD-8T-qq-e-d-3k,AD-8T,IDEAL,TRUEVA,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):11/9<br>自由長(F/R):180/155<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,169900
AUDI,A5,F5,07～UP,4WD,,129435,,293761,AD-F5-qq-e-9k,出さない,AD-F5,IDEAL,TRUEVA,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):11/9<br>自由長(F/R):180/155<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,出さない
AUDI,A6(C6),4F,04～11,2WD,,129435,,294268,AD-A6-qq-e-5k,AD-A6-qq-e-d-5k,AD-A6,IDEAL,TRUEVA,アッパーマウント(F/R):ピロ固定式/-<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):11/9<br>自由長(F/R):180/155<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,169900
AUDI,TT,8J,06～15,2WD,,129435,,294012,AD-8J-qq-e-355,出さない,AD-8J,IDEAL,TRUEVA,アッパーマウント(F/R):ピロ固定式/-<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):10/6<br>自由長(F/R):115/180<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,出さない
AUDI,TT,8J,06～15,4WD,,129435,,294013,AD-8J-qq-e-356,出さない,AD-8J,IDEAL,TRUEVA,アッパーマウント(F/R):ピロ固定式/-<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):10/6<br>自由長(F/R):115/180<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,出さない
AUDI,TT,8N,96～06,2WD,,129435,,293756,AD-8N-qq-e-1k,出さない,AD-8N,IDEAL,TRUEVA,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):10/12<br>自由長(F/R):180/180<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,出さない
AUDI,TT,8S,16～UP,4WD,,129435,,294014,AD-8S-qq-e-2k,出さない,AD-8S,IDEAL,TRUEVA,アッパーマウント(F/R):ピロ固定式/純正流用<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):10/6<br>自由長(F/R):135/180<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,出さない
BMW,1シリーズ E87,UE16/UD20/UD30/UE16/UD20/UF30/UF16/UF18/UF20,04～11,2WD,,129435,,294025,BM-E87-qq-e-349,BM-E87-qq-e-d-349,BM-E87,IDEAL,TRUEVA,アッパーマウント(F/R):ピロ固定式/-<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):10/7<br>自由長(F/R):135/270<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,164900
BMW,3シリーズ E36,CB25/CD28/CB20/BK28/BE19/CA18/CG18/BE18/BF20/BJ25,91～97,2WD,,129435,,293762,BM-E36-qq-e-338,BM-E36-qq-e-d-338,BM-E36,IDEAL,TRUEVA,アッパーマウント(F/R):ピロ固定式/アルミ<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):8/6<br>自由長(F/R):180/180<br>減衰力(F/R):36/36<br>全長調整式(F/R):○/○,,,149800,2500,164900
