自動車メーカー,車種,型式,年式,駆動方法,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,備考,注意事項,定価,送料,SET価格
スズキ,MRワゴン,MF22S,06～11,2WD,1～3型のみ,129435,,294155,SZ-P-MF22S-qq-e-31k,SZ-P-MF22S-qq-e-d-31k,SZ-P-MF22S,IDEAL,TRUEVA極,アッパーマウント(F/R):ピロ固定式/-<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):8/7<br>自由長(F/R):130/110<br>ダウン量(F/R):-100/-60<br>減衰力(F/R):36/26<br>全長調整式(F/R):○/○,,,149800,2500,144900
スズキ,MRワゴン,MF22S,06～11,4WD,1～3型のみ,129435,,293914,SZ-P-MF22S-1-qq-e-32k,SZ-P-MF22S-1-qq-e-d-32k,SZ-P-MF22S-1,IDEAL,TRUEVA極,アッパーマウント(F/R):ピロ固定式/-<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):8/7<br>自由長(F/R):130/110<br>ダウン量(F/R):-60/-30<br>減衰力(F/R):36/26<br>全長調整式(F/R):○/○,,,149800,2500,144900
スズキ,MRワゴン,MF33S,11～UP,2WD,,129435,,293915,SZ-P-MF33S-qq-e-33k,SZ-P-MF33S-qq-e-d-33k,SZ-P-MF33S,IDEAL,TRUEVA極,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):8/7<br>自由長(F/R):130/90<br>ダウン量(F/R):-100/-60<br>減衰力(F/R):36/26<br>全長調整式(F/R):○/○,,,149800,2500,144900
スズキ,MRワゴン,MF33S,11～UP,4WD,,129435,,294156,SZ-P-MF33S-1-qq-e-34k,SZ-P-MF33S-1-qq-e-d-34k,SZ-P-MF33S-1,IDEAL,TRUEVA極,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):8/7<br>自由長(F/R):130/90<br>ダウン量(F/R):-60/-30<br>減衰力(F/R):36/26<br>全長調整式(F/R):○/○,,,149800,2500,144900
スズキ,アルト,HA25S/HA35S,09～14,2WD,アッパー2本止めタイプのみ,129435,,293910,SZ-P-HA25S-qq-e-35k,SZ-P-HA25S-qq-e-d-35k,SZ-P-HA25S,IDEAL,TRUEVA極,アッパーマウント(F/R):ピロ固定式/-<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):8/7<br>自由長(F/R):130/90<br>ダウン量(F/R):-100/-60<br>減衰力(F/R):36/26<br>全長調整式(F/R):○/○,,,149800,2500,144900
スズキ,アルト,HA25S/HA35S,09～14,4WD,アッパー2本止めタイプのみ,129435,,293909,SZ-P-HA25S-1-qq-e-36k,SZ-P-HA25S-1-qq-e-d-36k,SZ-P-HA25S-1,IDEAL,TRUEVA極,アッパーマウント(F/R):ピロ固定式/-<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):8/7<br>自由長(F/R):130/90<br>ダウン量(F/R):-60/-30<br>減衰力(F/R):36/26<br>全長調整式(F/R):○/○,,,149800,2500,144900
スズキ,アルトラパン,HE22S,08～15,2WD,,129435,,293911,SZ-P-HE22S-qq-e-37k,SZ-P-HE22S-qq-e-d-37k,SZ-P-HE22S,IDEAL,TRUEVA極,アッパーマウント(F/R):ピロ固定式/-<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):8/7<br>自由長(F/R):130/90<br>ダウン量(F/R):-100/-60<br>減衰力(F/R):36/26<br>全長調整式(F/R):○/○,,,149800,2500,144900
スズキ,アルトラパン,HE22S,08～15,4WD,,129435,,294154,SZ-P-HE22S-1-qq-e-38k,SZ-P-HE22S-1-qq-e-d-38k,SZ-P-HE22S-1,IDEAL,TRUEVA極,アッパーマウント(F/R):ピロ固定式/-<br>キャンバー調整(F/R):○/×<br>スプリングレート(F/R):8/7<br>自由長(F/R):130/90<br>ダウン量(F/R):-60/-30<br>減衰力(F/R):36/26<br>全長調整式(F/R):○/○,,,149800,2500,144900
スズキ,スペーシア,MK32S,13～UP,2WD,,129435,,293919,SZ-P-MK32S-qq-e-47k,SZ-P-MK32S-qq-e-d-47k,SZ-P-MK32S,IDEAL,TRUEVA極,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):8/7<br>自由長(F/R):130/90<br>ダウン量(F/R):-100/-60<br>減衰力(F/R):36/26<br>全長調整式(F/R):○/○,,,149800,2500,144900
スズキ,スペーシア,MK42S,13～UP,2WD,,129435,,293920,SZ-P-MK42S-qq-e-48k,SZ-P-MK42S-qq-e-d-48k,SZ-P-MK42S,IDEAL,TRUEVA極,アッパーマウント(F/R):純正流用/-<br>キャンバー調整(F/R):×/×<br>スプリングレート(F/R):8/7<br>自由長(F/R):130/90<br>ダウン量(F/R):-100/-60<br>減衰力(F/R):36/26<br>全長調整式(F/R):○/○,,,149800,2500,144900
