自動車メーカー,車種,型式,適合詳細,アッパーマウント,調整範囲,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,バネ仕様(F|R),備考,注意事項,定価,送料,SET価格
トヨタ,C-HR,ZYX10/NGX10,2016/12～<br>NGX50(4WD)未確認,Fr：スラストベアリング<br>Rr：純正使用,Fr：-10～-50mm<br>Rr：-10～-50mm,74832,,260229,T4T039-qq-e-f1-1k,T4T039-qq-e-d-1k,T4T039,JIC,TT-Four,ID60/H180-6K|ID66/H220-6K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,アルファード,ANH10W/MNH10W,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-5～-75mm<br>Rr：-30～-80mm,74832,,260230,T4T031-qq-e-f1-2k,T4T031-qq-e-d-2k,T4T031,JIC,TT-Four,ID62/H240-6K|専用5.5K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,アルファード/ヴェルファイア,AGH30W/GGH30W,2WD用,Fr：スラストベアリング<br>Rr：アジャスタ,Fr：-10～-80mm<br>Rr：-20～-65mm,74832,,260232,T4T037-qq-e-f1-4k,T4T037-qq-e-d-4k,T4T037,JIC,TT-Four,ID62/H200-8K|専用9K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,アルファード/ヴェルファイア,ANH20W/GGH20W,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-20～-80mm<br>Rr：-45～-85mm,74832,,260231,T4T016-qq-e-f1-3k,T4T016-qq-e-d-3k,T4T016,JIC,TT-Four,ID62/H240-6K|専用7K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,エスティマ,ACR30W/MCR30W,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-5～-70mm<br>Rr：-30～-75mm,74832,,260234,T4T031-qq-e-f1-6k,T4T031-qq-e-d-6k,T4T031,JIC,TT-Four,ID62/H240-6K|専用5.5K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,エスティマ,ACR50W/GSR50W,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-20～-70mm<br>Rr：-40～-75mm,74832,,260235,T4T013-qq-e-f1-7k,T4T013-qq-e-d-7k,T4T013,JIC,TT-Four,ID62/H240-6K|専用7K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,クラウン,GRS182,,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-20～-100mm<br>Rr：-20～-100mm,74832,,260236,T4T007-qq-e-f1-8k,T4T007-qq-e-d-8k,T4T007,JIC,TT-Four,ID62/H200-14K|ID62/H240-10K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,クラウン,GRS200/GRS204,,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-20～-100mm<br>Rr：-20～-100mm,74832,,260237,T4T007-qq-e-f1-9k,T4T007-qq-e-d-9k,T4T007,JIC,TT-Four,ID62/H200-14K|ID62/H240-10K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,クラウン,GRS210/GRS214/AWS210,,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-20～-100mm<br>Rr：-20～-100mm,74832,,260238,T4T007-qq-e-f1-10k,T4T007-qq-e-d-10k,T4T007,JIC,TT-Four,ID62/H200-14K|ID62/H240-10K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
