"自動車メーカー,車種,型式,エンジン,年式,適合詳細,ダウン量,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,バネレート【F/R】(kg/mm)	,定価,送料,SET価格"
スズキ,アルトワークス,HA21S/CR22S/HA11S,F6A,94/10～98/9,,Fr：30～40mm<br>Rr：20～30mm,,11921,,260333,H100R30-qq-e-f1-72k,H100R30-qq-e-d-72k,H100R30,JIC,X-MAGIC,1台分,3.0/2.4,21000,1100,27600
スズキ,エブリイバン,DA17V,R06A,15/2～,4WD,Fr：30～40mm<br>Rr：30～40mm,,14724,,260338,H100D17-qq-e-f1-77k,H100D17-qq-e-d-77k,H100D17,JIC,X-MAGIC,1台分,2.46/2.13,26500,1100,30600
スズキ,エブリイバン,DA62V,K6A,01/9～,,Fr：30～40mm<br>Rr：30～40mm,,12431,,260337,H100R42-qq-e-f1-76k,H100R42-qq-e-d-76k,H100R42,JIC,X-MAGIC,1台分,4.2/4.0,22000,1100,28100
スズキ,エブリイワゴン,DA52V,F6A,99/11～00/5,,Fr：30～40mm<br>Rr：35～45mm,,12431,,260334,H100R41-qq-e-f1-73k,H100R41-qq-e-d-73k,H100R41,JIC,X-MAGIC,1台分,4.2/4.0,22000,1100,28100
スズキ,エブリイワゴン,DA62W,K6A,01/9～,,Fr：30～40mm<br>Rr：30～40mm,,12431,,260335,H100R43-qq-e-f1-74k,H100R43-qq-e-d-74k,H100R43,JIC,X-MAGIC,1台分,4.2/4.0,22000,1100,28100
スズキ,エブリイワゴン,DA64W,K6A,07/8～,,Fr：45～55mm<br>Rr：30～40mm,バン取付可能(ダウン量未確認),12431,,260336,H100D64-qq-e-f1-75k,H100D64-qq-e-d-75k,H100D64,JIC,X-MAGIC,1台分,2.46/2.13,22000,1100,28100
スズキ,スイフト,ZC21S,M15A,04/11～,,Fr：25～35mm<br>Rr：25～35mm,,15386,,260339,H100R50-qq-e-f1-78k,H100R50-qq-e-d-78k,H100R50,JIC,X-MAGIC,1台分,2.8/2.9,27800,1100,31300
スズキ,スイフト,ZC31S,M16A,05/9～,,Fr：25～35mm<br>Rr：30～40mm,,15386,,260340,H100R50-qq-e-f1-79k,H100R50-qq-e-d-79k,H100R50,JIC,X-MAGIC,1台分,2.8/2.9,27800,1100,31300
スズキ,スペーシア/スペーシアカスタム,MK32S,R06A,13/3～,2WD/NA車,Fr：35～45mm<br>Rr：40～50mm,,13960,,260341,H100MK3-qq-e-f1-80k,H100MK3-qq-e-d-80k,H100MK3,JIC,X-MAGIC,1台分,2.06/1.32,25000,1100,29800
スズキ,セルボ,HG21S,K6A,06/11～,,Fr：25～35mm<br>Rr：25～35mm,,11105,,260342,H100HG1-qq-e-f1-81k,H100HG1-qq-e-d-81k,H100HG1,JIC,X-MAGIC,1台分,2.4/1.1,19400,1100,26700
