自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
JEEP,グランドチェロキー,ZMX,05～11,シリーズWH4.7 V8/5.7 V8/3.0 CRD,83200,,291149,KONI-HT-qq-e-i-338k,出さない,フロント:8240-1264×2<br>リア:8240-1265×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない,,
JEEP,グランドチェロキー,ZMX,99～04,グランドチェロキーシリーズ WJ,80000,,291380,KONI-HT-qq-e-i-337k,出さない,フロント:8240-1176SPX×2<br>リア:8240-1177SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,100000,出さない,出さない,,
JEEP,コマンダー,XH/XK,05～10,4WDシリーズ,83200,,291379,KONI-HT-qq-e-i-335k,出さない,フロント:8240-1264×2<br>リア:8240-1265×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない,,
JEEP,チェロキー,7MX,84～01,チェロキー/ワゴニア/シリーズ XJ(4WD),68800,,291378,KONI-HT-qq-e-i-333k,出さない,フロント:30-1348×2<br>リア:30-1630×2,KONI,HEAVY TRACK,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない,,
JEEP,チェロキー,KJ37,01～13,チェロキー/リバティ/シリーズ KJ/KK,97600,,291148,KONI-HT-qq-e-i-334k,出さない,フロント:8240-1201SPX×2<br>リア:8240-1202SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,122000,出さない,出さない,,
JEEP,ラングラー,TJ40,06/08～10,シリーズ JK2.8 V6/2.8CRD,83200,,290926,KONI-HT-qq-e-i-341k,出さない,フロント:8240-1262×2<br>リア:8240-1263×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない,,
JEEP,ラングラー,TJ40,96～05,TJ(4WD)<br>コイルスプリング車,68800,,291150,KONI-HT-qq-e-i-340k,出さない,フロント:30-1348×2<br>リア:30-1630×2,KONI,HEAVY TRACK,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない,,
LANDROVER,ディスカバリーI,,89～94,,65600,,290927,KONI-HT-qq-e-i-345k,出さない,フロント:30-1311×2<br>リア:30-1312×2,KONI,HEAVY TRACK,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,82000,出さない,出さない,,
LANDROVER,ディスカバリーI,,89～94,,83200,,290928,KONI-HT-qq-e-i-346k,出さない,フロント:8240-1181SPX×2<br>リア:8240-1190SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない,,
LANDROVER,ディスカバリーII,,99～04,タイプ2 MYシリーズ以降(エアーサスペンション車を含む),88000,,291151,KONI-HT-qq-e-i-349k,出さない,フロント:8240-1178SPX×2<br>リア:8240-1179SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,110000,出さない,出さない,,
LANDROVER,ディフェンダー110,,83～99,,83200,,290930,KONI-HT-qq-e-i-353k,出さない,フロント:8240-1181SPX×2<br>リア:8240-1190SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない,,
LANDROVER,ディフェンダー110,,83～99,,65600,,291153,KONI-HT-qq-e-i-352k,出さない,フロント:30-1311×2<br>リア:30-1312×2,KONI,HEAVY TRACK,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,82000,出さない,出さない,,
LANDROVER,ディフェンダー110/130,,99～,シャーシナンバー:XA159807以降の車両,83200,,291381,KONI-HT-qq-e-i-354k,出さない,フロント:8240-1181SPX×2<br>リア:8240-1182SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない,,
LANDROVER,ディフェンダー90,,99～,シャーシナンバー:XA159807以降の車両,83200,,290929,KONI-HT-qq-e-i-351k,出さない,フロント:8240-1181SPX×2<br>リア:8240-1182SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない,,
LANDROVER,レンジローバー,,71～94,エアーサスペンション車除く,83200,,290931,KONI-HT-qq-e-i-357k,出さない,フロント:8240-1181SPX×2<br>リア:8240-1190SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない,,
LANDROVER,レンジローバー,,71～94,エアーサスペンション車除く,65600,,291382,KONI-HT-qq-e-i-356k,出さない,フロント:30-1311×2<br>リア:30-1312×2,KONI,HEAVY TRACK,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,82000,出さない,出さない,,
LANDROVER,レンジローバー MK2,,95～01,クラシックを除く<br>エアーサスペンション装着車用,76800,,291383,KONI-HT-qq-e-i-362k,出さない,フロント:30-1597×2<br>リア:30-1598×2,KONI,HEAVY TRACK,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
LANDROVER,レンジローバー クラシック,,94～96,エアーサスペンション車除く<br>リアアンチロールバー装着車除く,65600,,290932,KONI-HT-qq-e-i-359k,出さない,フロント:30-1311×2<br>リア:30-1312×2,KONI,HEAVY TRACK,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,82000,出さない,出さない,,
LANDROVER,レンジローバー クラシック,,94～96,エアーサスペンション車除く<br>リアアンチロールバー装着車除く,83200,,290933,KONI-HT-qq-e-i-360k,出さない,フロント:8240-1181SPX×2<br>リア:8240-1190SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,104000,出さない,出さない,,
MERCEDESBENZ,Gシリーズ,W460,79～90,フロント:Lmax=632mm/リア:Lmax=585mm,84800,,291384,KONI-HT-qq-e-i-439k,出さない,フロント:8240-1195SPX×2<br>リア:8240-1197SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,106000,出さない,出さない,,
MERCEDESBENZ,Gシリーズ,W461,90～,AMG 500GE/G36パートタイム4WD含む(95～97)<br>フロント:Lmax=632mm/リア:Lmax=585mm,84800,,291157,KONI-HT-qq-e-i-441k,出さない,フロント:8240-1195SPX×2<br>リア:8240-1197SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,106000,出さない,出さない,,
MERCEDESBENZ,Gシリーズ,W461,90～,フロント:Lmax=585mm/リア:Lmax=585mm,84800,,290935,KONI-HT-qq-e-i-443k,出さない,フロント:8240-1196SPX×2<br>リア:8240-1197SPX×2,KONI,HEAVY TRACK,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,106000,出さない,出さない,,
