自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
LANDROVER,ディスカバリーI,,89～94,,156800,,291168,KONI-HTR-qq-e-i-347k,出さない,フロント:90-5374SP1×2<br>リア:90-5375SP1×2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,RAIDダンパー前後0～40mmUP可能,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,196000,出さない,出さない,,
LANDROVER,ディスカバリーI,,94～98,,156800,,290938,KONI-HTR-qq-e-i-348k,出さない,フロント:90-5374SP1×2<br>リア:90-5375SP1×2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,RAIDダンパー前後0～40mmUP可能,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,196000,出さない,出さない,,
LANDROVER,ディフェンダー110/130,,99～,,156800,,291388,KONI-HTR-qq-e-i-355k,出さない,フロント:90-5374SP1×2<br>リア:90-5375SP1×2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,RAIDダンパー前0～50mm/後0～40mmUP可能,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,196000,出さない,出さない,,
LANDROVER,ディフェンダー90,,84～,,156800,,291169,KONI-HTR-qq-e-i-350k,出さない,フロント:90-5374SP1×2<br>リア:90-5375SP1×2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,RAIDダンパー前0～50mm/後0～40mmUP可能,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,196000,出さない,出さない,,
LANDROVER,レンジローバー,,71～94,,156800,,291170,KONI-HTR-qq-e-i-358k,出さない,フロント:90-5374SP1×2<br>リア:90-5375SP1×2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,RAIDダンパー前0～50mm/後0～40mmUP可能,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,196000,出さない,出さない,,
LANDROVER,レンジローバー クラシック,,94～96,エアーサスペンション車除く<br>リアアンチロールバー装着車除く,156800,,291389,KONI-HTR-qq-e-i-361k,出さない,フロント:90-5374SP1×2<br>リア:90-5375SP1×2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,RAIDダンパー前0～50mm/後0～40mmUP可能,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,196000,出さない,出さない,,
MERCEDESBENZ,Gシリーズ,W461,90～,,153600,,291173,KONI-HTR-qq-e-i-444k,出さない,フロント:90-5383×2<br>リア:90-5384×2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,前30～50mm/後0～50mmアップまで対応,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,192000,出さない,出さない,,
MERCEDESBENZ,Gシリーズ,W463,90～,,153600,,291174,KONI-HTR-qq-e-i-446k,出さない,フロント:90-5383×2<br>リア:90-5384×2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,前30～50mm/後0～50mmアップまで対応,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,192000,出さない,出さない,,
トヨタ,FJクルーザー,GSJ15W系,10/12～,,156800,,290651,KONI-HTR-qq-e-i-48k,KONI-HTR-qq-e-d-i-48k,フロント:88-1712SP2×2<br>リア:90-5404LSP2/90-5404RSP2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,RAIDダンパー前後0～30mmUP車まで対応,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,196000,152200,171800,,KDSS/X-リアス装着車は作業対応不可
トヨタ,ハイラックスピックアップ,,15～,Wキャブ,152000,,290650,KONI-HTR-qq-e-i-20k,KONI-HTR-qq-e-d-i-20k,フロント:88-1830×2<br>リア:90-5479×2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,190000,148000,167000,,
トヨタ,ランドクルーザー,150系,09/09～,,156800,,290940,KONI-HTR-qq-e-i-44k,出さない,フロント:88-1712SP2×2<br>リア:90-5404LSP2/90-5404RSP2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,RAIDダンパー前後0～30mmUP車まで対応,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,196000,出さない,出さない,,
トヨタ,ランドクルーザー,200系,07/10～,,158400,,291391,KONI-HTR-qq-e-i-46k,出さない,フロント:90-5447×2<br>リア:90-5448×2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,RAIDダンパー前後0～30mmUP車まで対応,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,198000,出さない,出さない,,
トヨタ,ランドクルーザー,FJ80/HZJ80/HDJ80,89/10～97/12,,156000,,291171,KONI-HTR-qq-e-i-36k,出さない,フロント:90-5389SP2×2<br>リア:90-5390SP2×2,KONI,HEAVY TRACK RAID,1台分,STD/STD,,RAIDダンパー前後0～50mmUP車まで対応,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,195000,出さない,出さない,,
