自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
ALFAROMEO,147,937,2000～2010/05,1.6TS/2.0TS/1.9JTD<br>GTA及びセルフレベリング装着車を除く,88000,,290620,KONI-AC-qq-e-i-834k,KONI-AC-qq-e-d-i-834k,フロント:8045-1021×2<br>リア:87451020×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,110000,112000,123000,,
ALFAROMEO,156 セダン/スポーツワゴン,932,1997/10～2006,GTA/Q4(4WD)及びセルフレベリング装着車を除く,88000,,290621,KONI-AC-qq-e-i-838k,KONI-AC-qq-e-d-i-838k,フロント:8045-1021×2<br>リア:87451020×2,KONI,ACTIVE,1台分,,,,純正アイバッハスプリング装着車はスプリングが遊ぶ事があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,110000,112000,123000,,
ALFAROMEO,GT クーペ,937,2004/01～2010/07,3.2 V6除く<br>セルフレベリング装着車を除く,88000,,291112,KONI-AC-qq-e-i-859k,出さない,フロント:8045-1021×2<br>リア:8745-1020×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,110000,出さない,出さない,,
ALFAROMEO,ミト,955,2008/11～2018,1.4/1.4T/1.4TB(QV含む)/1.3JTDM/1.6JTDM<br>純正スプリングのみ対応<br>アクティブサスペンション車除く,78400,,290622,KONI-AC-qq-e-i-865k,KONI-AC-qq-e-d-i-865k,フロント:8745-1205L/8745-1205R<br>リア:8045-1249×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,108600,118400,,
AUDI,A1,,2010/08～,DCC車除く,68800,,291113,KONI-AC-qq-e-i-871k,出さない,フロント:8745-1278×2<br>リア:8045-1070×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない,,
AUDI,A2,,2000～2005,1.2DTI(3リッターカー)車除く,68800,,290894,KONI-AC-qq-e-i-874k,出さない,フロント:8745-1069×2<br>リア:8045-1070×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない,,
AUDI,A3,8L,1996/09～2003/09,1.6/1.8/1.8T/1.9TDi<br>アウディスポーツサスペンション車を含む<br>クワトロ/HDサスペンション車を除く,73600,,290895,KONI-AC-qq-e-i-876k,出さない,フロント:8745-1029×2<br>リア:8045-1083×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,出さない,出さない,,
AUDI,A3,8P,2003/05～2012,3.2クワトロ(Sライン車含む)<br>フロント:φ55mmの純正ストラット車,73600,,290626,KONI-AC-qq-e-i-892k,KONI-AC-qq-e-d-i-892k,フロント:8745-1225×2<br>リア:8045-1226×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,104400,113600,,
AUDI,A3,8P,2003/05～2012,スポーツバック含む<br>クワトロを除く<br>フロント:φ55mmの純正ストラット車,73600,,290624,KONI-AC-qq-e-i-885k,KONI-AC-qq-e-d-i-885k,フロント:8745-1006×2<br>リア:8045-1084×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,104400,113600,,
AUDI,A3,8V,2012～,E-トロン/カブリオレ/S3/RS3/Sラインを除く<br>純正ストラット径がφ50mmの車両<br>リヤサスペンション:マルチリンク車,78400,,290896,KONI-AC-qq-e-i-897k,出さない,フロント:8745-1324×2<br>リア:8245-1327×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない,,
AUDI,A3,8V,2012～,E-トロン/カブリオレ/S3/RS3/Sラインを除く<br>純正ストラット径がφ55mmの車両<br>リヤサスペンション:マルチリンク車,78400,,291116,KONI-AC-qq-e-i-900k,出さない,フロント:8745-1325×2<br>リア:8245-1327×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない,,
AUDI,A3 カブリオレ,8P,2008/01～2012,フロント:φ55mmの純正ストラット車,73600,,290627,KONI-AC-qq-e-i-894k,KONI-AC-qq-e-d-i-894k,フロント:8745-1225×2<br>リア:8045-1226×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,104400,113600,,
AUDI,A3 クワトロ,8L,1998～1999,シャーシNo:8L-X-140000までの車両,78400,,291114,KONI-AC-qq-e-i-880k,出さない,フロント:8745-1029×2<br>リア:8245-1032×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない,,
AUDI,A3 クワトロ,8L,2000～2003,シャーシNo:8L-X-140001からの車両,78400,,291115,KONI-AC-qq-e-i-882k,出さない,フロント:8745-1030×2<br>リア:8245-1032×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない,,
AUDI,A3 クワトロ,8P,2003/05～2012,3.2 V6及びSライン車を除く<br>フロント:φ55mmの純正ストラット車,73600,,290625,KONI-AC-qq-e-i-889k,KONI-AC-qq-e-d-i-889k,フロント:8745-1006×2<br>リア:8045-1084×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,92000,104400,113600,,
AUDI,A4,B8/8K,2008/03～,Sラインサスペンション車専用<br>オールロード除く,68800,,290898,KONI-AC-qq-e-i-923k,出さない,フロント:8245-1264×2<br>リア:8045-1265×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,A4 アバント,B6/B7/8E,2001/10～2007,スポーツサスペンション車含む<br>クワトロ/Sライン除く,68800,,291118,KONI-AC-qq-e-i-908k,出さない,フロント:8245-1008×2<br>リア:8045-1246×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,A4 アバント,B8/8K,2008/03～,1.8/2.0/3.2/2.0/2.7/3.0TDi(クアトロ含む)<br>Sラインサスペンション車除く<br>オールロード除く,68800,,291120,KONI-AC-qq-e-i-925k,出さない,フロント:8245-1221×2<br>リア:8045-1222×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,A4 セダン,B6/B7/8E,2000/11～2007,スポーツサスペンション車含む<br>クワトロ/Sライン除く,68800,,291117,KONI-AC-qq-e-i-904k,出さない,フロント:8245-1008×2<br>リア:8045-1246×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,A4 セダン,B8/8K,2008/03～,1.8/2.0/3.2 2.0/2.7/3.0TDi(クアトロ含む)<br>Sラインサスペンション車除く<br>オールロード除く,68800,,291119,KONI-AC-qq-e-i-917k,出さない,フロント:8245-1221×2<br>リア:8045-1222×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,A4 セダン/アバント クアトロ,B6/B7/8E,2000/11～2007,スポーツサスペンション車含む<br>Sライン除く,68800,,290897,KONI-AC-qq-e-i-912k,出さない,フロント:8245-1008×2<br>リア:8045-1246×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,A5,8T,2007～,Sラインサスペンション車専用,68800,,290631,KONI-AC-qq-e-i-933k,KONI-AC-qq-e-d-i-933k,フロント:8245-1264×2<br>リア:8045-1265×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,100200,108800
AUDI,A5,8T,2009～,ラインサスペンション車専用,68800,,290633,KONI-AC-qq-e-i-939k,KONI-AC-qq-e-d-i-939k,フロント:8245-1264×2<br>リア:8045-1265×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,100200,108800
AUDI,A5 カブリオレ,8F,2009/03～,1.8T/2.0T/3.2/Tdi全モデル,68800,,291353,KONI-AC-qq-e-i-941k,出さない,フロント:8245-1221×2<br>リア:8045-1265×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,A5 クーペ,8T,2007～,1.8T/2.0T/3.2/Tdi全モデル<br>Sラインサスペンション車除く,68800,,290629,KONI-AC-qq-e-i-929k,KONI-AC-qq-e-d-i-929k,フロント:8245-1221×2<br>リア:8045-1222×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,100200,108800
AUDI,A5 スポーツバック,8T,2009～,1.8T/2.0T/3.2/Tdi全モデル<br>Sラインサスペンション車除く,68800,,290632,KONI-AC-qq-e-i-935k,KONI-AC-qq-e-d-i-935k,フロント:8245-1221×2<br>リア:8045-1222×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,100200,108800
AUDI,A6 アバント,C7/4G,2011～,Sラインサス/エアーサス及びオールロード車を除く,68800,,290899,KONI-AC-qq-e-i-982k,出さない,フロント:8245-1294×2<br>リア:8045-1222×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,A6 アバント,C7/4G,2011～,Sラインサス含む<br>エアーサス&オールロード車除く,68800,,291356,KONI-AC-qq-e-i-986k,出さない,フロント:8245-1264×2<br>リア:8045-1265×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,A6 セダン,C7/4G,2011～,Sラインサス&エアーサス車を除く,68800,,291354,KONI-AC-qq-e-i-974k,出さない,フロント:8245-1294×2<br>リア:8045-1222×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,A6 セダン,C7/4G,2011～,Sラインサス含む<br>エアーサス車除く,68800,,291355,KONI-AC-qq-e-i-980k,出さない,フロント:8245-1264×2<br>リア:8045-1265×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
AUDI,A7,4G,2010～,2WD/クワトロ<br>Sライン/エアーサス/S7/RS7を除く,68800,,291357,KONI-AC-qq-e-i-988k,出さない,フロント:8245-1294×2<br>リア:8045-1222×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,86000,出さない,出さない
