自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
ABARTH,124/124S,,66～80,クーペ&スパイダー2000含む,55200,,291423,KONI-SP-qq-e-i-322k,出さない,フロント:80-1877×2<br>リア:80-1878×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,69000,出さない,出さない,,
ABARTH,124スパイダー,NF2EB,16～,,104000,,291205,KONI-SP-qq-e-i-323k,出さない,フロント:8241-1310×2<br>リア:8241-1311×2,KONI,SPORT,1台分,外部/外部,,純正ビルシュタイン装着車の場合、車高が下がる場合がございます。(10mm前後),欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,130000,出さない,出さない,,
ALFAROMEO,147,937,2000～2010/05,1.6TS/2.0TS/1.9JTD<br>GTA及びセルフレベリング装着車を除く,108000,,290766,KONI-SP-qq-e-i-833k,KONI-SP-qq-e-d-i-833k,フロント:8041-1239×2<br>リア:8741-1473×2,KONI,SPORT,1台分,外部/外部,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,135000,129500,143000,,
ALFAROMEO,156 セダン/スポーツワゴン,932,1997/10～2006,GTA/Q4(4WD)及びセルフレベリング装着車を除く,108000,,290767,KONI-SP-qq-e-i-837k,KONI-SP-qq-e-d-i-837k,フロント:8041-1239×2<br>リア:8741-1473×2,KONI,SPORT,1台分,外部/外部,,,純正アイバッハスプリング装着車はスプリングが遊ぶ事があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,135000,129500,143000,,
ALFAROMEO,159 スポーツワゴン,,2005～2012,オールエンジン Q4含む<br>セルフレベリング装着車を除く,94400,,290769,KONI-SP-qq-e-i-844k,KONI-SP-qq-e-d-i-844k,フロント:8241-1238×2<br>リア:8240-1239×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,118000,117600,129400,,
ALFAROMEO,159 セダン,,2005～2012,オールエンジン Q4含む<br>セルフレベリング装着車を除く,94400,,290768,KONI-SP-qq-e-i-841k,KONI-SP-qq-e-d-i-841k,フロント:8241-1238×2<br>リア:8240-1239×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,118000,117600,129400,,
ALFAROMEO,75,,1985～1991,1.6/1.8/2.0/2.0TD/1.8ターボ/V6,52800,,291246,KONI-SP-qq-e-i-831k,出さない,フロント:80-2570×2<br>リア:80-2571×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,66000,出さない,出さない,,
ALFAROMEO,90,,1985～1987,,52800,,291010,KONI-SP-qq-e-i-832k,出さない,フロント:80-2570×2<br>リア:80-2571×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,66000,出さない,出さない,,
ALFAROMEO,GT クーペ,937,2004/01～2010/07,3.2 V6<br>セルフレベリング装着車を除く,108000,,291250,KONI-SP-qq-e-i-862k,出さない,フロント:8041-1239×2<br>リア:8741-1473×2,KONI,SPORT,1台分,外部/外部,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,135000,出さない,出さない,,
ALFAROMEO,GT クーペ,937,2004/01～2010/07,3.2 V6除く<br>セルフレベリング装着車を除く,108000,,291248,KONI-SP-qq-e-i-858k,出さない,フロント:8041-1239×2<br>リア:8741-1473×2,KONI,SPORT,1台分,外部/外部,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,135000,出さない,出さない,,
ALFAROMEO,GTV クーペ,916,1997～2005,3.0-V6 24V/3.2-V6 24V,101600,,290770,KONI-SP-qq-e-i-864k,KONI-SP-qq-e-d-i-864k,フロント:8741-1404×2<br>リア:30-1608×2,KONI,SPORT,1台分,外部/STD,,リア:高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,127000,123900,136600,,
ALFAROMEO,アルフェッタ,,1972～1986,GTV/GTV6,56000,,291247,KONI-SP-qq-e-i-847k,出さない,フロント:80-2241×2<br>リア:80-2242×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,70000,出さない,出さない,,
ALFAROMEO,アルフェッタ,,1985～1989,GTV/GTV6,52800,,291465,KONI-SP-qq-e-i-848k,出さない,フロント:80-2570×2<br>リア:80-2571×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,66000,出さない,出さない,,
ALFAROMEO,ジュリア,,1965/10～1978,Bertone GTV/Juniorを含む,52800,,291467,KONI-SP-qq-e-i-855k,出さない,フロント:80-1551×2<br>リア:80-1781×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,66000,出さない,出さない,,
ALFAROMEO,ジュリェッタ,,1978～1987,,56000,,291011,KONI-SP-qq-e-i-857k,出さない,フロント:80-2241×2<br>リア:80-2242×2,KONI,SPORT,1台分,STD/STD,,本体色=レッド,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,70000,出さない,出さない,,
ALFAROMEO,スパイダー,939,2006～2011,1750TBi/2.2JTS/3.2V6 Q4(4WD)/2.0JTDM/2.4JTDM<br>セルフレベリング装着車を除く,94400,,291468,KONI-SP-qq-e-i-868k,出さない,フロント:8241-1238×2<br>リア:8240-1239×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,118000,出さない,出さない,,
ALFAROMEO,スパイダー,,1967～1993,1300/1600/1750/2000<br>デュエット/ベローチェを含む,52800,,291012,KONI-SP-qq-e-i-867k,出さない,フロント:80-1551×2<br>リア:80-1781×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,66000,出さない,出さない,,
ALFAROMEO,ブレラ クーペ,939,2005～2011,3.2-V6 Q4(4WD)を含む,94400,,291466,KONI-SP-qq-e-i-849k,出さない,フロント:8241-1238×2<br>リア:8240-1239×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,118000,出さない,出さない,,
AUDI,100 セダン/アバント,44/C4/44Q/C4Q,1983～1994,クワトロ含む<br>リア:トップナットが10mmの車両,76800,,290952,KONI-SP-qq-e-i-1052k,出さない,フロント:86-2149×2<br>リア:80-2762×2,KONI,SPORT,1台分,STD/STD,,フロント取り付けの際は純正ストラットを分解しカートリッジを挿入する加工が必要です。,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,96000,出さない,出さない,,
