自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
ALFAROMEO,147,937,2000～2010/05,フロント軸重980Kgまでの車両<br>セルフレベリング装着車を除く,128000,,290462,1140-3601-qq-e-835k,1140-3601-qq-e-d-835k,1140-3601,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,160000,147000,163000,,
ALFAROMEO,147,937,2000～2010/05,フロント軸重981Kg以上の車両<br>セルフレベリング装着車を除く,128000,,290463,1140-3602-qq-e-836k,1140-3602-qq-e-d-836k,1140-3602,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,160000,147000,163000,,
ALFAROMEO,156,932,1997/10～2006,1.6 16V/1.8 16V/2.0 16V<br>セルフレベリング装着車を除く,128000,,290482,1140-5051-qq-e-839k,1140-5051-qq-e-d-839k,1140-5051,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,160000,147000,163000,,
ALFAROMEO,156,932,1997/10～2006,2.5-V6/1.9JTD/2.4JTD<br>セルフレベリング装着車を除く,128000,,290483,1140-5052-qq-e-840k,1140-5052-qq-e-d-840k,1140-5052,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,160000,147000,163000,,
ALFAROMEO,159 スポーツワゴン,,2005～2012,1750TBi/1.8mpi/1.9JTC/2.2JTS/1.9JTDM/2.0JTDM<br>セルフレベリング装着車を除く,114400,,290430,1140-1363-qq-e-845k,1140-1363-qq-e-d-845k,1140-1363,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,143000,135100,149400,,
ALFAROMEO,159 スポーツワゴン,,2005～2012,2.4JTDM<br>セルフレベリング装着車を除く,114400,,290429,1140-1362-qq-e-846k,1140-1362-qq-e-d-846k,1140-1362,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,143000,135100,149400,,
ALFAROMEO,159 セダン,,2005～2012,1750TBi/1.8mpi/1.9JTC/2.2JTS/1.9JTDM/2.0JTDM<br>セルフレベリング装着車を除く,114400,,290428,1140-1361-qq-e-842k,1140-1361-qq-e-d-842k,1140-1361,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,143000,135100,149400,,
ALFAROMEO,159 セダン,,2005～2012,2.4JTDM<br>セルフレベリング装着車を除く,114400,,290431,1140-1364-qq-e-843k,1140-1364-qq-e-d-843k,1140-1364,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,143000,135100,149400,,
ALFAROMEO,GT クーペ,937,2004/01～2010/07,3.2 V6<br>セルフレベリング装着車を除く,128000,,290824,1140-3603-qq-e-863k,出さない,1140-3603,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,160000,出さない,出さない,,
ALFAROMEO,GT クーペ,937,2004/01～2010/07,フロント軸重～980Kg<br>セルフレベリング装着車を除く,128000,,290823,1140-3601-qq-e-860k,出さない,1140-3601,KONI,SPORT KIT,1台分,外部/外部,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,160000,出さない,出さない,,
ALFAROMEO,GT クーペ,937,2004/01～2010/07,フロント軸重980Kg～<br>セルフレベリング装着車を除く,128000,,291290,1140-3602-qq-e-861k,出さない,1140-3602,KONI,SPORT KIT,1台分,外部/外部,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,160000,出さない,出さない,,
ALFAROMEO,スパイダー,939,2006～2011,1750TBi/2.2JTS/3.2V6 Q4(4WD)/2.0JTDM/2.4JTDM<br>セルフレベリング装着車を除く,114400,,291035,1140-1361-qq-e-869k,出さない,1140-1361,KONI,SPORT KIT,1台分,外部/外部,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,143000,出さない,出さない,,
ALFAROMEO,ブレラ,939,2005～2011,1750TBi/2.2JTS/2.0JTDM,114400,,291034,1140-1361-qq-e-850k,出さない,1140-1361,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,143000,出さない,出さない,,
ALFAROMEO,ブレラ,939,2005～2011,2.4JTDM,114400,,290810,1140-1364-qq-e-852k,出さない,1140-1364,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,143000,出さない,出さない,,
ALFAROMEO,ブレラ,939,2005～2011,3.2 V6/Q4,114400,,290809,1140-1362-qq-e-851k,出さない,1140-1362,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,143000,出さない,出さない,,
AUDI,A1,,2010/08～,フロント軸重～925Kg,102400,,291088,1140-9441-qq-e-872k,出さない,1140-9441,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,128000,出さない,出さない
AUDI,A1,,2010/08～,フロント軸重926Kg～,102400,,290863,1140-9442-qq-e-873k,出さない,1140-9442,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,128000,出さない,出さない
AUDI,A3,8L,1996/09～2003/09,1.6/1.8/1.8T/1.9TDi フロント軸重～910Kg,109600,,290840,1140-7671-qq-e-877k,出さない,1140-7671,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,137000,出さない,出さない
AUDI,A3,8L,1996/09～2003/09,1.6/1.8/1.8T/1.9TDi フロント軸重911Kg～,109600,,291312,1140-7672-qq-e-878k,出さない,1140-7672,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,137000,出さない,出さない
AUDI,A3,8P,2003/05～2012,スポーツバック含む<br>フロント軸重～1020Kg,109600,,290450,1140-2611-qq-e-886k,1140-2611-qq-e-d-886k,1140-2611,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,137000,135900,149600
AUDI,A3,8P,2003/05～2012,スポーツバック含む<br>フロント軸重1021Kg～,109600,,290454,1140-2612-qq-e-887k,1140-2612-qq-e-d-887k,1140-2612,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,137000,135900,149600
AUDI,A3 クワトロ,8L,2000～2003,シャーシNo:8L-X-140001からの車両,119200,,291297,1140-4382-qq-e-883k,出さない,1140-4382,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,149000,出さない,出さない
AUDI,A3 クワトロ,8P,2003/05～2012,3.2 V6及びSライン車を除く<br>フロント:φ55mmの純正ストラット車,111200,,290442,1140-2271-qq-e-890k,1140-2271-qq-e-d-890k,1140-2271,KONI,SPORT KIT,1台分,外部/-,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,139000,137300,151200
AUDI,A4,B8/8K,2008/03～,2WD&クアトロ フロント軸重1100Kgまでの車両,107200,,290800,1140-0614-qq-e-926k,出さない,1140-0614,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,出さない,出さない
AUDI,A4,B8/8K,2008/03～,2WD&クアトロ フロント軸重1101Kgからの車両,107200,,290798,1140-0612-qq-e-927k,出さない,1140-0612,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,出さない,出さない
AUDI,A4 アバント,B6/B7/8E,2001/10～2007,フロント軸重が1050kgまでの車両,100800,,291047,1140-3691-qq-e-909k,出さない,1140-3691,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,126000,出さない,出さない
AUDI,A4 アバント,B6/B7/8E,2001/10～2007,フロント軸重が1051kgからの車両,100800,,290827,1140-3692-qq-e-910k,出さない,1140-3692,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,126000,出さない,出さない
AUDI,A4 セダン,B6/B7/8E,2000/11～2007,フロント軸重が1050kgまでの車両,100800,,291292,1140-3691-qq-e-905k,出さない,1140-3691,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,126000,出さない,出さない
AUDI,A4 セダン,B6/B7/8E,2000/11～2007,フロント軸重が1051kgからの車両,100800,,290826,1140-3692-qq-e-906k,出さない,1140-3692,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,126000,出さない,出さない
AUDI,A4 セダン,B8/8K,2008/03～,2WD フロント軸重1100Kgまでの車両,107200,,291273,1140-0613-qq-e-918k,出さない,1140-0613,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,出さない,出さない
AUDI,A4 セダン,B8/8K,2008/03～,2WD フロント軸重1101Kgからの車両,107200,,291029,1140-0611-qq-e-919k,出さない,1140-0611,KONI,SPORT KIT,1台分,,,純正スポーツサスペンション装着車に装着した場合、ダウン量は少なくなります。<br>フロントのダウン量は車輌の仕様とエンジンの重量により異なります。,SPORT KIT 1140は車両により法律で定める最低地上高を確保出来ず、車検が通らない場合があります。<br>欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,134000,出さない,出さない
