自動車メーカー,車種,型式,年式,適合詳細,スプリング,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,備考,注意事項,定価,SET価格,,取付特記事項
スバル,BRZ,ZC6,12/03～,"グレード:S,R",スプリング付,78098,,71103,EKIT-ZC6-qq-e-549,EKIT-ZC6-qq-e-d-549,EKIT-ZC6,KYB,Extage,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,113500,99000,,
スバル,BRZ,ZC6,12/03～,"グレード:S,R",スプリング無,72979,,70993,KYB-qq-e-i-4067,KYB-qq-e-d-i-4067,フロント:EST5504R/EST5504L 各1本<br>リア:ESB9210 2本,KYB,Extage,1台分,,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,105800,89100,,
トヨタ,86,ZN6,12/03～16/08,"グレード:GTリミテッド,GT,G<br>その他:M/C前車",スプリング付,78098,,72406,EKIT-ZN6-qq-e-500,EKIT-ZN6-qq-e-d-500,EKIT-ZN6,KYB,Extage,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,113500,99000,,
トヨタ,86,ZN6,12/03～16/08,"グレード:GTリミテッド,GT,G<br>その他:M/C前車",スプリング無,72979,,74136,KYB-qq-e-i-4000,KYB-qq-e-d-i-4000,フロント:EST5504R/EST5504L 各1本<br>リア:ESB9210 2本,KYB,Extage,1台分,,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,105800,89100,,
トヨタ,86,ZN6,16/09～,"グレード:GTリミテッド,GT,G<br>その他:M/C後車",スプリング付,78098,,71859,EKIT-ZC6-qq-e-501,EKIT-ZC6-qq-e-d-501,EKIT-ZC6,KYB,Extage,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,113500,99000,,
トヨタ,86,ZN6,16/09～,"グレード:GTリミテッド,GT,G<br>その他:M/C後車",スプリング無,72979,,73597,KYB-qq-e-i-4001,KYB-qq-e-d-i-4001,フロント:EST5504R/EST5504L 各1本<br>リア:ESB9210 2本,KYB,Extage,1台分,,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,105800,89100,,
トヨタ,FJクルーザー,GSJ15W,10/12～,グレード:全グレード(除くX-REAS装着車)<br>エンジン形式:1GR-FE<br>駆動:4WD,スプリング付,63140,,71858,EKIT-GSJ15W14-qq-e-502,EKIT-GSJ15W14-qq-e-d-502,EKIT-GSJ15W14,KYB,Extage,1台分,減衰力14段調整式,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,91000,82400,,KDSS/X-リアス装着車は作業対応不可
トヨタ,FJクルーザー,GSJ15W,10/12～,グレード:全グレード(除くX-REAS装着車)<br>エンジン形式:1GR-FE<br>駆動:4WD,スプリング無,53035,,72532,KYB-qq-e-i-4002,KYB-qq-e-d-i-4002,フロント:ESB9239 2本<br>リア:ESB2194 2本,KYB,Extage,1台分,減衰力14段調整式,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,75800,68100,,KDSS/X-リアス装着車は作業対応不可
トヨタ,SAI,AZK10,09/12～,"グレード:G,S<br>エンジン形式:2AZFXE<br>駆動:FF",スプリング付,79428,,71855,EKIT-AZK10-qq-e-503,EKIT-AZK10-qq-e-d-503,EKIT-AZK10,KYB,Extage,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,115500,100500,,
トヨタ,SAI,AZK10,09/12～,"グレード:G,S<br>エンジン形式:2AZFXE<br>駆動:FF",スプリング無,74575,,74137,KYB-qq-e-i-4003,KYB-qq-e-d-i-4003,フロント:EST5432R/EST5432L 各1本<br>リア:ESK5801 2本,KYB,Extage,1台分,,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,108200,90800,,
トヨタ,アルファード,ANH20W,08/05～,"グレード:240X,240S,240G<br>エンジン形式:2AZFE(2,4リットル)<br>駆動:FF",スプリング付,71449,,71852,EKIT-ANH20W-qq-e-504,EKIT-ANH20W-qq-e-d-504,EKIT-ANH20W,KYB,Extage,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,103500,91600,,
トヨタ,アルファード,ANH20W,08/05～,"グレード:240X,240S,240G<br>エンジン形式:2AZFE(2,4リットル)<br>駆動:FF",スプリング無,69389,,72007,KYB-qq-e-i-4004,KYB-qq-e-d-i-4004,フロント:EST5327R/EST5327L 各1本<br>リア:ESB2089 2本,KYB,Extage,1台分,,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,100400,85300,,
トヨタ,アルファード,GGH20W,08/05～,"グレード:350X,350S,350S Cパッケージ,350G Lパッケージ<br>エンジン形式:2GRFE(3.5リットル)<br>駆動:FF",スプリング付,71449,,73936,EKIT-GGH20W-qq-e-505,EKIT-GGH20W-qq-e-d-505,EKIT-GGH20W,KYB,Extage,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,103500,91600,,
トヨタ,アルファード,GGH20W,08/05～,"グレード:350X,350S,350S Cパッケージ,350G Lパッケージ<br>エンジン形式:2GRFE(3.5リットル)<br>駆動:FF",スプリング無,69389,,73053,KYB-qq-e-i-4005,KYB-qq-e-d-i-4005,フロント:EST5327R/EST5327L 各1本<br>リア:ESB2089 2本,KYB,Extage,1台分,,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,100400,85300,,
トヨタ,アルファードハイブリッド,ATH20W,11/11～,"グレード:SR,G,X<br>駆動:4WD",スプリング付,78098,,70838,EKIT-ATH20W-qq-e-506,EKIT-ATH20W-qq-e-d-506,EKIT-ATH20W,KYB,Extage,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,113500,99000,,
トヨタ,アルファードハイブリッド,ATH20W,11/11～,"グレード:SR,G,X<br>駆動:4WD",スプリング無,69389,,73598,KYB-qq-e-i-4006,KYB-qq-e-d-i-4006,フロント:EST5480R/EST5480L 各1本<br>リア:ESB2133 2本,KYB,Extage,1台分,,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,100400,85300
トヨタ,ヴェルファイア,ANH20W,08/05～,"グレード:2.4X,2.4Z,2.4V<br>エンジン形式:2AZFE(2,4リットル)<br>駆動:FF",スプリング付,71449,,71348,EKIT-ANH20W-qq-e-507,EKIT-ANH20W-qq-e-d-507,EKIT-ANH20W,KYB,Extage,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,103500,91600
トヨタ,ヴェルファイア,ANH20W,08/05～,"グレード:2.4X,2.4Z,2.4V<br>エンジン形式:2AZFE(2,4リットル)<br>駆動:FF",スプリング無,69389,,72008,KYB-qq-e-i-4007,KYB-qq-e-d-i-4007,フロント:EST5327R/EST5327L 各1本<br>リア:ESB2089 2本,KYB,Extage,1台分,,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,100400,85300
トヨタ,ヴェルファイア,GGH20W,08/05～,"グレード:3.5X,3.5Z,3.5V,3.5Z Gエディション,3.5V Lエディション<br>エンジン形式:2GRFE(3.5リットル)<br>駆動:FF",スプリング付,71449,,73937,EKIT-GGH20W-qq-e-508,EKIT-GGH20W-qq-e-d-508,EKIT-GGH20W,KYB,Extage,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,103500,91600
トヨタ,ヴェルファイア,GGH20W,08/05～,"グレード:3.5X,3.5Z,3.5V,3.5Z Gエディション,3.5V Lエディション<br>エンジン形式:2GRFE(3.5リットル)<br>駆動:FF",スプリング無,69389,,73273,KYB-qq-e-i-4008,KYB-qq-e-d-i-4008,フロント:EST5327R/EST5327L 各1本<br>リア:ESB2089 2本,KYB,Extage,1台分,,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,100400,85300
トヨタ,ヴェルファイアハイブリッド,ATH20W,11/11～,"グレード:ZR,V,X<br>駆動:4WD",スプリング付,78098,,73934,EKIT-ATH20W-qq-e-509,EKIT-ATH20W-qq-e-d-509,EKIT-ATH20W,KYB,Extage,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,113500,99000
トヨタ,ヴェルファイアハイブリッド,ATH20W,11/11～,"グレード:ZR,V,X<br>駆動:4WD",スプリング無,69389,,73274,KYB-qq-e-i-4009,KYB-qq-e-d-i-4009,フロント:EST5480R/EST5480L 各1本<br>リア:ESB2133 2本,KYB,Extage,1台分,,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,100400,85300
トヨタ,クラウン,GRS180/GRS182,03/12～08/02,"グレード:ロイヤル,ロイヤルEX<br>外観形式:セダン<br>駆動:FR<br>その他:TOYOTA Safety Sense P 搭載車は適合外",スプリング無,61146,,72284,KYB-qq-e-i-4010,KYB-qq-e-d-i-4010,フロント:ESK9153R/ESK9153L 各1本<br>リア:ESK9154 2本,KYB,Extage,1台分,32段減衰力調整式<br>装着したことによる安全装置(ポップアップフード・SRSエアバッグ等)の誤作動・未作動につきましては一切の保障を致しかねます,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,88000,76600
トヨタ,クラウン,GRS180/GRS182/GRS184,03/12～08/02,"グレード:アスリート<br>外観形式:セダン<br>駆動:FR<br>その他:AVS電調式,TOYOTA Safety Sense P 搭載車は適合外",スプリング無,66464,,71264,KYB-qq-e-i-4011,KYB-qq-e-d-i-4011,フロント:EEK9153R/EEK9153L 各1本<br>リア:EEK9154 2本,KYB,Extage,1台分,AVS機能対応品<br>装着したことによる安全装置(ポップアップフード・SRSエアバッグ等)の誤作動・未作動につきましては一切の保障を致しかねます,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,96000,82200
トヨタ,クラウン,GRS200,08/02～,"グレード:アスリート<br>エンジン形式:4GRFSE(2.5リットル)<br>外観形式:セダン<br>駆動:FR<br>その他:AVS電調式,TOYOTA Safety Sense P 搭載車は適合外",スプリング付,67129,,70840,EKIT-GRS204-qq-e-510,EKIT-GRS204-qq-e-d-510,EKIT-GRS204,KYB,Extage,1台分,装着したことによる安全装置(ポップアップフード・SRSエアバッグ等)の誤作動・未作動につきましては一切の保障を致しかねます,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,97000,86800
トヨタ,クラウン,GRS200,08/02～,"グレード:アスリート<br>エンジン形式:4GRFSE(2.5リットル)<br>外観形式:セダン<br>駆動:FR<br>その他:AVS電調式,TOYOTA Safety Sense P 搭載車は適合外",スプリング無,66464,,74815,KYB-qq-e-i-4012,KYB-qq-e-d-i-4012,フロント:EEK9162R/EEK9162L 各1本<br>リア:EEK9163 2本,KYB,Extage,1台分,AVS機能対応品<br>装着したことによる安全装置(ポップアップフード・SRSエアバッグ等)の誤作動・未作動につきましては一切の保障を致しかねます,バネは付属しておりません<br>特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,96000,82200
トヨタ,クラウン,GRS202,08/02～,"グレード:ロイヤルサルーン<br>エンジン形式:3GR-FSE(3.0リットル)<br>その他:AVS電調式,TOYOTA Safety Sense P 搭載車は適合外",スプリング付,67129,,73424,EKIT-GRS202-qq-e-511,EKIT-GRS202-qq-e-d-511,EKIT-GRS202,KYB,Extage,1台分,装着したことによる安全装置(ポップアップフード・SRSエアバッグ等)の誤作動・未作動につきましては一切の保障を致しかねます,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,97000,86800
