自動車メーカー,車種,型式,年式,適合詳細,スプリング,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:スポーツ<br>駆動:FF,4WD<br>その他:リヤ純正品番…41800-73H00/-73HA0/-73HB0,1型",スプリング無,41523,,70736,KYB-qq-e-i-3378,KYB-qq-e-d-i-3378,フロント:WST5243ZR/WST5243ZL 各1本<br>リア:WSF1042 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73HA0/73HB0/73H00(減衰力標準仕様・カラー幅=32mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:スポーツ<br>駆動:FF,4WD<br>その他:リヤ純正品番…41800-73H10,1型",スプリング無,41523,,71718,KYB-qq-e-i-3379,KYB-qq-e-d-i-3379,フロント:WST5243ZR/WST5243ZL 各1本<br>リア:WSF1042Z 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73H10/83H10(減衰力UP仕様・カラー幅=32mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:スポーツ<br>駆動:FF,4WD<br>その他:リヤ純正品番…41800-73H20/-73H30,1型",スプリング無,41523,,74104,KYB-qq-e-i-3380,KYB-qq-e-d-i-3380,フロント:WST5243ZR/WST5243ZL 各1本<br>リア:WSF1042A 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73H20/73H30(減衰力標準仕様・カラー幅=60mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:除くスポーツ<br>駆動:4WD<br>その他:リヤ純正品番…41800-73H00/-73HA0/-73HB0,1型",スプリング無,41523,,70734,KYB-qq-e-i-3373,KYB-qq-e-d-i-3373,フロント:WST5243R/WST5243L 各1本<br>リア:WSF1042 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73HA0/73HB0/73H00(減衰力標準仕様・カラー幅=32mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:除くスポーツ<br>駆動:4WD<br>その他:リヤ純正品番…41800-73H10,1型",スプリング無,41523,,74609,KYB-qq-e-i-3374,KYB-qq-e-d-i-3374,フロント:WST5243R/WST5243L 各1本<br>リア:WSF1042Z 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73H10/83H10(減衰力UP仕様・カラー幅=32mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:除くスポーツ<br>駆動:4WD<br>その他:リヤ純正品番…41800-73H20/-73H30,1型",スプリング無,41523,,71241,KYB-qq-e-i-3381,KYB-qq-e-d-i-3381,フロント:WST5243R/WST5243L 各1本<br>リア:WSF1042A 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73H20/73H30(減衰力標準仕様・カラー幅=60mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:除くスポーツ<br>駆動:FF<br>その他:リヤ純正品番…41800-73H00/-73HA0/-73HB0,1型",スプリング付,41950,,74418,LKIT-MF21S-qq-e-371,LKIT-MF21S-qq-e-d-371,LKIT-MF21S,KYB,Lowfer Sports,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,64500,55700,,
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:除くスポーツ<br>駆動:FF<br>その他:リヤ純正品番…41800-73H00/-73HA0/-73HB0,1型",スプリング無,41523,,70733,KYB-qq-e-i-3372,KYB-qq-e-d-i-3372,フロント:WST5243R/WST5243L 各1本<br>リア:WSF1042 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73HA0/73HB0/73H00(減衰力標準仕様・カラー幅=32mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:除くスポーツ<br>駆動:FF<br>その他:リヤ純正品番…41800-73H10,1型",スプリング付,41950,,74420,LKIT-MF21SZ-qq-e-372,LKIT-MF21SZ-qq-e-d-372,LKIT-MF21SZ,KYB,Lowfer Sports,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,64500,55700,,
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:除くスポーツ<br>駆動:FF<br>その他:リヤ純正品番…41800-73H10,1型",スプリング無,41523,,73031,KYB-qq-e-i-3375,KYB-qq-e-d-i-3375,フロント:WST5243R/WST5243L 各1本<br>リア:WSF1042Z 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73H10/83H10(減衰力UP仕様・カラー幅=32mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:除くスポーツ<br>駆動:FF<br>その他:リヤ純正品番…41800-73H20/-73H30,1型",スプリング付,41950,,74419,LKIT-MF21SA-qq-e-373,LKIT-MF21SA-qq-e-d-373,LKIT-MF21SA,KYB,Lowfer Sports,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,64500,55700,,
スズキ,MRワゴン,MF21S,01/12～04/03,"グレード:除くスポーツ<br>駆動:FF<br>その他:リヤ純正品番…41800-73H20/-73H30,1型",スプリング無,41523,,70735,KYB-qq-e-i-3376,KYB-qq-e-d-i-3376,フロント:WST5243R/WST5243L 各1本<br>リア:WSF1042A 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73H20/73H30(減衰力標準仕様・カラー幅=60mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,04/02～,"グレード:Aリミテッド<br>駆動:FF,4WD<br>その他:リヤ純正品番…41800-73HA0/-73HB0,2型",スプリング無,41523,,70737,KYB-qq-e-i-3385,KYB-qq-e-d-i-3385,フロント:WST5326R/WST5326L 各1本<br>リア:WSF1042 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73HA0/73HB0/73H00(減衰力標準仕様・カラー幅=32mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,04/02～,グレード:スポーツ<br>駆動:4WD<br>その他:2型,スプリング無,41523,,71243,KYB-qq-e-i-3384,KYB-qq-e-d-i-3384,フロント:WST5326R/WST5326L 各1本<br>リア:WSF1042 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73HA0/73HB0/73H00(減衰力標準仕様・カラー幅=32mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,04/02～,"グレード:除くスポーツ,Aリミテッド<br>駆動:4WD<br>その他:リヤ純正品番…41800-73HA0/-73HB0,2型",スプリング無,41523,,74105,KYB-qq-e-i-3382,KYB-qq-e-d-i-3382,フロント:WST5243R/WST5243L 各1本<br>リア:WSF1042 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73HA0/73HB0/73H00(減衰力標準仕様・カラー幅=32mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,04/02～04/11,"グレード:スポーツ<br>駆動:FF<br>その他:リヤ純正品番…41800-73H20/-73H30,2型",スプリング無,41523,,71242,KYB-qq-e-i-3383,KYB-qq-e-d-i-3383,フロント:WST5326R/WST5326L 各1本<br>リア:WSF1042A 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73H20/73H30(減衰力標準仕様・カラー幅=60mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,04/02～04/11,"グレード:除くスポーツ,Aリミテッド<br>駆動:FF<br>その他:リヤ純正品番…41800-73H20/-73H30,2型",スプリング無,41523,,72514,KYB-qq-e-i-3377,KYB-qq-e-d-i-3377,フロント:WST5243R/WST5243L 各1本<br>リア:WSF1042A 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73H20/73H30(減衰力標準仕様・カラー幅=60mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
スズキ,MRワゴン,MF21S,04/12～,"グレード:スポーツ<br>駆動:FF<br>その他:リヤ純正品番…41800-73HA0/-73HB0,2型",スプリング無,41523,,74106,KYB-qq-e-i-3387,KYB-qq-e-d-i-3387,フロント:WST5326R/WST5326L 各1本<br>リア:WSF1042 2本,KYB,Lowfer Sports,1台分,初年度登録遅れ等の理由により品番が異なる場合がありますので、純正品番(刻印)・形状を事前にご確認下さい<br>本商品は【刻印品番:41800-73HA0/73HB0/73H00(減衰力標準仕様・カラー幅=32mm)】の車両適合となります,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,63800,55200,,
