自動車メーカー,車種,型式,年式,適合詳細,スプリング,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,アルト,HA36S,15/03～16/08,グレード:ターボRS<br>駆動:2WD,スプリング付,47130,,72895,LKIT1-HA36RS-qq-e-68,LKIT1-HA36RS-qq-e-d-68,LKIT1-HA36RS,KYB,Lowfer Sports PLUS,1台分,純正品番確認,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,73000,61000,,
スズキ,アルト,HA36S,16/08～,グレード:ターボRS<br>駆動:2WD,スプリング付,47130,,73417,LKIT1-HA36RS2B-qq-e-668,LKIT1-HA36RS2B-qq-e-d-668,LKIT1-HA36RS2B,KYB,Lowfer Sports PLUS,1台分,純正品番確認,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,73000,61000,,
スズキ,アルト,HA36S,16/08～,グレード:ターボRS<br>駆動:2WD,スプリング無,46886,,72316,KYB-qq-e-i-4358,KYB-qq-e-d-i-4358,フロント:WST5628BR/WST5628BL 各1本<br>リア:WSB1267 2本,KYB,Lowfer Sports PLUS,1台分,純正品番確認,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,72600,60800,,
スズキ,スイフト,ZC72S,10/09～,"グレード:XG,XL,XS<br>駆動:FF",スプリング付,53223,,71847,LKIT1-ZC72S-qq-e-64,LKIT1-ZC72S-qq-e-d-64,LKIT1-ZC72S,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,83000,67300,,
スズキ,スイフト,ZC72S,10/09～,"グレード:XG,XL,XS<br>駆動:FF",スプリング無,52980,,72799,KYB-qq-e-i-4359,KYB-qq-e-d-i-4359,フロント:WST5486R/WST5486L 各1本<br>リア:WSB2183X 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,82600,67100,,
スズキ,スイフトスポーツ,ZC32S,11/12～,エンジン形式:M16A<br>駆動:FF,スプリング付,53223,,71099,LKIT1-ZC32S-qq-e-65,LKIT1-ZC32S-qq-e-d-65,LKIT1-ZC32S,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,83000,67300,,
スズキ,スイフトスポーツ,ZC32S,11/12～,エンジン形式:M16A<br>駆動:FF,スプリング無,52980,,72800,KYB-qq-e-i-4360,KYB-qq-e-d-i-4360,フロント:WST5606R/WST5606L 各1本<br>リア:WSB2183 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,82600,67100,,
スズキ,ハスラー,MR31S,14/01～15/12,"駆動:FF,4WD<br>その他:1型,フロント純正品番41601/41602-65P00装着車",スプリング付,47130,,72400,LKIT1-MR31S-qq-e-67,LKIT1-MR31S-qq-e-d-67,LKIT1-MR31S,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,73000,61000,,
スズキ,ハスラー,MR31S,14/01～15/12,"駆動:FF,4WD<br>その他:1型,フロント純正品番41601/41602-65P00装着車",スプリング無,46886,,74305,KYB-qq-e-i-4361,KYB-qq-e-d-i-4361,フロント:WST5603R/WST5603L 各1本<br>リア:WSB1247 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,72600,60800,,
スズキ,ハスラー,MR31S,15/12～,"駆動:2WD,4WD<br>その他:2型",スプリング付,47130,,73925,LKIT1-MR31SMC-qq-e-66,LKIT1-MR31SMC-qq-e-d-66,LKIT1-MR31SMC,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,73000,61000,,
スズキ,ハスラー,MR31S,15/12～,"駆動:2WD,4WD<br>その他:2型",スプリング無,46886,,74306,KYB-qq-e-i-4362,KYB-qq-e-d-i-4362,フロント:WST5603AR/WST5603AL 各1本<br>リア:WSB1247 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,72600,60800,,
スズキ,ハスラー,MR41S,15/12～,"駆動:2WD,4WD<br>その他:2型",スプリング無,46886,,71299,KYB-qq-e-i-4363,KYB-qq-e-d-i-4363,フロント:WST5603AR/WST5603AL 各1本<br>リア:WSB1247 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,72600,60800,,
スバル,BRZ,ZC6,12/03～,"グレード:S,R",スプリング付,56271,,71846,LKIT1-ZC6-qq-e-665,LKIT1-ZC6-qq-e-d-665,LKIT1-ZC6,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,88000,70500,,
スバル,BRZ,ZC6,12/03～,"グレード:S,R",スプリング無,55905,,73298,KYB-qq-e-i-4352,KYB-qq-e-d-i-4352,フロント:WST5504R/WST5504L 各1本<br>リア:WSB9210 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,87400,70100,,
スバル,WRX S4,VAG,14/08～,グレード:2.0GTアイサイト<br>その他:除く2.0GT-S EyeSight(BILSTEIN装着車),スプリング付,56271,,72900,LKIT1-VAG-qq-e-666,LKIT1-VAG-qq-e-d-666,LKIT1-VAG,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,88000,73500,,
スバル,WRX S4,VAG,14/08～,グレード:2.0GTアイサイト<br>その他:除く2.0GT-S EyeSight(BILSTEIN装着車),スプリング無,55905,,72313,KYB-qq-e-i-4353,KYB-qq-e-d-i-4353,フロント:WST5605R/WST5605L 各1本<br>リア:WSB9236 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,87400,73100
スバル,ジャスティ,M900F,16/11～,駆動:2WD,スプリング付,53223,,72399,LKIT1-M900S-qq-e-667,LKIT1-M900S-qq-e-d-667,LKIT1-M900S,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,83000,67300
スバル,ジャスティ,M900F,16/11～,駆動:2WD,スプリング無,52980,,72798,KYB-qq-e-i-4354,KYB-qq-e-d-i-4354,フロント:WST5700R/WST5700L 各1本<br>リア:WSB1352 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,82600,67100
スバル,レヴォーグ,VM4,14/06～,"グレード:1.6GT,1.6GTアイサイト<br>その他:除く1.6GT-S EyeSight(ビルシュタイン装着車)",スプリング付,56271,,72901,LKIT1-VM4-qq-e-62,LKIT1-VM4-qq-e-d-62,LKIT1-VM4,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,88000,73500
スバル,レヴォーグ,VM4,14/06～,"グレード:1.6GT,1.6GTアイサイト<br>その他:除く1.6GT-S EyeSight(ビルシュタイン装着車)",スプリング無,55905,,72314,KYB-qq-e-i-4355,KYB-qq-e-d-i-4355,フロント:WST5605R/WST5605L 各1本<br>リア:WSB9236 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,87400,73100
スバル,レヴォーグ,VMG,14/06～,グレード:2.0GTアイサイト<br>その他:除く2.0GT-S EyeSight(ビルシュタイン装着車),スプリング付,56271,,71844,LKIT1-VM4-qq-e-63,LKIT1-VM4-qq-e-d-63,LKIT1-VM4,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,88000,73500
スバル,レヴォーグ,VMG,14/06～,グレード:2.0GTアイサイト<br>その他:除く2.0GT-S EyeSight(ビルシュタイン装着車),スプリング無,55905,,72315,KYB-qq-e-i-4356,KYB-qq-e-d-i-4356,フロント:WST5605R/WST5605L 各1本<br>リア:WSB9236 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,87400,73100
ダイハツ,トール,M900S,16/11～,駆動:2WD,スプリング付,53223,,73420,LKIT1-M900S-qq-e-664,LKIT1-M900S-qq-e-d-664,LKIT1-M900S,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,83000,67300
ダイハツ,トール,M900S,16/11～,駆動:2WD,スプリング無,52980,,72797,KYB-qq-e-i-4351,KYB-qq-e-d-i-4351,フロント:WST5700R/WST5700L 各1本<br>リア:WSB1352 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,82600,67100
トヨタ,86,ZN6,12/03～16/08,"グレード:GTリミテッド,GT,G<br>その他:M/C前車",スプリング無,55905,,74146,KYB-qq-e-i-4249,KYB-qq-e-d-i-4249,フロント:WST5504R/WST5504L 各1本<br>リア:WSB9210 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,87400,70100
トヨタ,86,ZN6,16/09～,"グレード:GTリミテッド,GT,G<br>その他:M/C後車",スプリング付,56271,,71845,LKIT1-ZC6-qq-e-636,LKIT1-ZC6-qq-e-d-636,LKIT1-ZC6,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,88000,70500
トヨタ,86,ZN6,16/09～,"グレード:GTリミテッド,GT,G<br>その他:M/C後車",スプリング無,55905,,72031,KYB-qq-e-i-4250,KYB-qq-e-d-i-4250,フロント:WST5504R/WST5504L 各1本<br>リア:WSB9210 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,87400,70100
トヨタ,アクア,NHP10,11/12～14/04,"グレード:G,S,L<br>エンジン形式:1NZ-FXE<br>駆動:FF<br>その他:除くG's",スプリング付,53223,,73421,LKIT1-NHP10-qq-e-7,LKIT1-NHP10-qq-e-d-7,LKIT1-NHP10,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,83000,67300
トヨタ,アクア,NHP10,11/12～14/04,"グレード:G,S,L<br>エンジン形式:1NZ-FXE<br>駆動:FF<br>その他:除くG's",スプリング無,52980,,71503,KYB-qq-e-i-4251,KYB-qq-e-d-i-4251,フロント:WST5290R/WST5290L 各1本<br>リア:WSB1124 2本,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,82600,67100
トヨタ,アクア,NHP10,14/04～14/12,"グレード:G,S,L<br>エンジン形式:1NZ-FXE<br>駆動:FF<br>その他:除くG's",スプリング付,53223,,72402,LKIT1-NHP10MC-qq-e-8,LKIT1-NHP10MC-qq-e-d-8,LKIT1-NHP10MC,KYB,Lowfer Sports PLUS,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,83000,67300
