自動車メーカー,車種,型式,年式,適合詳細,スプリング,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,備考,注意事項,定価,SET価格,,取付特記事項
ダイハツ,コペン,L880K,02/06～03/08,エンジン形式:JBDET<br>外観形式:アクティブトップ(電動)<br>駆動:FF<br>その他:ディタッチャブルトップ(手動)は適合未確認,,68458,,74590,KYB-qq-e-i-2977,KYB-qq-e-d-i-2977,フロント:SST5278R/SST5278L 各1本<br>リア:SSB1058 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,MR2,AW10,86/08～87/08,グレード:S<br>エンジン種別:CBR<br>エンジン形式:3ALU<br>外観形式:クーペ,,60613,,71045,KYB-qq-e-i-4738,KYB-qq-e-d-i-4738,フロント:SSP2060 2本<br>リア:SSP4074 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,87200,71700,,
トヨタ,MR2,AW11,86/08～89/12,"グレード:G<br>エンジン種別:スーパーチャージャー,ツインカム<br>エンジン形式:4AGZE,4AGELU<br>外観形式:クーペ,Tバールーフ",,60613,,72595,KYB-qq-e-i-4739,KYB-qq-e-d-i-4739,フロント:SSP2060 2本<br>リア:SSP4074 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,87200,71700,,
トヨタ,MR2,SW20,91/12～93/11,"グレード:GT<br>エンジン形式:3SGTE<br>外観形式:クーペ,ティバールーフ<br>その他:ビルシュタイン",,89332,,73202,KYB-qq-e-i-2657,KYB-qq-e-d-i-2657,フロント:SST5101R/SST5101L 各1本<br>リア:SST5102R/SST5102L 各1本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,130400,99800,,
トヨタ,アルファード,ANH10W,02/05～,グレード:AX<br>エンジン形式:2AZFE(2.4リットル)<br>駆動:FF,,68458,,74742,KYB-qq-e-i-2660,KYB-qq-e-d-i-2660,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,アルファード,ANH15W,02/05～,グレード:AX<br>エンジン形式:2AZFE(2.4リットル)<br>駆動:4WD,,68458,,71426,KYB-qq-e-i-2663,KYB-qq-e-d-i-2663,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,アルファード,MNH10W,02/05～,グレード:MX<br>エンジン形式:1MZFE(3.0リットル)<br>駆動:FF,,68458,,74223,KYB-qq-e-i-2662,KYB-qq-e-d-i-2662,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,アルファード,MNH10W,02/05～,グレード:MZ<br>エンジン形式:1MZFE<br>駆動:FF<br>その他:除くTEMS装着車,,68458,,70924,KYB-qq-e-i-2661,KYB-qq-e-d-i-2661,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,アルファード,MNH15W,02/05～,グレード:MX<br>エンジン形式:1MZFE(3.0リットル)<br>駆動:4WD,,68458,,71427,KYB-qq-e-i-2664,KYB-qq-e-d-i-2664,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,アルファード,MNH15W,02/05～,グレード:MZ<br>エンジン形式:1MZFE(3.0リットル)<br>駆動:4WD<br>その他:除くTEMS装着車,,68458,,72717,KYB-qq-e-i-2665,KYB-qq-e-d-i-2665,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
