自動車メーカー,車種,型式,年式,駆動方式,適合詳細,調整範囲,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,備考,注意事項,定価,SET価格,,取付特記事項,,規格1,パターン数,管理用コード
ABARTH,500,312141/312142,2009/04～2017/02,2WD,,78mm～103mm,4500,,249311,01080101002-qq-26k,01080101002-qq-d-26k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません,,,,
ABARTH,595,312141/312142/31214T,2013/01～,2WD,,78mm～103mm,4500,,249312,01080101002-qq-27k,01080101002-qq-d-27k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません,,,,
スズキ,MRワゴン,MF33S,,2WD/4WD,,73mm～93mm,5200,,249343,01080102001-qq-58k,01080102001-qq-d-58k,Largus,調整式オートレベライザーリンク ステー付,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,5200,8200,,取付作業には光軸調整は含まれません,,,,
スズキ,アルトラパン,HE22S/HE33S,,HE22S:2WD/4WD<br>HE33S:2WD,,73mm～93mm,5200,,249344,01080102001-qq-59k,01080102001-qq-d-59k,Largus,調整式オートレベライザーリンク ステー付,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,5200,8200,,取付作業には光軸調整は含まれません,,,,
スズキ,エブリイ,DA64W,,2WD/4WD,,78mm～103mm,4500,,249313,01080101002-qq-28k,01080101002-qq-d-28k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません,,,,
スズキ,スイフトスポーツ,ZC31S,,2WD,,73mm～93mm,4500,,249296,01080101001-qq-1k,01080101001-qq-d-1k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません,,,,
スズキ,スイフトスポーツ,ZC32S,,2WD,,54mm～60mm,4500,,249323,01080101003-qq-38k,01080101003-qq-d-38k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません,,,,
スズキ,スペーシア,MK32S/MK42S,,MK32S:2WD/4WD<br>MK42S:2WD,,73mm～93mm,5200,,249346,01080102001-qq-61k,01080102001-qq-d-61k,Largus,調整式オートレベライザーリンク ステー付,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,5200,8200,,取付作業には光軸調整は含まれません,,,,
スズキ,ハスラー,MR31S/MR41S,,2WD,,73mm～93mm,5200,,249345,01080102001-qq-60k,01080102001-qq-d-60k,Largus,調整式オートレベライザーリンク ステー付,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,5200,8200,,取付作業には光軸調整は含まれません,,,,
スズキ,パレット,MK21S,,2WD,,73mm～93mm,5200,,249347,01080102001-qq-62k,01080102001-qq-d-62k,Largus,調整式オートレベライザーリンク ステー付,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,5200,8200,,取付作業には光軸調整は含まれません,,,,
スズキ,ワゴンR,MH23S/MH34S,,2WD,,73mm～93mm,5200,,249348,01080102001-qq-63k,01080102001-qq-d-63k,Largus,調整式オートレベライザーリンク ステー付,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,5200,8200,,取付作業には光軸調整は含まれません,,,,
スバル,BRZ,ZC6,,2WD,,73mm～93mm,4500,,249303,01080101001-qq-2k,01080101001-qq-d-2k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません,,,,
スバル,WRX STI,VAB,,4WD,,54mm～60mm,4500,,249324,01080101003-qq-39k,01080101003-qq-d-39k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません,,,,
スバル,インプレッサ,GRB/GRF/GVB/GVF,,4WD,,54mm～60mm,4500,,249325,01080101003-qq-40k,01080101003-qq-d-40k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません,,,,
スバル,ステラ/ステラカスタム,LA150F,,2WD,,73mm～93mm,4500,,249304,01080101001-qq-3k,01080101001-qq-d-3k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません,,,,
スバル,フォレスター,SJ5/SJG,,4WD,,54mm～60mm,4500,,249326,01080101003-qq-41k,01080101003-qq-d-41k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
スバル,レヴォーグ,VM4/VMG,,4WD,,54mm～60mm,4500,,249327,01080101003-qq-42k,01080101003-qq-d-42k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
スバル,レガシィツーリングワゴン,BR9,,4WD,,54mm～60mm,4500,,249328,01080101003-qq-43k,01080101003-qq-d-43k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
スバル,レガシィツーリングワゴン,BR9,,4WD,,73mm～93mm,4500,,249305,01080101001-qq-4k,01080101001-qq-d-4k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
ダイハツ,タント,LA600S,,2WD,純正ロッド有無を要現車確認,73mm～93mm,4500,,249306,01080101001-qq-5k,01080101001-qq-d-5k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
ダイハツ,タントエグゼカスタム,L455S,,2WD,,73mm～93mm,4500,,249307,01080101001-qq-6k,01080101001-qq-d-6k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
ダイハツ,タントカスタム,L375S,,2WD,,73mm～93mm,4500,,249308,01080101001-qq-7k,01080101001-qq-d-7k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
ダイハツ,ムーヴ,L175S/LA100S/LA150S,,2WD,,73mm～93mm,4500,,249309,01080101001-qq-8k,01080101001-qq-d-8k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
ダイハツ,ムーヴコンテカスタム,L575S,,2WD,,73mm～93mm,4500,,249310,01080101001-qq-9k,01080101001-qq-d-9k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
トヨタ,86,ZN6,,2WD,,73mm～93mm,4500,,249286,01080101001-qq-10k,01080101001-qq-d-10k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
トヨタ,アルファード,ANH10W/MNH10W,,2WD,,78mm～103mm,4500,,249314,01080101002-qq-29k,01080101002-qq-d-29k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
トヨタ,アルファード/ヴェルファイア,ANH20W/GGH20W,,2WD,,78mm～103mm,4500,,249315,01080101002-qq-30k,01080101002-qq-d-30k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
トヨタ,ウィッシュ,ANE11W,,2WD,,78mm～103mm,4500,,249316,01080101002-qq-31k,01080101002-qq-d-31k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
トヨタ,ウィッシュ,ZGE20W,,2WD,1.8A:M/C後<br>1.8S:MC前後共通,73mm～93mm,4500,,249287,01080101001-qq-11k,01080101001-qq-d-11k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
トヨタ,ヴィッツ,NCP90/NCP91/SCP90,,2WD,,54mm～60mm,4500,,249329,01080101003-qq-44k,01080101003-qq-d-44k,Largus,調整式オートレベライザーリンク,車体取り付け部ボルト径:6mm<br>ターンバックル式<br>純正交換ボルトオンタイプ,,4500,7500,,取付作業には光軸調整は含まれません
