自動車メーカー,車種,型式,駆動方式,適合詳細,調整範囲,仕様,販売価格,Camp価格,商品ID,物販コード,メーカー名,商品名,備考,年式,注意事項,定価
スズキ,Kei/Keiワークス,HN11S/HN22S,2WD,,955mm～1015mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.80kg,9800,,258090,01040103002-qq-16,Largus,調整式ラテラルロッド,,,,9800
スズキ,MRワゴン,MF21S,2WD,,895mm～955mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.70kg,9800,,258098,01040103011-qq-17,Largus,調整式ラテラルロッド,,,,9800
スズキ,アルト,HA24S,2WD,,845mm～905mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.68kg,9800,,258092,01040103005-qq-7,Largus,調整式ラテラルロッド,,,,9800
スズキ,アルト,HA25S,2WD,,810mm～870mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.64kg,9800,,258095,01040103007-qq-8,Largus,調整式ラテラルロッド,,,,9800
スズキ,アルトラパン,HE21S,2WD,1型,895mm～955mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.70kg,9800,,258099,01040103011-qq-9,Largus,調整式ラテラルロッド,,,,9800
スズキ,アルトラパン,HE21S,2WD,2型以降,845mm～905mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.68kg,9800,,258091,01040103005-qq-10,Largus,調整式ラテラルロッド,,,,9800
スズキ,アルトラパン,HE22S,2WD,,810mm～870mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.64kg,9800,,258094,01040103007-qq-11,Largus,調整式ラテラルロッド,,,,9800
スズキ,アルトワークス,HA11S/HA21S,2WD,,910mm～970mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.76kg,9800,,258089,01040103001-qq-12,Largus,調整式ラテラルロッド,,,,9800
スズキ,エブリイ/エブリイワゴン,DA64V/DA64W,2WD,,820mm～880mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ピロボール/ウレタン<br>重さ:1.80kg,9800,,258093,01040103006-qq-13,Largus,調整式ラテラルロッド,,,,9800
スズキ,ソリオ,MA34S,2WD,後期,920mm～980mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.76kg,9800,,258096,01040103010-qq-14,Largus,調整式ラテラルロッド,,,,9800
スズキ,ワゴンR,MC系,2WD,5～6型,895mm～955mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.70kg,9800,,258097,01040103011-qq-15,Largus,調整式ラテラルロッド,,,,9800
ダイハツ,アトレーワゴン,S320G/S320V,2WD,,780mm～840mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.68kg,9800,,258082,01040101003-qq-1,Largus,調整式ラテラルロッド,,,,9800
ダイハツ,アトレーワゴン,S321G,2WD,,785mm～845mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.66kg,9800,,258085,01040101005-qq-2,Largus,調整式ラテラルロッド,,,,9800
ダイハツ,タント,L385S,2WD,,810mm～870mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.86kg,9800,,258083,01040101004-qq-3,Largus,調整式ラテラルロッド,,,,9800
ダイハツ,ムーヴ,L160S,2WD,,810mm～870mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.70kg,9800,,258081,01040101002-qq-4,Largus,調整式ラテラルロッド,,,,9800
ダイハツ,ムーヴ,L185S,4WD,,810mm～870mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.86kg,9800,,258084,01040101004-qq-5,Largus,調整式ラテラルロッド,,,,9800
ダイハツ,ムーヴ,L910S,2WD,,730mm～780mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.60kg,9800,,258080,01040101001-qq-6,Largus,調整式ラテラルロッド,,,,9800
日産,デイズ,B21W,2WD,,915mm～975mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ピロボール/ウレタン<br>重さ:1.90kg,9800,,258105,01040107001-qq-21,Largus,調整式ラテラルロッド,,,,9800
ホンダ,トゥデイ,JA4,2WD,,835mm～895mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.66kg,9800,,258088,01040102002-qq-20,Largus,調整式ラテラルロッド,,,,9800
ホンダ,ライフ,JA4,2WD,,835mm～895mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.66kg,9800,,258087,01040102002-qq-19,Largus,調整式ラテラルロッド,,,,9800
ホンダ,ライフ,JB1,2WD,,840mm～900mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.70kg,9800,,258086,01040102001-qq-18,Largus,調整式ラテラルロッド,,,,9800
三菱,ekカスタム,B11W,2WD,,915mm～975mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ピロボール/ウレタン<br>重さ:1.90kg,9800,,258106,01040107001-qq-25,Largus,調整式ラテラルロッド,,,,9800
三菱,ekスポーツ,H81W,2WD,,895mm～945mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.68kg,9800,,258102,01040106001-qq-26,Largus,調整式ラテラルロッド,,,,9800
三菱,ekワゴン,H81W,2WD,,895mm～945mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.68kg,9800,,258103,01040106001-qq-27,Largus,調整式ラテラルロッド,,,,9800
三菱,トッポBJ,H41A/H42A/H42V,2WD,,895mm～945mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.68kg,9800,,258100,01040106001-qq-22,Largus,調整式ラテラルロッド,,,,9800
三菱,トッポBJ,H46A/H47A/H47V,4WD,,895mm～945mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.68kg,9800,,258101,01040106001-qq-23,Largus,調整式ラテラルロッド,,,,9800
三菱,パジェロミニ,H58A,2WD,,980mm～1030mm,ロッド径:φ28<br>素材:スチール製<br>ブッシュ:ウレタン/ウレタン<br>重さ:1.76kg,9800,,258104,01040106002-qq-24,Largus,調整式ラテラルロッド,,,,9800
