自動車メーカー,車種,型式,年式,駆動方式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,メーカー名,商品名,仕様,注意事項,定価
ABARTH,500,312141/312142,2009/04～2017/02,2WD,,取付時要内装加工<br>2列目ヘッドレスト取り外し、又はシートを前に倒して取り付け,9800,,249216,05401228001-qq-5k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ABARTH,595,312141/312142/31214T,2013/01～,2WD,,取付時要内装加工<br>2列目ヘッドレスト取り外し、又はシートを前に倒して取り付け,9800,,249215,05401228001-qq-58k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
FIAT,500,31209/31212/31214,2009/12～,2WD,,取付時要内装加工<br>2列目ヘッドレスト取り外し、又はシートを前に倒して取り付け,9800,,249217,05401228001-qq-6k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,アルト/アルトターボRS/アルトワークス,HA36S,,アルト/アルトターボRS:2WD<br>アルトワークス:2WD/4WD,,リヤシートの頭上にバー本体が通ります,9800,,249181,05401208001-qq-30k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,アルトワークス,HA11S,,2WD,,リヤシートの頭上にバー本体が通ります,9800,,249182,05401208002-qq-31k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,イグニス,FF21S,,2WD/4WD,,,9800,,249188,05401208009-qq-37k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,クロスビー,MN71S,,2WD/4WD,,,9800,,249183,05401208003-qq-32k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,ジムニー,JB64W,2018/07～,4WD,,リアシートヘッドレスト前にバー本体が通ります<br>リアシートベルトのスイング不可,9800,,249193,05401208013-qq-1k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,スイフト,HT51S,2003/06～2005/05,2WD,,リアシートヘッドレスト上にバー本体が通ります<br>リアシートベルトのスイング不可,9800,,249194,05401208014-qq-4k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,スイフト,ZC83S/ZD83S/ZC53S/ZD53S,,ZC83S/ZC53S:2WD<br>ZD83S/ZD53S:4WD,,,9800,,249190,05401208011-qq-39k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,スイフトスポーツ,ZC32S,,2WD,,取付時要内装加工<br>リアボード取り付け不可,9800,,249192,05401208012-qq-41k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,スイフトスポーツ,ZC33S,,2WD,,,9800,,249191,05401208011-qq-40k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,ソリオ,MA15S,2011/01～2015/08,2WD,,ベルトステーはスイング不可<br>要内装加工または内装外し<br>2列目シート乗車可能(シートの角度によってはヘッドレストとバーが干渉することがあります),9800,,249195,05401208015-qq-11k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,ハスラー,MR31S/MR41S,,2WD/4WD,,,9800,,249184,05401208005-qq-33k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,パレット,MK21S,,2WD,,,9800,,249185,05401208006-qq-34k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,ワゴンR,MH23S,,2WD/4WD,,,9800,,249189,05401208010-qq-38k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,ワゴンR,MH44S,,2WD/4WD,,,9800,,249186,05401208007-qq-35k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スズキ,ワゴンRハイブリッド,MH55S,,2WD/4WD,,,9800,,249187,05401208008-qq-36k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
スバル,ジャスティ,M900F,2016/11～,2WD,,後部座席のリクライニング角度によってピラーバーと乗員の頭部が干渉します,9800,,249209,05401209010-qq-55k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ダイハツ,アトレーワゴン,S321G,,2WD,,,9800,,249147,05401201001-qq-1k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ダイハツ,ウェイク,LA700S,,2WD,,,9800,,249148,05401201002-qq-2k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ダイハツ,キャスト,LA250S,,2WD,,リヤシートの頭上にバー本体が通ります,9800,,249149,05401201003-qq-3k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ダイハツ,タント,LA600S,,2WD,,,9800,,249150,05401201004-qq-4k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ダイハツ,トール,M900S,2016/11～,2WD,,後部座席のリクライニング角度によってピラーバーと乗員の頭部が干渉します,9800,,249208,05401209010-qq-54k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ダイハツ,ハイゼットカーゴ,S321V,,2WD,,,9800,,249151,05401201005-qq-5k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ダイハツ,ミラ,L275V,,2WD,,,9800,,249152,05401201006-qq-6k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ダイハツ,ミライース,LA300S,2011/09～2017/05,2WD,,ベルトステーはスイング不可<br>要内装加工または内装外し<br>2列目シート乗車不可<br>ヘッドレスト取付不可,9800,,249156,05401201010-qq-13k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ダイハツ,ミラジーノ,L700S,,2WD,,,9800,,249153,05401201007-qq-7k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ダイハツ,ムーヴ,L175S,,2WD,,,9800,,249154,05401201008-qq-8k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ダイハツ,ムーヴ,LA150S,,2WD,,,9800,,249155,05401201009-qq-9k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,アルファード,ANH10W/ANH15W/MNH10W/MNH15W,,ANH10W/MNH10W:2WD<br>ANH15W/MNH15W:4WD,パワーバックドア車適合不可,,9800,,249196,05401209001-qq-42k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,アルファード/ヴェルファイア,AGH30W/AGH35W/GGH30W/GGH35W,,AGH30W/GGH30W:2WD<br>AGH35W/GGH35W:4WD,パワーバックドア車適合可,,9800,,249199,05401209003-qq-45k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,アルファード/ヴェルファイア,ANH20W/ANH25W/GGH20W/GGH25W,,ANH20W/GGH20W:2WD<br>ANH25W/GGH25W:4WD,パワーバックドア車適合不可,3列目シートの頭上にバー本体が通ります,9800,,249197,05401209002-qq-43k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,アルファードハイブリッド/ヴェルファイアハイブリッド,ATH20W,,4WD,パワーバックドア車適合不可,3列目シートの頭上にバー本体が通ります,9800,,249198,05401209002-qq-44k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,アルファードハイブリッド/ヴェルファイアハイブリッド,AYH30W,,4WD,パワーバックドア車適合可,,9800,,249200,05401209003-qq-46k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,ヴィッツ,KSP130,2010/12～,2WD,,右ブラケット取付部がセンターシートベルトに干渉します(センターシートベルト使用時はバーに干渉します)<br>要内装加工または内装外し,9800,,249211,05401209012-qq-9k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,ヴィッツ,KSP90,2005/02～2010/12,2WD,,取付時要内装加工<br>リアシートヘッドレスト前にバー本体が通ります,9800,,249210,05401209011-qq-2k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,タンク/ルーミー,M900A,2016/11～,2WD,,後部座席のリクライニング角度によってピラーバーと乗員の頭部が干渉します,9800,,249207,05401209010-qq-53k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
トヨタ,ノア/ヴォクシー,ZRR70G/ZRR70W/ZRR75G/ZRR75W,,ZRR70G/ZRR70W:2WD<br>ZRR75G/ZRR75W:4WD,パワーバックドア車適合不可,,9800,,249201,05401209004-qq-47k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
