自動車メーカー,車種,型式/通称型式,年式,駆動方式,適合詳細,車高設定範囲<br>(参考値),販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F|R),バネレート(F|R),車高設定範囲(参考値)F|R,ダウン量(参考値)F|R,減衰力調整,備考,注意事項,定価,SET価格,,取付特記事項,データ追加日
トヨタ,アルファード/ヴェルファイア,AGH30W/GGH30W,,2WD,,Fr：628mm～738mm<br>Rr：658mm～706mm,86000,,248033,01011309004-qq-896,01011309004-qq-d-94,Largus,Spec D,調整式ピロ|マウントレス,16k|12k,628mm～738mm|658mm～706mm,-120mm～-10mm|-100～-52mm,32段階調整,,車輌に干渉する車高で走行を希望される場合は各部のセッティングが必要(アーム・タイヤ・ボディ・ホイールに干渉が無いようご注意下さい),86000,101000,,,20191023初期
トヨタ,アルファード/ヴェルファイア,ANH20W/GGH20W,,2WD,,Fr：600mm～737mm<br>Rr：605mm～663mm,88000,,248038,01011309001-qq-899,01011309001-qq-d-97,Largus,Spec D,調整式ピロ|マウントレス,12k|10k,600mm～737mm|605mm～663mm,-143mm～-6mm|-138mm～-80mm,32段階調整,スーパーローダウン仕様,車輌に干渉する車高で走行を希望される場合は各部のセッティングが必要(アーム・タイヤ・ボディ・ホイールに干渉が無いようご注意下さい),88000,103000,,,20191023初期
トヨタ,クラウン,GRS200/GRS202/GRS204,,2WD,,Fr：583mm～619mm<br>Rr：586mm～655mm,94000,,248032,01011309003-qq-905,01011309003-qq-d-103,Largus,Spec D,固定式ピロ|固定式ピロ,18k|18k,583mm～619mm|586mm～655mm,-117mm～-81mm|-105mm～-36mm,32段階調整,,車輌に干渉する車高で走行を希望される場合は各部のセッティングが必要(アーム・タイヤ・ボディ・ホイールに干渉が無いようご注意下さい),94000,109000,,,20191023初期
トヨタ,クラウン,GRS210,,2WD,,Fr：582mm～666mm<br>Rr：578mm～652mm,94000,,248031,01011309003-qq-906,01011309003-qq-d-104,Largus,Spec D,固定式ピロ|固定式ピロ,18k|18k,582mm～666mm|578mm～652mm,-113mm～-29mm|-122mm～-48mm,32段階調整,,車輌に干渉する車高で走行を希望される場合は各部のセッティングが必要(アーム・タイヤ・ボディ・ホイールに干渉が無いようご注意下さい),94000,109000,,,20191023初期
トヨタ,クラウンハイブリッド,AWS210,,2WD,,Fr：597mm～679mm<br>Rr：575mm～651mm,94000,,248044,01011309003-qq-907,01011309003-qq-d-105,Largus,Spec D,固定式ピロ|固定式ピロ,18k|18k,597mm～679mm|575mm～651mm,-103mm～-21mm|-107mm～-31mm,32段階調整,,車輌に干渉する車高で走行を希望される場合は各部のセッティングが必要(アーム・タイヤ・ボディ・ホイールに干渉が無いようご注意下さい),94000,109000,,,20191023初期
トヨタ,ノア/ヴォクシー,ZRR70G/ZRR70W,,2WD,,Fr：578mm～706mm<br>Rr：611mm～755mm,98000,,248035,01011309006-qq-1,01011309006-qq-d-1,Largus,Spec D,調整式ピロ|マウントレス,10k|12k,578mm～706mm|611mm～755mm,-143mm～-15mm|-114mm～-70mm,32段階調整,,車輌に干渉する車高で走行を希望される場合は各部のセッティングが必要(アーム・タイヤ・ボディ・ホイールに干渉が無いようご注意下さい),98000,113000,,,20191023初期
トヨタ,ノア/ヴォクシー/エスクァイア/ノアハイブリッド/ヴォクシーハイブリッド/エスクァイアハイブリッド,ZRR80G/ZRR80W/ZWR80G,,2WD,ZRR80W:G's/GRスポーツ適合可,Fr：602mm～727mm<br>Rr：603mm～667mm,98000,,248039,01011309002-qq-910,01011309002-qq-d-108,Largus,Spec D,調整式ピロ|マウントレス,12k|10k,602mm～727mm|603mm～667mm,-110mm～+15mm|-120mm～-56mm,32段階調整,,車輌に干渉する車高で走行を希望される場合は各部のセッティングが必要(アーム・タイヤ・ボディ・ホイールに干渉が無いようご注意下さい),98000,113000,,,20191023初期
トヨタ,プリウス,ZVW50,,2WD,,Fr：572mm～679mm<br>Rr：585mm～622mm,96000,,248034,01011309005-qq-3,01011309005-qq-d-101,Largus,Spec D,調整式ピロ|マウントレス,8k|7k,572mm～679mm|585mm～622mm,-103mm～+4mm|-93mm～-56mm,32段階調整,後期型(2018/12～)のフロントの減衰力調整には、アッパーマウント上部の鉄製パネルに穴あけ加工をするか、分解もしくは車高調の取り外しが必要,車輌に干渉する車高で走行を希望される場合は各部のセッティングが必要(アーム・タイヤ・ボディ・ホイールに干渉が無いようご注意下さい),96000,111000,,,20191023初期
トヨタ,マークX,GRX130/GRX133,,2WD,G's/GRスポーツ適合可,Fr：566mm～685mm<br>Rr：590mm～660mm,94000,,248040,01011309003-qq-913,01011309003-qq-d-110,Largus,Spec D,固定式ピロ|固定式ピロ,18k|18k,566mm～685mm|590mm～660mm,-134mm～-15mm|-100mm～-30mm,32段階調整,,車輌に干渉する車高で走行を希望される場合は各部のセッティングが必要(アーム・タイヤ・ボディ・ホイールに干渉が無いようご注意下さい),94000,109000,,,20191023初期
日産,エルグランド,PE52/TE52,,2WD,,Fr：625mm～747mm<br>Rr：605mm～708mm,86000,,248042,01011307001-qq-901,01011307001-qq-d-99,Largus,Spec D,固定式強化ゴム|固定式強化ゴム,10k|12k,625mm～747mm|605mm～708mm,-122mm～0mm|-135mm～-32mm,32段階調整,スーパーローダウン仕様<br>フロント減衰力調整はショック外しが必要(穴開け加工を行えば減衰力調整が可能),車輌に干渉する車高で走行を希望される場合は各部のセッティングが必要(アーム・タイヤ・ボディ・ホイールに干渉が無いようご注意下さい),86000,101000,,,20191023初期
