自動車メーカー,車種,型式/通称型式,年式,駆動方式,適合詳細,車高設定範囲<br>(参考値),販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F|R),バネレート(F|R),車高設定範囲(参考値)F|R,ダウン量(参考値)F|R,減衰力調整,備考,注意事項,定価,SET価格,,取付特記事項,データ追加日
スズキ,アルト/アルトワークス/アルトターボRS,HA36S,,2WD,FF車専用,Fr：554mm～617mm<br>Rr：571mm～603mm,74000,,248083,01015108003-qq-10,01015108003-qq-d-7,Largus,Spec K,マウントレス|マウントレス,4k|2.5k,554mm～617mm|571mm～603mm,-58mm～+5mm|-59mm～-27mm,32段階調整,アルト:取付時RSグレード用純正部品[41742-74P10]が必要,,74000,89000,,,20191023初期
スズキ,アルトラパン,HE33S,,2WD,FF車専用,Fr：548mm～623mm<br>Rr：559mm～610mm,74000,,248069,01015108004-qq-12,01015108004-qq-d-9,Largus,Spec K,マウントレス|マウントレス,4k|2.5k,548mm～623mm|559mm～610mm,-67mm～+8mm|-71mm～-20mm,32段階調整,,,74000,89000,,,20191023初期
スズキ,アルトワークス,HA36S,,4WD,4WD車専用,Fr：563mm～631mm<br>Rr：582mm～610mm,75000,,248063,01015108008-qq-1,01015108008-qq-d-1,Largus,Spec K,マウントレス|マウントレス,4ｋ|2.5k,563mm～631mm|582mm～610mm,-61mm～+7mm|-55mm～-27mm,32段階調整,,,75000,90000,,,20191023初期
スズキ,スペーシア,MK42S,,2WD,FF車専用,Fr：558mm～629mm<br>Rr：593mm～610mm,73000,,248068,01015108002-qq-13,01015108002-qq-d-10,Largus,Spec K,マウントレス|マウントレス,5k|2.5k,558mm～629mm|593mm～610mm,-67mm～+4mm|-50mm～-33mm,32段階調整,,,73000,88000,,,20191023初期
スズキ,ハスラー,MR31S/MR41S,,2WD,,Fr：570mm～644mm<br>Rr：612mm～653mm,73000,,248062,01015108005-qq-1,01015108005-qq-d-1,Largus,Spec K,マウントレス|マウントレス,5k|2.5k,570mm～644mm|612mm～653mm,-74mm～±0mm|-56mm～-15mm,32段階調整,,,73000,88000,,,20191023初期
スズキ,パレット,MK21S,,2WD,FF車専用,Fr：510mm～590mm<br>Rr：554mm～573mm,78000,,248060,01015108001-qq-8,01015108001-qq-d-5,Largus,Spec K,調整式ピロ|マウントレス,5k|2.5k,510mm～590mm|554mm～573mm,-80mm～±0mm|-51mm～-32mm,32段階調整,,,78000,93000,,,20191023初期
スズキ,ワゴンR,MH22S,,2WD,,Fr：527mm～596mm<br>Rr：540mm～555mm,78000,,248084,01015108006-qq-1,01015108006-qq-d-1,Largus,Spec K,調整式ピロ|マウントレス,5k|2.5k,527mm～596mm|540mm～555mm,-65mm～+4mm|-50mm～-35mm,32段階調整,,,78000,93000,,,20191023初期
スズキ,ワゴンR,MH23S,,2WD,,Fr：565mm～626mm<br>Rr：585mm～607mm,73000,,248070,01015108007-qq-1,01015108007-qq-d-1,Largus,Spec K,固定式強化ゴム|マウントレス,5k|2.5k,565mm～626mm|585mm～607mm,-47mm～-14mm|-42mm～-20mm,32段階調整,,,73000,88000,,,20191023初期
スズキ,ワゴンR,MH34S,,2WD,FF車専用,Fr：558mm～639mm<br>Rr：600mm～618mm,73000,,248082,01015108002-qq-9,01015108002-qq-d-6,Largus,Spec K,マウントレス|マウントレス,5k|2.5k,558mm～639mm|600mm～618mm,-67mm～+14mm|-45mm～-27mm,32段階調整,,,73000,88000,,,20191023初期
スズキ,ワゴンRハイブリッド,MH55S,,2WD,スタビライザー付き車輌適合不可,Fr：541mm～621mm<br>Rr：570mm～620mm,75000,,248085,01015108009-qq-1,01015108009-qq-d-1,Largus,Spec K,マウントレス|マウントレス,4k|3k,541mm～621mm|570mm～620mm,-72mm～+10mm|-60mm～-10mm,32段階調整,,,75000,90000,,,20191023初期
