自動車メーカー,車種,型式/通称型式,年式,駆動方式,適合詳細,車高設定範囲<br>(参考値),販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F|R),バネレート(F|R),車高設定範囲(参考値)F|R,ダウン量(参考値)F|R,減衰力調整,備考,注意事項,定価,SET価格,,取付特記事項,データ追加日
スズキ,SX4,YA11S,,2WD,,,77000,,248168,01011208002-qq-75,01011208002-qq-d-212,Largus,Spec S,マウントレス|マウントレス,6k|4k,,,32段階調整,,,77000,92000,,,20191023初期
スズキ,SX4,YA41S,,2WD,,Fr：630mm～695mm<br>Rr：640mm～670mm,77000,,248621,01011208002-qq-76,01011208002-qq-d-213,Largus,Spec S,マウントレス|マウントレス,6k|4k,630mm～695mm|640mm～670mm,,32段階調整,,,77000,92000,,,20191023初期
スズキ,SX4,YB11S/YB41S,,4WD,,,77000,,248417,01011208002-qq-77,01011208002-qq-d-214,Largus,Spec S,マウントレス|マウントレス,6k|4k,,,32段階調整,,,77000,92000,,,20191023初期
スズキ,イグニス,FF21S,,2WD,,Fr：583mm～669mm<br>Rr：610mm～661mm,74000,,248170,01011208010-qq-1,01011208010-qq-d-1,Largus,Spec S,マウントレス|マウントレス,4k|3K,583mm～669mm|610mm～661mm,-84mm～+2mm|-62mm～-11mm,32段階調整,,,74000,89000,,,20191023初期
スズキ,クロスビー,MN71S,2017/12～,2WD,,Fr：603mm～677mm<br>Rr：628mm～677mm,74000,,248423,01011208013-qq-1k,01011208013-qq-d-1k,Largus,Spec S,マウントレス|マウントレス,5k|3k,603mm～677mm|628mm～677mm,-63mm～+11mm|-72mm～-23mm,32段階調整,,,74000,89000,,,20191023初期
スズキ,クロスビー,MN71S,,4WD,,Fr：601mm～671mm<br>Rr：653mm～707mm,74000,,248171,01011208012-qq-8,01011208012-qq-d-8,Largus,Spec S,マウントレス|マウントレス,5k|2.5k,601mm～671mm|653mm～707mm,-70mm～+1mm|-45mm～+9mm,32段階調整,,,74000,89000,,,20191023初期
スズキ,スイフト,HT51S,,2WD,,Fr：546mm～619mm<br>Rr：597mm～643mm,77000,,248418,01011208004-qq-396,01011208004-qq-d-510,Largus,Spec S,固定式強化ゴム|マウントレス,5k|4k,546mm～619mm|597mm～643mm,,32段階調整,,,77000,92000,,,20191023初期
スズキ,スイフト,ZC11S/ZC21S,,2WD,,Fr：583mm～713mm<br>Rr：594mm～644mm,73000,,248620,01011208001-qq-397,01011208001-qq-d-511,Largus,Spec S,マウントレス|マウントレス,5k|4k,583mm～713mm|594mm～644mm,,32段階調整,,,73000,88000,,,20191023初期
スズキ,スイフト,ZC71S,,2WD,,,73000,,248788,01011208001-qq-398,01011208001-qq-d-512,Largus,Spec S,マウントレス|マウントレス,5k|4k,,,32段階調整,,,73000,88000,,,20191023初期
スズキ,スイフト,ZC72S,,2WD,,Fr：590mm～685mm<br>Rr：610mm～655mm,73000,,248789,01011208003-qq-399,01011208003-qq-d-513,Largus,Spec S,マウントレス|マウントレス,5k|4k,590mm～685mm|610mm～655mm,,32段階調整,,,73000,88000,,,20191023初期
スズキ,スイフト,ZC83S/ZC13S,,2WD,,Fr：591mm～673mm<br>Rr：617mm～666mm,75000,,248421,01011208009-qq-1,01011208009-qq-d-1,Largus,Spec S,マウントレス|マウントレス,5k|3k,591mm～673mm|617mm～666mm,-75mm～+7mm|-56mm～-7mm,32段階調整,,,75000,90000,,,20191023初期
スズキ,スイフト,ZD11S/ZD21S,,4WD,,,73000,,248787,01011208001-qq-400,01011208001-qq-d-514,Largus,Spec S,マウントレス|マウントレス,5k|4k,,,32段階調整,,,73000,88000,,,20191023初期
スズキ,スイフトスポーツ,HT81S,,2WD,,Fr：570mm～621mm<br>Rr：584mm～606mm,73000,,248169,01011208005-qq-401,01011208005-qq-d-515,Largus,Spec S,固定式強化ゴム|マウントレス,5k|4k,570mm～621mm|584mm～606mm,,32段階調整,,,73000,88000,,,20191023初期
スズキ,スイフトスポーツ,ZC31S,,2WD,,Fr：590mm～630mm<br>Rr：610mm～630mm,73000,,248416,01011208001-qq-402,01011208001-qq-d-516,Largus,Spec S,マウントレス|マウントレス,5k|4k,590mm～630mm|610mm～630mm,,32段階調整,,,73000,88000,,,20191023初期
スズキ,スイフトスポーツ,ZC32S,,2WD,,Fr：580mm～675mm<br>Rr：598mm～662mm,74000,,248622,01011208007-qq-403,01011208007-qq-d-517,Largus,Spec S,マウントレス|マウントレス,6k|6k,580mm～675mm|598mm～662mm,-73mm～+22mm|-72mm～-8mm,32段階調整,,,74000,89000,,,20191023初期
スズキ,スイフトスポーツ,ZC33S,,2WD,,Fr：578mm～672mm<br>Rr：624mm～676mm,75000,,248422,01011208011-qq-1,01011208011-qq-d-1,Largus,Spec S,マウントレス|マウントレス,6k|5k,578mm～672mm|624mm～676mm,-89mm～+5mm|-56mm～-4mm,32段階調整,,,75000,90000,,,20191023初期
スズキ,ソリオ,MA15S,,2WD,,Fr：554mm～638mm<br>Rr：570mm～620mm,75000,,248419,01011208006-qq-471,01011208006-qq-d-585,Largus,Spec S,固定式強化ゴム|マウントレス,5k|2.5k,554mm～638mm|570mm～620mm,-76mm～+8mm|-72mm～-22mm,32段階調整,,,75000,90000,,,20191023初期
スズキ,ソリオ,MA26S,,2WD,,Fr：551mm～648mm<br>Rr：585mm～632mm,75000,,248420,01011208008-qq-1,01011208008-qq-d-1,Largus,Spec S,マウントレス|マウントレス,5ｋ|3K,551mm～648mm|585mm～632mm,-85mm～+11mm|-64mm～-15mm,32段階調整,減衰力延長ケーブル 100mm付属,,75000,90000,,,20191023初期
スバル,BRZ,ZC6,,2WD,,Fr：631mm～691mm<br>Rr：632mm～685mm,80000,,248680,01011209073-qq-974,01011209073-qq-d-138,Largus,Spec S,調整式ピロ|固定式強化ゴム,6k|4k,631mm～691mm|632mm～685mm,-60mm～0mm|-60mm～-10mm,32段階調整,,,80000,95000,,,20191023初期
スバル,WRX STI,VAB,,4WD,,Fr：611mm～687mm<br>Rr：631mm～693mm,80000,,248319,01011202013-qq-100,01011202013-qq-d-226,Largus,Spec S,調整式ピロ|固定式強化ゴム,8k|6k,611mm～687mm|631mm～693mm,-63mm～+13mm|-57mm～+5mm,32段階調整,,,80000,95000,,,20191023初期
スバル,XV,GP7,,4WD,,Fr：657mm～747mm<br>Rr：675mm～741mm,83000,,248321,01011202014-qq-103,01011202014-qq-d-227,Largus,Spec S,調整式ピロ|固定式強化ゴム,10k|6k,657mm～747mm|675mm～741mm,-93mm～-3mm|-89mm～-23mm,32段階調整,,,83000,98000,,,20191023初期
スバル,XVハイブリッド,GPE,,4WD,,Fr：655mm～744mm<br>Rr：670mm～737mm,83000,,248553,01011202014-qq-104,01011202014-qq-d-228,Largus,Spec S,調整式ピロ|固定式強化ゴム,10k|6k,655mm～744mm|670mm～737mm,-90mm～-1mm|-85mm～-18mm,32段階調整,,,83000,98000,,,20191023初期
スバル,インプレッサ,GC8,,4WD,,Fr：605mm～650mm<br>Rr：614mm～662mm,80000,,248552,01011202010-qq-195,01011202010-qq-d-315,Largus,Spec S,調整式ピロ|固定式強化ゴム,7k|5k,605mm～650mm|614mm～662mm,,32段階調整,,,80000,95000,,,20191023初期
スバル,インプレッサ,GDA/GDB,,4WD,GDB:A～D型,Fr：610mm～700mm<br>Rr：605mm～680mm,84000,,248547,01011202002-qq-197,01011202002-qq-d-317,Largus,Spec S,調整式ピロ|固定式ピロ,6k|4k,610mm～700mm|605mm～680mm,,32段階調整,,,84000,99000,,,20191023初期
スバル,インプレッサ,GDB,,4WD,E型～,Fr：665mm～750mm<br>Rr：655mm～680mm,84000,,248762,01011202001-qq-198,01011202001-qq-d-318,Largus,Spec S,調整式ピロ|固定式ピロ,6k|4k,665mm～750mm|655mm～680mm,,32段階調整,,,84000,99000,,,20191023初期
