自動車メーカー,車種,型式/通称型式,年式,駆動方式,適合詳細,車高設定範囲<br>(参考値),販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F|R),バネレート(F|R),車高設定範囲(参考値)F|R,ダウン量(参考値)F|R,減衰力調整,備考,注意事項,定価,SET価格,,取付特記事項,データ追加日
ABARTH,124スパイダー,NF2EK,2016/10～,2WD,,Fr：567mm～664mm<br>Rr：580mm～650mm,72000,,296103,01011210024-qq-19k,01011210024-qq-d-19k,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,6k|4k,567mm～664mm|580mm～650mm,-85mm～+12mm|-77mm～-7mm,32段階調整,減衰力調整ダイヤル延長ケーブル 250mm付属<br>車高調整範囲とダウン量はマツダロードスター(ND5RC)のデータ,,72000,97000,,,20200701追加
ABARTH,500,312141/312142,2009/04～2017/02,2WD,,Fr：566mm～616mm<br>Rr：594mm～635mm,94800,,248734,01011228001-qq-14k,01011228001-qq-d-14k,Largus,Spec S I,マウントレス|マウントレス,5k|5k,566mm～616mm|594mm～635mm,-2mm～-52mm|-17mm～-58mm,32段階調整,,,94800,119800,,,20191023初期
ABARTH,595,312141/312142/31214T,2013/01～,2WD,,Fr：566mm～616mm<br>Rr：594mm～635mm,94800,,248534,01011228001-qq-13k,01011228001-qq-d-13k,Largus,Spec S I,マウントレス|マウントレス,5k|5k,566mm～616mm|594mm～635mm,-2mm～-52mm|-17mm～-58mm,32段階調整,,,94800,119800,,,20191023初期
ALFAROMEO,147,937AB/937BXB,2001/10～2011/03,2WD,,Fr：610mm～690mm<br>Rr：605mm～700mm,90800,,248274,01011221001-qq-936,01011221001-qq-d-1,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,10k|3k,610mm～690mm|605mm～700mm,,32段階調整,,,90800,115800,,,20191023初期
ALFAROMEO,147,937AXL,2003/05～2004/05,2WD,,Fr：602mm～682mm<br>Rr：595mm～695mm,90800,,248724,01011221001-qq-3,01011221001-qq-d-3,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,10k|3k,602mm～682mm|595mm～695mm,-56mm～+24mm|-97mm～+3mm,32段階調整,,,90800,115800,,,20191023初期
ALFAROMEO,156,932AXA/932AXB/932AC/932A1/932A2/932BW/932BXB/932BXW,1998/05～2006/04,2WD,,Fr：585mm～657mm<br>Rr：570mm～702mm,90800,,248275,01011221001-qq-937,01011221001-qq-d-2,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,10k|3k,585mm～657mm|570mm～702mm,,32段階調整,,,90800,115800,,,20191023初期
ALFAROMEO,159,93922,2006/02～2011/07,2WD,,Fr：656mm～732mm<br>Rr：647mm～722mm,91800,,248277,01011221006-qq-1k,01011221006-qq-d-1k,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,12k|7k,656mm～732mm|647mm～722mm,-73mm～+3mm|-75mm～0mm,32段階調整,,,91800,116800,,,20191023初期
ALFAROMEO,GTV,916C1,1997/06～2001/08,2WD,,Fr：614mm～663mm<br>Rr：636mm～688mm,100800,,248522,01011221005-qq-12,01011221005-qq-d-5,Largus,Spec S I,固定式強化ゴム|マウントレス,6k|8.5k,614mm～663mm|636mm～688mm,-44mm～+5mm|-52mm～0mm,32段階調整,,,100800,125800,,,20191023初期
ALFAROMEO,アルファGT,93720L,2004/06～2011/08,2WD,,Fr：595mm～647mm<br>Rr：616mm～683mm,90800,,248725,01011221007-qq-1k,01011221007-qq-d-1k,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,10k|3k,595mm～647mm|616mm～683mm,-52mm～0mm|-63mm～+4mm,32段階調整,,,90800,115800,,,20191023初期
ALFAROMEO,ジュリエッタ,940,2012/02～,2WD,,Fr：624mm～701mm<br>Rr：652mm～679mm,92800,,248521,01011221004-qq-391,01011221004-qq-d-4,Largus,Spec S I,マウントレス|マウントレス,7k|3k,624mm～701mm|652mm～679mm,-61mm～+16mm|-38mm～-11mm,32段階調整,,,92800,122800,,,20191023初期
ALFAROMEO,ミト,955,2011/04～,2WD,,Fr：600mm～671mm<br>Rr：638mm～667mm,91800,,248276,01011221003-qq-33,01011221003-qq-d-3,Largus,Spec S I,マウントレス|マウントレス,6k|3k,600mm～671mm|638mm～667mm,-50mm～+21mm|-53mm～-24mm,32段階調整,,,91800,121800,,,20191023初期
AUDI,A1,8X,2011/01～,2WD,,Fr：600mm～645mm<br>Rr：593mm～630mm,92800,,248279,01011222003-qq-960,01011222003-qq-d-6,Largus,Spec S I,マウントレス|マウントレス,5k|3k,600mm～645mm|593mm～630mm,-42mm～+3mm|-62mm～-25mm,32段階調整,,,92800,117800,,,20191023初期
AUDI,A3,8P,2003/09～2013/09,2WD,フロントストラット径:55mm専用<br>電子制御式ダンパー装着不可,Fr：611mm～693mm<br>Rr：595mm～648mm,94800,,248803,01011222002-qq-961,01011222002-qq-d-7,Largus,Spec S I,調整式ピロ|マウントレス,7k|6k,611mm～693mm|595mm～648mm,-54mm～+28mm|-80mm～-27mm,32段階調整,,,94800,119800,,,20191023初期
AUDI,A4,8K,2008/03～,2WD,,Fr：645mm～719mm<br>Rr：640mm～690mm,87800,,248727,01011222004-qq-962,01011222004-qq-d-8,Largus,Spec S I,マウントレス|マウントレス,12k|10k,645mm～719mm|640mm～690mm,-57mm～+17mm|-80mm～-30mm,32段階調整,,,87800,112800,,,20191023初期
AUDI,A5,8T,2008/02～,4WD,,Fr：650mm～726mm<br>Rr：664mm～707mm,90800,,248281,01011222007-qq-963,01011222007-qq-d-9,Largus,Spec S I,マウントレス|マウントレス,14k|6k,650mm～726mm|664mm～707mm,-41mm～+35mm|-37mm～+6mm,32段階調整,,,90800,115800,,,20191023初期
AUDI,A6,C6,2004/07～2011/07,2WD,,Fr：620mm～697mm<br>Rr：632mm～689mm,87800,,248728,01011222006-qq-964,01011222006-qq-d-10,Largus,Spec S I,マウントレス|マウントレス,12k|10k,620mm～697mm|632mm～689mm,-77mm～+0mm|-75mm～-18mm,32段階調整,,,87800,112800,,,20191023初期
AUDI,A6,C7,2011/08～,4WD,アバント適合可,Fr：662mm～738mm<br>Rr：675mm～718mm,90800,,248729,01011222007-qq-965,01011222007-qq-d-11,Largus,Spec S I,マウントレス|マウントレス,14k|6k,662mm～738mm|675mm～718mm,-61mm～+15mm|-57mm～-14mm,32段階調整,,,90800,115800,,,20191023初期
AUDI,A6(クワトロ),4BA##/4BB##,1997/09～2004/07,2WD/4WD,,Fr：587mm～677mm<br>Rr：604mm～710mm,90800,,248278,01011222001-qq-966,01011222001-qq-d-12,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,12k|12k,587mm～677mm|604mm～710mm,,F:30段階/R:32段階,減衰力調整はショック外しが必要,,90800,115800,,,20191023初期
AUDI,Q7,4L,2006/10～,4WD,,Fr：735mm～826mm<br>Rr：749mm～803mm,108800,,248280,01011222005-qq-53,01011222005-qq-d-13,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,18k|10k,735mm～826mm|749mm～803mm,-81mm～+10mm|-86mm～-32mm,32段階調整,,,108800,158800,,,20191023初期
AUDI,TTクーペA5,8J,2006/07～,2WD/4WD,,Fr：635mm～725mm<br>Rr：640mm～690mm,94800,,248726,01011222002-qq-79,01011222002-qq-d-14,Largus,Spec S I,調整式ピロ|マウントレス,7k|6k,635mm～725mm|640mm～690mm,-38mm～+52mm|-32mm～+18mm,32段階調整,,,94800,119800,,,20191023初期
BMW,1シリーズ,E81/E87,2004/10～2011/05,2WD,適合型式:UF20/UF30/UD20/UD30/UC30,Fr：620mm～670mm<br>Rr：596mm～680mm,94800,,248805,01011223009-qq-939,01011223009-qq-d-16,Largus,Spec S I,調整式ピロ|マウントレス,8k|12k,620mm～670mm|596mm～680mm,,32段階調整,,,94800,119800,,,20191023初期
BMW,1シリーズ,F20 116i/120i,2011/09～,2WD,,Fr：589mm～665mm<br>Rr：599mm～651mm,87800,,248285,01011223010-qq-938,01011223010-qq-d-15,Largus,Spec S I,マウントレス|マウントレス,6k|8k,589mm～665mm|599mm～651mm,,32段階調整,,,87800,112800,,,20191023初期
BMW,3シリーズ,E36,1991/07～1999/06,2WD,,Fr：595mm～688mm<br>Rr：600mm～655mm,99800,,248283,01011223005-qq-945,01011223005-qq-d-17,Largus,Spec S I,調整式ピロ|固定式強化ゴム,6k|8k,595mm～688mm|600mm～655mm,,32段階調整,,,99800,124800,,,20191023初期
BMW,3シリーズ,E46,1998/07～2005/09,2WD,適合型式:AL19/AM20/25/AV22/25/30/AY20,Fr：606mm～680mm<br>Rr：601mm～666mm,94800,,248284,01011223006-qq-946,01011223006-qq-d-18,Largus,Spec S I,調整式ピロ|固定式強化ゴム,8k|8k,606mm～680mm|601mm～666mm,,32段階調整,,,94800,119800,,,20191023初期
BMW,3シリーズ,E90,2005/04～,2WD,適合型式:VA20/VB23/VB25/VB30/VB35,Fr：611mm～681mm<br>Rr：590mm～659mm,94800,,248524,01011223004-qq-947,01011223004-qq-d-19,Largus,Spec S I,調整式ピロ|マウントレス,8k|12k,611mm～681mm|590mm～659mm,,32段階調整,,,94800,119800,,,20191023初期
BMW,3シリーズ,E91 320iツーリング,2006/05～2011/12,2WD,,Fr：614mm～685mm<br>Rr：580mm～635mm,101800,,248286,01011223013-qq-948,01011223013-qq-d-20,Largus,Spec S I,調整式ピロ|マウントレス,8k|12k,614mm～685mm|580mm～635mm,-46mm～+25mm|-65mm～-10mm,32段階調整,,,101800,126800,,,20191023初期
BMW,3シリーズ,F30 320i/328i/335i,2012/01～,2WD,,Fr：616mm～746mm<br>Rr：623mm～688mm,87800,,248528,01011223012-qq-949,01011223012-qq-d-21,Largus,Spec S I,マウントレス|マウントレス,6k|12k,616mm～746mm|623mm～688mm,-79mm～+51mm|-80mm～-27mm,32段階調整,,,87800,112800,,,20191023初期
BMW,3シリーズ,F31 320iツーリング,2012/09～,2WD,,Fr：616mm～746mm<br>Rr：623mm～688mm,87800,,248529,01011223012-qq-950,01011223012-qq-d-22,Largus,Spec S I,マウントレス|マウントレス,6k|12k,616mm～746mm|623mm～688mm,,32段階調整,,,87800,112800,,,20191023初期
BMW,5シリーズ,E39,1996/06～2002/11,2WD,適合型式:DD25/DD28/DM25/DM28,Fr：590mm～770mm<br>Rr：590mm～680mm,94800,,248730,01011223003-qq-952,01011223003-qq-d-23,Largus,Spec S I,調整式ピロ|固定式強化ゴム,7k|5k,590mm～770mm|590mm～680mm,,32段階調整,,,94800,119800,,,20191023初期
BMW,5シリーズ,E60 525i/530i,2003/08～2010/01,2WD,適合型式:NA25/NA30/NE25/NE30/NU25/NU30,Fr：630mm～710mm<br>Rr：625mm～699mm,89800,,248525,01011223008-qq-953,01011223008-qq-d-24,Largus,Spec S I,マウントレス|固定式強化ゴム,6k|5k,630mm～710mm|625mm～699mm,,32段階調整,,,89800,114800,,,20191023初期
BMW,5シリーズ,F10,2010/03～,2WD,,Fr：625mm～729mm<br>Rr：650mm～722mm,87800,,248526,01011223011-qq-954,01011223011-qq-d-25,Largus,Spec S I,固定式強化ゴム|マウントレス,10k|4.5k,625mm～729mm|650mm～722mm,,32段階調整,電子制御付きダンパー車両は機能をキャンセルする必要あり,,87800,112800,,,20191023初期
BMW,7シリーズ,E65 745i,2001/10～2009/02,2WD,,Fr：675mm～740mm<br>Rr：670mm～755mm,86800,,248804,01011223007-qq-957,出さない,Largus,Spec S I,マウントレス|固定式強化ゴム,9k|6k,675mm～740mm|670mm～755mm,,32段階調整,,,86800,出さない,,,20191023初期
BMW,7シリーズ,F01,2009/03～,2WD,,Fr：666mm～750mm<br>Rr：685mm～737mm,87800,,248527,01011223011-qq-1,出さない,Largus,Spec S I,固定式強化ゴム|マウントレス,10k|4.5k,666mm～750mm|685mm～737mm,,32段階調整,電子制御付きダンパー車両は機能をキャンセルする必要あり,,87800,出さない,,,20191023初期
BMW,X1,E84,2010/04～,2WD,,Fr：672mm～742mm<br>Rr：660mm～712mm,94800,,248288,01011223015-qq-101,01011223015-qq-d-29,Largus,Spec S I,固定式強化ゴム|マウントレス,7k|11k,672mm～742mm|660mm～712mm,-48mm～+22mm|-67mm～-15mm,32段階調整,,,94800,119800,,,20191023初期
