適合車種,内径(ID),自由長,スプリングレート,入数,販売価格,Camp価格,商品ID,物販コード,メーカー名,商品名,備考,注意事項,定価
汎用品,62φ,120mm,5K,2本,7000,,249220,01020312005-qq-1,Largus,直巻スプリング,,,7000
汎用品,62φ,120mm,8K,2本,7000,,249221,01020312008-qq-2,Largus,直巻スプリング,,,7000
汎用品,62φ,120mm,12K,2本,7000,,249222,01020312012-qq-3,Largus,直巻スプリング,,,7000
汎用品,62φ,120mm,14K,2本,7000,,249223,01020312014-qq-4,Largus,直巻スプリング,,,7000
汎用品,62φ,120mm,16K,2本,7000,,249224,01020312016-qq-5,Largus,直巻スプリング,,,7000
汎用品,62φ,120mm,18K,2本,7000,,249225,01020312018-qq-6,Largus,直巻スプリング,,,7000
汎用品,62φ,120mm,20K,2本,7000,,249226,01020312020-qq-7,Largus,直巻スプリング,,,7000
汎用品,62φ,130mm,6K,2本,7000,,249227,01020313006-qq-8,Largus,直巻スプリング,,,7000
汎用品,62φ,135mm,10K,2本,7000,,249228,01020313510-qq-9,Largus,直巻スプリング,,,7000
汎用品,62φ,140mm,10K,2本,7000,,249229,01020314010-qq-10,Largus,直巻スプリング,,,7000
汎用品,62φ,140mm,12K,2本,7000,,249230,01020314012-qq-11,Largus,直巻スプリング,,,7000
汎用品,62φ,140mm,14K,2本,7000,,249231,01020314014-qq-12,Largus,直巻スプリング,,,7000
汎用品,62φ,150mm,4K,2本,7000,,249232,01020315004-qq-13,Largus,直巻スプリング,,,7000
汎用品,62φ,150mm,5K,2本,7000,,249233,01020315005-qq-14,Largus,直巻スプリング,,,7000
汎用品,62φ,150mm,6K,2本,7000,,249234,01020315006-qq-15,Largus,直巻スプリング,,,7000
汎用品,62φ,150mm,8K,2本,7000,,249235,01020315008-qq-16,Largus,直巻スプリング,,,7000
汎用品,62φ,150mm,10K,2本,7000,,249236,01020315010-qq-17,Largus,直巻スプリング,,,7000
汎用品,62φ,160mm,6K,2本,7000,,249237,01020316006-qq-18,Largus,直巻スプリング,,,7000
汎用品,62φ,160mm,7K,2本,7000,,249238,01020316007-qq-19,Largus,直巻スプリング,,,7000
汎用品,62φ,160mm,8K,2本,7000,,249239,01020316008-qq-20,Largus,直巻スプリング,,,7000
汎用品,62φ,160mm,10K,2本,7000,,249240,01020316010-qq-21,Largus,直巻スプリング,,,7000
汎用品,62φ,160mm,12K,2本,7000,,249241,01020316012-qq-22,Largus,直巻スプリング,,,7000
