自動車メーカー,車種,型式,年式,エンジン,ミッション,駆動,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,車高,備考,注意事項,定価,SET価格
ホンダ,N-BOX,JF1-120,12年12月～13年12月,S07A,CVT,FF,G,75771,,292162,50000-XMD-K1S0-qq-e-82k,50000-XMD-K1S0-qq-e-d-82k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOX,JF1-120,12年12月～13年12月,S07A,CVT,FF,G Lパッケージ,75771,,292163,50000-XMD-K1S0-qq-e-83k,50000-XMD-K1S0-qq-e-d-83k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOX,JF1-140,13年12月～15年1月,S07A,CVT,FF,G,75771,,292159,50000-XMD-K1S0-qq-e-79k,50000-XMD-K1S0-qq-e-d-79k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOX,JF1-140,13年12月～15年1月,S07A,CVT,FF,G Lパッケージ,75771,,292160,50000-XMD-K1S0-qq-e-80k,50000-XMD-K1S0-qq-e-d-80k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOX,JF1-160,15年2月～17年8月,S07A,CVT,FF,G,75771,,292156,50000-XMD-K1S0-qq-e-76k,50000-XMD-K1S0-qq-e-d-76k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOX,JF1-160,15年2月～17年8月,S07A,CVT,FF,G・Lパッケージ,75771,,292157,50000-XMD-K1S0-qq-e-77k,50000-XMD-K1S0-qq-e-d-77k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOX,JF1-210,12年12月～13年12月,S07A,CVT,FF,G ターボパッケージ,75771,,292164,50000-XMD-K1S0-qq-e-84k,50000-XMD-K1S0-qq-e-d-84k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOX,JF1-220,13年12月～15年1月,S07A,CVT,FF,G ターボ Lパッケージ,75771,,292161,50000-XMD-K1S0-qq-e-81k,50000-XMD-K1S0-qq-e-d-81k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOX,JF1-240,15年2月～17年8月,S07A,CVT,FF,G・ターボ Lパッケージ,75771,,292158,50000-XMD-K1S0-qq-e-78k,50000-XMD-K1S0-qq-e-d-78k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-100,11年12月～12年12月,S07A,CVT,FF,G,75771,,292174,50000-XMD-K1S0-qq-e-94k,50000-XMD-K1S0-qq-e-d-94k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-100,11年12月～12年12月,S07A,CVT,FF,G Lパッケージ,75771,,292175,50000-XMD-K1S0-qq-e-95k,50000-XMD-K1S0-qq-e-d-95k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-120,12年12月～13年12月,S07A,CVT,FF,G,75771,,292171,50000-XMD-K1S0-qq-e-91k,50000-XMD-K1S0-qq-e-d-91k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-120,12年12月～13年12月,S07A,CVT,FF,G Lパッケージ,75771,,292172,50000-XMD-K1S0-qq-e-92k,50000-XMD-K1S0-qq-e-d-92k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-140,13年12月～15年1月,S07A,CVT,FF,G,75771,,292168,50000-XMD-K1S0-qq-e-88k,50000-XMD-K1S0-qq-e-d-88k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-140,13年12月～15年1月,S07A,CVT,FF,G Aパッケージ,75771,,292169,50000-XMD-K1S0-qq-e-89k,50000-XMD-K1S0-qq-e-d-89k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-160,15年2月～17年8月,S07A,CVT,FF,G,75771,,292165,50000-XMD-K1S0-qq-e-85k,50000-XMD-K1S0-qq-e-d-85k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-160,15年2月～17年8月,S07A,CVT,FF,G・Lパッケージ,75771,,292166,50000-XMD-K1S0-qq-e-86k,50000-XMD-K1S0-qq-e-d-86k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-200,11年12月～12年12月,S07A,CVT,FF,G ターボパッケージ,75771,,292176,50000-XMD-K1S0-qq-e-96k,50000-XMD-K1S0-qq-e-d-96k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-210,12年12月～13年12月,S07A,CVT,FF,G ターボパッケージ,75771,,292173,50000-XMD-K1S0-qq-e-93k,50000-XMD-K1S0-qq-e-d-93k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-220,13年12月～15年1月,S07A,CVT,FF,G ターボ Aパッケージ,75771,,292170,50000-XMD-K1S0-qq-e-90k,50000-XMD-K1S0-qq-e-d-90k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXカスタム,JF1-240,15年2月～17年8月,S07A,CVT,FF,G・ターボ Lパッケージ,75771,,292167,50000-XMD-K1S0-qq-e-87k,50000-XMD-K1S0-qq-e-d-87k,50000-XMD-K1S0,MUGEN,スポーツサスペンション,約-20mm,ダンパーとスプリングのセット,,88000,89800
ホンダ,N-BOXスラッシュ,JF1-700,14年12月～15年11月,S07A,CVT,FF,G,81587,,292181,50000-XMDC-K0S0-qq-e-104k,50000-XMDC-K0S0-qq-e-d-104k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
ホンダ,N-BOXスラッシュ,JF1-700,14年12月～15年11月,S07A,CVT,FF,X,81587,,292182,50000-XMDC-K0S0-qq-e-105k,50000-XMDC-K0S0-qq-e-d-105k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
ホンダ,N-BOXスラッシュ,JF1-710,15年12月～17年12月,S07A,CVT,FF,G,81587,,292186,50000-XMDC-K0S0-qq-e-97k,50000-XMDC-K0S0-qq-e-d-97k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
