自動車メーカー,車種,型式,適合詳細,仕様,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,減衰力0.3m/sec時 伸/圧N(kgf)【F|R】,バネ定数N/mm(kgf/mm)【F/R】,車高変化代 mm【F/R】,備考,注意事項,定価,SET価格,
日産,ウイングロード,Y12,2WD全車(オーテックライダーを除く),ノーマル形状<br>減衰力固定式<br>1年間または3年間6万km保証,83868,,248002,53110-RS2Y0-qq-e-25,53110-RS2Y0-qq-e-d-254,53110-RS2Y0,NISMO,S-tuneサスペンションキット,1531/550(156/56)|756/311(77/34),37.0(3.8)/52.0(5.3),約-25/約-20,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,14/5～の車両に装着する場合は、ABSセンサーハーネス(日産純正部品:47910-ED000×2)が必要となります<br>別途ご購入ください,89400,95500,
日産,エルグランド,E50,ガソリンエンジン車(寒冷地仕様・4WD含む),ノーマル形状<br>減衰力固定式<br>4～6名乗車での快適性を重視したセッティング<br>1年間または3年間6万km保証,93498,,247993,53110-RS0E0-qq-e-28,53110-RS0E0-qq-e-d-257,53110-RS0E0,NISMO,S-tuneサスペンションキット,2040/600(208/61)|1910/970(195/99),41.0(4.2)/72.6(7.4),約-30/約-35,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,アクティブダンパー車に装着した場合はアクティブダンパー機能は損なわれます,100000,105000,
日産,エルグランド,E50,ディーゼルエンジン車(寒冷地仕様・4WD含む),ノーマル形状<br>減衰力固定式<br>4～6名乗車での快適性を重視したセッティング<br>1年間または3年間6万km保証,93498,,247994,53110-RS0E1-qq-e-29,53110-RS0E1-qq-e-d-258,53110-RS0E1,NISMO,S-tuneサスペンションキット,2040/600(208/61)|1910/970(195/99),41.0(4.2)/72.6(7.4),約-30/約-35,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,アクティブダンパー車に装着した場合はアクティブダンパー機能は損なわれます,100000,105000,
日産,エルグランド,E51,2WD車(～03/5)<br>(4ドアのVDC装着車を除く),ノーマル形状<br>減衰力固定式<br>1年間または3年間6万km保証,88048,,247998,53110-RS1E0-qq-e-30,53110-RS1E0-qq-e-d-259,53110-RS1E0,NISMO,S-tuneサスペンションキット,1641/736(167/75)|2113/803(216/82),45.0(4.6)/93.0(9.5),ハイウェイスター:約-20/約-25<br>ハイウェイスター以外:約-30/約-35,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,03/5以降生産の純正スタビライザー装着車とは相性が悪く、適合不可としております<br>NISMOスタビライザーキットとセットでのご使用は可能です,94000,99600,
日産,エルグランド,E51,4WD車(～03/5)<br>(4ドアのVDC装着車を除く),ノーマル形状<br>減衰力固定式<br>1年間または3年間6万km保証,88048,,247999,53110-RS1E1-qq-e-31,53110-RS1E1-qq-e-d-260,53110-RS1E1,NISMO,S-tuneサスペンションキット,1641/736(167/75)|2113/803(216/82),45.0(4.6)/93.0(9.5),ハイウェイスター:約-20/約-25<br>ハイウェイスター以外:約-30/約-35,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,03/5以降生産の純正スタビライザー装着車とは相性が悪く、適合不可としております<br>NISMOスタビライザーキットとセットでのご使用は可能です,94000,99600,
日産,エルグランド,E52,QR25車(14/1～ ライダーを除く),ノーマル形状<br>減衰力固定式<br>1年間または3年間6万km保証,93498,,247988,53110-RS2E6-qq-e-1,53110-RS2E6-qq-e-d-1,53110-RS2E6,NISMO,S-tuneサスペンションキット,1850/950|2600/1150,約46/約105,約-20/約-15,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,,100000,105000,
日産,エルグランド,E52,VQ35車(～14/1 ハイパフォーマンススペック及び14/1～ ライダーを除く),ノーマル形状<br>減衰力固定式<br>1年間または3年間6万km保証,93498,,247989,53110-RS2E7-qq-e-2,53110-RS2E7-qq-e-d-2,53110-RS2E7,NISMO,S-tuneサスペンションキット,1850/950|2600/1150,約46/約105,約-20/約-15,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,,100000,105000,
日産,キューブ,Z11,2WD車(キュービックを除く),ノーマル形状<br>減衰力固定式<br>1年間または3年間6万km保証,82868,,248001,53110-RS1Z0-qq-e-36,53110-RS1Z0-qq-e-d-265,53110-RS1Z0,NISMO,S-tuneサスペンションキット,988/445(101/45)|667/352(68/36),31.0(3.2)/49.0(5.0),約-25/約-25,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,実際の商品はアッセンブリーではありません,88300,94500,
日産,シルビア,S14,全車,ノーマル形状<br>減衰力固定式<br>ショートストロークタイプ<br>フロントに強化ゴムアッパーマウント採用<br>1年間または3年間6万km保証,91681,,248015,53110-RSS40-qq-e-38,53110-RSS40-qq-e-d-267,53110-RSS40,NISMO,S-tuneサスペンションキット,1484/722(151/74)|1277/550(130/56),52.0(5.3)/44.1(4.5),約-25/約-15,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,,98000,103200,
日産,シルビア,S15,全車(オーテックバージョン車含む・バリエッタを除く),ノーマル形状<br>減衰力固定式<br>ショートストロークタイプ<br>強化ゴムアッパーマウント付属<br>バンプラバーをウレタンに変更<br>1年間または3年間6万km保証,102584,,247990,53110-RSS55-qq-e-3,53110-RSS55-qq-e-d-3,53110-RSS55,NISMO,S-tuneサスペンションキット,2157/785(220/80)|1765/834(180/85),44.1(4.5)/53.9(5.5),約-20/約-20,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,実際の商品はアッセンブリーではありません,110000,114000,
日産,シルビア/180SX,S13/RS13,全車(コンバーチブルを除く),ノーマル形状<br>減衰力固定式<br>ショートストロークタイプ<br>フロントに強化ゴムアッパーマウント採用<br>1年間または3年間6万km保証,91681,,248014,53110-RSS30-qq-e-37,53110-RSS30-qq-e-d-266,53110-RSS30,NISMO,S-tuneサスペンションキット,1571/712(160/73)|1441/611(147/62),52.0(5.3)/37.3(3.8),約-25/約-15,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,,98000,103200,
日産,スカイライン,CPV35,全車,ノーマル形状<br>減衰力固定式<br>ショートストロークタイプ<br>1年間または3年間6万km保証,115303,,248018,53110-RSV55-qq-e-40,53110-RSV55-qq-e-d-269,53110-RSV55,NISMO,S-tuneサスペンションキット,2295/1115(234.0/114.0)|1306/829(133.0/85.0),78.0(8.0)/88.0(9.0),約-20/約-20,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,,124000,126600,
日産,スカイライン,R32,2WD車(1800cc・寒冷地仕様を除く),ノーマル形状<br>減衰力4段調整式<br>ショートストロークタイプ<br>1年間または3年間6万km保証,107126,,248011,53110-RSR20-qq-e-41,53110-RSR20-qq-e-d-270,53110-RSR20,NISMO,S-tuneサスペンションキット,4段目1528/521(156/53)|3段目1343/518(137/53),52.0(5.3)/38.2(3.9),約-20/約-15,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,,115000,118500,
日産,スカイライン,R33,2WD車(RB20DEを除く),ノーマル形状<br>減衰力4段調整式<br>ショートストロークタイプ<br>1年間または3年間6万km保証,107126,,248012,53110-RSR30-qq-e-42,53110-RSR30-qq-e-d-271,53110-RSR30,NISMO,S-tuneサスペンションキット,4段目1459/751(149/77)|4段目1663/442(170/45),52.0(5.3)/47.1(4.8),約-20/約-15,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,,115000,118500,
日産,スカイライン,R34,2WD HICAS付車,ノーマル形状<br>減衰力4段調整式<br>ショートストロークタイプ<br>1年間または3年間6万km保証,107126,,248013,53110-RSR40-qq-e-43,53110-RSR40-qq-e-d-272,53110-RSR40,NISMO,S-tuneサスペンションキット,3段目1454/714(148/73)|3段目1039/417(106/43),62.8(6.4)/45.1(4.6),約-30/約-30,車高変化代は参考値です<br>車両の個体差、装備、グレード等によって、±10mm程度変化します,実際の商品はアッセンブリーではありません,115000,118500,
