自動車メーカー,車種,型式,エンジン,適合詳細,仕様,プレート,種類,販売価格,Camp価格,商品ID,物販コード,メーカー品番,メーカー名,商品名,商品,商品種別,付属品/必要部品,備考,注意事項,定価,入り送料,,規格1,パターン数,管理用コード
スズキ,スイフトスポーツ,ZC31S,M16A,,車種専用タイプ・ダンパー付きクラッチディスク<br>プッシュ式,シングル,209,76158,,292018,ORC-209D-SZ0101-qq-e-603k,ORC-209D-SZ0101,ORC,Metal Series ORC-209(シングル),Metal Series ORC-209,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>レリーズベアリング:純正品をご使用ください。<br>純正のパイロットベアリングが必要となります。,,,106000,0,,,,
スバル,WRX,VAB,EJ20T,6MTのみ,SE機構付き<br>HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,659,133396,,291953,ORC-P659D-SB0102-qq-e-563k,ORC-P659D-SB0102,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,188000,0,,,,
スバル,WRX,VAB,EJ20T,6MTのみ,SE機構付き<br>HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,659,129209,,291927,ORC-P659-SB0102-qq-e-564k,ORC-P659-SB0102,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,182000,0,,,,
スバル,WRX,VAB,EJ20T,6MTのみ,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,559,126417,,291899,ORC-P559D-SB0102-qq-e-566k,ORC-P559D-SB0102,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,178000,0,,,,
スバル,WRX,VAB,EJ20T,6MTのみ,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,559,122228,,291855,ORC-P559-SB0102-qq-e-565k,ORC-P559-SB0102,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,172000,0,,,,
スバル,インプレッサ,GC8,EJ20T,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,シングル,409,91515,,291831,ORC-P409D-SB0101-qq-e-572k,ORC-P409D-SB0101,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,128000,0,,,,
スバル,インプレッサ,GC8,EJ20T,,SE機構付き<br>HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,659,129209,,291925,ORC-P659-SB0101-qq-e-570k,ORC-P659-SB0101,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,182000,0,,,,
スバル,インプレッサ,GC8,EJ20T,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,559,122228,,291853,ORC-P559-SB0101-qq-e-571k,ORC-P559-SB0101,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,172000,0,,,,
スバル,インプレッサ,GDB,EJ20T,6MTのみ,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,シングル,409,91515,,291833,ORC-P409D-SB0102-qq-e-578k,ORC-P409D-SB0102,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,128000,0,,,,
スバル,インプレッサ,GDB,EJ20T,6MTのみ,SE機構付き<br>HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,659,133396,,291954,ORC-P659D-SB0102-qq-e-575k,ORC-P659D-SB0102,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,188000,0,,,,
