自動車メーカー,車種,型式,適合詳細,最大上げ幅,セット内容,物販売価,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,備考,注意事項,定価,送料,SET価格
スズキ,エブリイバン,DA17V/DA17W,,40mm,A+C,33855,,260198,OT-max40-qq-e-f1-h-32k,OT-max40-qq-e-d-h-32k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
スズキ,エブリイワゴン,DA62V/DA62W,,40mm,A+C,33855,,260200,OT-max40-qq-e-f1-h-34k,OT-max40-qq-e-d-h-34k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
スズキ,エブリイワゴン,DA64V/DA64W,,40mm,A+C,33855,,260199,OT-max40-qq-e-f1-h-33k,OT-max40-qq-e-d-h-33k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
スズキ,キャリイトラック,DA16T,スーパーキャリイなどフロントスタビライザー付車両は個体差でスタビリンクとブレーキラインが干渉すること有(その場合スタビライザーを取り外す必要有),40mm,B+D,33855,,260224,OT-max40-qq-e-f1-h-29k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
スズキ,キャリイトラック,DA62T,,40mm,A+D,33855,,260226,OT-max40-qq-e-f1-h-31k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
スズキ,キャリイトラック,DA63T,,40mm,A+D,33855,,260225,OT-max40-qq-e-f1-h-30k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
スズキ,ツイン,,2WD/4WD全型式,40mm,A+C,33855,,260201,OT-max40-qq-e-f1-h-35k,OT-max40-qq-e-d-h-35k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
スバル,サンバーディアス,TW1/TW2,,40mm,A+C,33855,,260197,OT-max40-qq-e-f1-h-28k,OT-max40-qq-e-d-h-28k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
スバル,サンバートラック,KS3/KS4,,40mm,A+C,33855,,260223,OT-max40-qq-e-f1-h-24k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
スバル,サンバートラック,S500J/S510J,,40mm,B+D,33855,,260221,OT-max40-qq-e-f1-h-22k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
