自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,スプリングレート kgf/mm(F/R),基準ダウン量 mm(F/R),推奨車高調整範囲 mm(F/R),備考,注意事項,定価,SET価格
スズキ,カプチーノ,EA11R,1991/11～1998/10,,,80500,,305990,HS-SZ53S-qq-e-78k,HS-SZ53S-qq-e-d-78k,HS-SZ53S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ピロボール<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):150/150,6(8・10)/4(6・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
スズキ,スイフト,ZC33S,2017/09～,,,80500,,305989,HS-SZ07S-qq-e-79k,HS-SZ07S-qq-e-d-79k,HS-SZ07S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):純正アッパー使用/-<br>内径 mm(F/R):65/60-65<br>自由長 mm(F/R):175/125,6(8・10)/3.6<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
スバル,BRZ,ZC6,2012/03～,,,80500,,306001,HS-T60S-qq-e-41,HS-T60S-qq-e-d-41,HS-T60S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):150/150,6(8・10)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,リア:内装カットが必要,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
スバル,インプレッサ,GC8,1992/11～2000/08,,,80500,,305983,HS-S01S-qq-e-42,HS-S01S-qq-e-d-42,HS-S01S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,8(6・10・12)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,96200
スバル,インプレッサ,GDB,2001/09～2004/05,～D型,,80500,,305984,HS-S02S-qq-e-43,HS-S02S-qq-e-d-43,HS-S02S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/250,6(8・10)/4(6・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,96200
スバル,インプレッサ,GDB,2004/06～2007/05,E～型,,80500,,305985,HS-S08S-qq-e-44,HS-S08S-qq-e-d-44,HS-S08S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/250,6(8・10)/4(6・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,96200
スバル,ヴィヴィオ,KK3,1992/03～1998/11,,,80500,,305987,HS-S15S-qq-e-46,HS-S15S-qq-e-d-46,HS-S15S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):60/60<br>自由長 mm(F/R):180/180,4/3<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,バネ変更不可(ID60の為)<br>受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
スバル,レヴォーグ,VM4,2014/06～,,,80500,,305988,HS-S29DT-qq-e-47,HS-S29DT-qq-e-d-47,HS-S29DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/275,8(6・10・12)/6<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,リアスプリング専用品の為変更不可<br>受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,96200
スバル,レガシィ,BP5,2003/05～2009/05,,,80500,,305986,HS-S12S-qq-e-77k,HS-S12S-qq-e-d-77k,HS-S12S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,6(8・10)/6(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,96200
ダイハツ,コペン,L880K,2002/06～2012/09,,,80500,,305949,HS-DA57S-qq-e-80k,HS-DA57S-qq-e-d-80k,HS-DA57S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):60/120-97<br>自由長 mm(F/R):180/165,4/2.7<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,バネ変更不可(ID60の為)<br>スプリング専用品の為変更不可,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
