自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,ダウン量,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,ダウン量 mm(F/R),バネレート(F/R),備考,注意事項,定価,SET価格
スズキ,Kei,HN21S/HN11S/HN12S/HN22S,98/10～09/10,F6A/K6A,2WD 3.5Dr共通,<div>Fr：30～35mm</div><div>Rr：30～35mm</div>,9540,,305773,SS002A-qq-e-437,SS002A-qq-e-d-437,SS002A,RACING GEAR,LOWFORM REVOLUTION,1台分,30～35/30～35,3/2.5,バンプラバーカット,必ず適合表最後の「適合表注意事項及び取扱い注意事項」をメーカーHPにてご参照ください。<br>商品の仕様により、線間密着が起こってしまう可能性がございます。<br>ご了承の上ご購入下さい。,10600,24600
スズキ,Keiワークス,HN22S,02/11～09/10,K6A,2WD/4WD共通,<div>Fr：30～35mm</div><div>Rr：30～35mm</div>,9540,,305515,SS002A-qq-e-438,SS002A-qq-e-d-438,SS002A,RACING GEAR,LOWFORM REVOLUTION,1台分,30～35/30～35,3/2.5,バンプラバーカット,必ず適合表最後の「適合表注意事項及び取扱い注意事項」をメーカーHPにてご参照ください。<br>商品の仕様により、線間密着が起こってしまう可能性がございます。<br>ご了承の上ご購入下さい。,10600,24600
スズキ,MRワゴン,MF22S,06/01～11/01,K6A,2WD,<div>Fr：35～40mm</div><div>Rr：35～40mm</div>,10260,,305531,SS016A-qq-e-440,SS016A-qq-e-d-440,SS016A,RACING GEAR,LOWFORM REVOLUTION,1台分,35～40/35～40,3.1/2.3,リア純正チューブ再利用,必ず適合表最後の「適合表注意事項及び取扱い注意事項」をメーカーHPにてご参照ください。<br>商品の仕様により、線間密着が起こってしまう可能性がございます。<br>ご了承の上ご購入下さい。,11400,25300
スズキ,MRワゴン,MF33S,11/01～,R06A,2WD NA/ターボ共通,<div>Fr：40～45mm</div><div>Rr：40～45mm</div>,10260,,305542,SS023A-qq-e-441,SS023A-qq-e-d-441,SS023A,RACING GEAR,LOWFORM REVOLUTION,1台分,40～45/40～45,2.4/2.5,,必ず適合表最後の「適合表注意事項及び取扱い注意事項」をメーカーHPにてご参照ください。<br>商品の仕様により、線間密着が起こってしまう可能性がございます。<br>ご了承の上ご購入下さい。,11400,25300
スズキ,アルト,HA24S,04/09～09/12,K6A,2WD,<div>Fr：30～35mm</div><div>Rr：30～35mm</div>,10260,,305544,SS027A-qq-e-442,SS027A-qq-e-d-442,SS027A,RACING GEAR,LOWFORM REVOLUTION,1台分,30～35/30～35,3/2.3,,必ず適合表最後の「適合表注意事項及び取扱い注意事項」をメーカーHPにてご参照ください。<br>商品の仕様により、線間密着が起こってしまう可能性がございます。<br>ご了承の上ご購入下さい。,11400,25300
スズキ,アルト,HA25S,09/12～14/12,K6A,2WD,<div>Fr：35～40mm</div><div>Rr：35～40mm</div>,9900,,305537,SS019B-qq-e-443,SS019B-qq-e-d-443,SS019B,RACING GEAR,LOWFORM REVOLUTION,1台分,35～40/35～40,2.5/1.6,,必ず適合表最後の「適合表注意事項及び取扱い注意事項」をメーカーHPにてご参照ください。<br>商品の仕様により、線間密着が起こってしまう可能性がございます。<br>ご了承の上ご購入下さい。,11000,24900
スズキ,アルト,HA36S,14/12～,R06A,2WD NA,<div>Fr：15～20mm</div><div>Rr：15～20mm</div>,9540,,305815,SS035A-qq-e-444,SS035A-qq-e-d-444,SS035A,RACING GEAR,LOWFORM REVOLUTION,1台分,15～20/15～20,2.2/1.9,ハーフダウン仕様,必ず適合表最後の「適合表注意事項及び取扱い注意事項」をメーカーHPにてご参照ください。<br>商品の仕様により、線間密着が起こってしまう可能性がございます。<br>ご了承の上ご購入下さい。,10600,24600
スズキ,アルト,HA36S,14/12～,R06A,2WD NA,<div>Fr：30～35mm</div><div>Rr：30～35mm</div>,9540,,305557,SS036A-qq-e-445,SS036A-qq-e-d-445,SS036A,RACING GEAR,LOWFORM REVOLUTION,1台分,30～35/30～35,2.4/2.2,ノーマルダウン仕様<br>フロントバンプラバー1巻(約30mm)要カット,必ず適合表最後の「適合表注意事項及び取扱い注意事項」をメーカーHPにてご参照ください。<br>商品の仕様により、線間密着が起こってしまう可能性がございます。<br>ご了承の上ご購入下さい。,10600,24600
スズキ,アルト,HA36S,14/12～,R06A,4WD NA,<div>Fr：30～35mm</div><div>Rr：30～35mm</div>,9540,,305560,SS037A-qq-e-446,SS037A-qq-e-d-446,SS037A,RACING GEAR,LOWFORM REVOLUTION,1台分,30～35/30～35,2.4/2.2,ノーマルダウン仕様<br>フロントバンプラバー1巻(約30mm)要カット,必ず適合表最後の「適合表注意事項及び取扱い注意事項」をメーカーHPにてご参照ください。<br>商品の仕様により、線間密着が起こってしまう可能性がございます。<br>ご了承の上ご購入下さい。,10600,24600
スズキ,アルトターボRS,HA36S,15/03～,R06AT,2WD ターボ,<div>Fr：15～20mm</div><div>Rr：15～20mm</div>,9540,,305816,SS035A-qq-e-447,SS035A-qq-e-d-447,SS035A,RACING GEAR,LOWFORM REVOLUTION,1台分,15～20/15～20,2.2/1.9,ハーフダウン仕様,必ず適合表最後の「適合表注意事項及び取扱い注意事項」をメーカーHPにてご参照ください。<br>商品の仕様により、線間密着が起こってしまう可能性がございます。<br>ご了承の上ご購入下さい。,10600,24600
