自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,スプリングレート kgf/mm(F/R),基準ダウン量 mm(F/R),推奨車高調整範囲 mm(F/R),備考,注意事項,定価,SET価格
スバル,BRZ,ZC6,12/03～,,スプリングレス,98000,,306063,PT019P-SP-qq-e-54k,PT019P-SP-qq-e-d-54k,PT019P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):65/65<br>自由長 mm(F/R):175/200,6(8・10)/5(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-21/-25,-21～-10/-25～-15,フロントフランジキャンバー調整式<br>フロントウィンカーランプ下縁高さ及びフォグランプ下縁高さが低い為、注意必要。<br>フロント車高を37mm以上下げるには、自由長150～160mmに交換することで可能。(7以上推奨),スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
スバル,BRZ,ZC6,12/03～,,,106400,,306061,PT019P-qq-e-22k,PT019P-qq-e-d-22k,PT019P,RACING GEAR,ZX DAMPER,内径 mm(F/R):65/65<br>自由長 mm(F/R):175/200,6(8・10)/5(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-21/-25,-21～-10/-25～-15,フロントフランジキャンバー調整式<br>フロントウィンカーランプ下縁高さ及びフォグランプ下縁高さが低い為、注意必要。<br>フロント車高を37mm以上下げるには、自由長150～160mmに交換することで可能。(7以上推奨),,152000,118400
スバル,インプレッサ,GDB,00/08～04/05,アプライドA～D,スプリングレス,109200,,306003,PF006P-SP-qq-e-55k,PF006P-SP-qq-e-d-55k,PF006P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):200/200,10(8・12)/8(6・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-45/-25,-55～-35/-35～-15,フロントフランジキャンバー調整式<br>リアアッパーマウントキャンバー調整式<br>アプライドC/Dに取付時はブレーキブラケット要加工,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,156000,124100
スバル,インプレッサ,GDB,00/08～04/05,アプライドA～D,,117600,,306002,PF006P-qq-e-23k,PF006P-qq-e-d-23k,PF006P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):200/200,10(8・12)/8(6・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-45/-25,-55～-35/-35～-15,フロントフランジキャンバー調整式<br>リアアッパーマウントキャンバー調整式<br>アプライドC/Dに取付時はブレーキブラケット要加工,,168000,132300
スバル,インプレッサ,GDB,04/05～07/06,アプライドE～,スプリングレス,109200,,306005,PF007P-SP-qq-e-56k,PF007P-SP-qq-e-d-56k,PF007P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):200/200,10(8・12)/8(6・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-25,-50～-30/-35～-15,フロントフランジキャンバー調整式<br>リアアッパーマウントキャンバー調整式,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,156000,124100
スバル,インプレッサ,GDB,04/05～07/06,アプライドE～,,117600,,306004,PF007P-qq-e-24k,PF007P-qq-e-d-24k,PF007P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):200/200,10(8・12)/8(6・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-25,-50～-30/-35～-15,フロントフランジキャンバー調整式<br>リアアッパーマウントキャンバー調整式,,168000,132300
トヨタ,86,ZN6,12/04～,,スプリングレス,98000,,306062,PT019P-SP-qq-e-33k,PT019P-SP-qq-e-d-33k,PT019P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):65/65<br>自由長 mm(F/R):175/200,6(8・10)/5(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-21/-25,-21～-10/-25～-15,フロントフランジキャンバー調整式<br>フロントウィンカーランプ下縁高さ及びフォグランプ下縁高さが低い為、注意必要。<br>フロント車高を37mm以上下げるには、自由長150～160mmに交換することで可能。(7以上推奨),スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
トヨタ,86,ZN6,12/04～,,,106400,,306060,PT019P-qq-e-1k,PT019P-qq-e-d-1k,PT019P,RACING GEAR,ZX DAMPER,内径 mm(F/R):65/65<br>自由長 mm(F/R):175/200,6(8・10)/5(8・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-21/-25,-21～-10/-25～-15,フロントフランジキャンバー調整式<br>フロントウィンカーランプ下縁高さ及びフォグランプ下縁高さが低い為、注意必要。<br>フロント車高を37mm以上下げるには、自由長150～160mmに交換することで可能。(7以上推奨),,152000,118400
トヨタ,アルテッツァ,SXE10,98/10～05/07,,スプリングレス,98000,,306055,PT009P-SP-qq-e-34k,PT009P-SP-qq-e-d-34k,PT009P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,12(10・14)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-35/-25,-45～-25/-35～-15,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
トヨタ,アルテッツァ,SXE10,98/10～05/07,,,106400,,306054,PT009P-qq-e-2k,PT009P-qq-e-d-2k,PT009P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,12(10・14)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-35/-25,-45～-25/-35～-15,,,152000,118400
