自動車メーカー,車種,型式,駆動方式,排気量,年式,備考,セット内容,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,ダウン量,バネレート,マッチンググレード,定価,入り送料,SET価格,,取付特記事項
ABARTH,アバルト500,312141,FF,1400 TB,25/4～,,1台分,30504,,157160,FI006TD-qq-e-469,出さない,4511969290433,FI006TD,RS-R,Ti2000 DOWN,15～10/30～25,3.78/4.08,ベースグレード,49200,0,出さない,,
ABARTH,アバルト500,312141,FF,1400 TB,25/4～,,フロント,15872,,166319,FI006TDF-qq-e-16490,出さない,4511969290440,FI006TDF,RS-R,Ti2000 DOWN,15～10,3.78,ベースグレード,25600,1250,出さない,,
ABARTH,アバルト500,312141,FF,1400 TB,25/4～,,リア,17794,,161713,FI006TDR-qq-e-16491,出さない,4511969290457,FI006TDR,RS-R,Ti2000 DOWN,30～25,4.08,ベースグレード,28700,1250,出さない,,
ALFAROMEO,159,93922,FF,2200 NA,18/2～,,1台分,27094,,164286,AR010TD-qq-e-16429,AR010TD-qq-e-d-16429,4511969264007,AR010TD,RS-R,Ti2000 DOWN,35～30/35～30,5.45/4.02,2.2 JTS,43700,0,61300,,
ALFAROMEO,159,93922,FF,2200 NA,18/2～,,フロント,16492,,155642,AR010TDF-qq-e-16430,出さない,4511969264014,AR010TDF,RS-R,Ti2000 DOWN,35～30,5.45,2.2 JTS,26600,1250,出さない,,
ALFAROMEO,159,93922,FF,2200 NA,18/2～,,リア,13330,,162012,AR010TDR-qq-e-16431,出さない,4511969264021,AR010TDR,RS-R,Ti2000 DOWN,35～30,4.02,2.2 JTS,21500,1250,出さない,,
ALFAROMEO,159,93932,4WD,3200 NA,19/3～,,1台分,31372,,164284,AR006TD-qq-e-16432,AR006TD-qq-e-d-16432,4511969265332,AR006TD,RS-R,Ti2000 DOWN,25～20/25～20,6.40/4.46,JTSQ4,50600,0,65400,,
ALFAROMEO,159,93932,4WD,3200 NA,19/3～,,フロント,19592,,153360,AR006TDF-qq-e-16433,出さない,4511969265349,AR006TDF,RS-R,Ti2000 DOWN,25～20,6.40,JTSQ4,31600,1250,出さない,,
ALFAROMEO,159,93932,4WD,3200 NA,19/3～,,リア,14880,,155640,AR006TDR-qq-e-16434,出さない,4511969265356,AR006TDR,RS-R,Ti2000 DOWN,25～20,4.46,JTSQ4,24000,1250,出さない,,
ALFAROMEO,159スポーツワゴン,93922,FF,2200 NA,19/7～,6AT,1台分,28520,,151116,AR200TW-qq-e-16435,AR200TW-qq-e-d-16435,4511969267763,AR200TW,RS-R,Ti2000 DOWN,30～25/20～15,5.45/4.46,2.2JTS,46000,0,62600,,
ALFAROMEO,159スポーツワゴン,93922,FF,2200 NA,19/7～,6AT,フロント,16492,,160134,AR200TWF-qq-e-16436,出さない,4511969267770,AR200TWF,RS-R,Ti2000 DOWN,30～25,5.45,2.2JTS,26600,1250,出さない,,
ALFAROMEO,159スポーツワゴン,93922,FF,2200 NA,19/7～,6AT,リア,14880,,157891,AR200TWR-qq-e-16437,出さない,4511969267787,AR200TWR,RS-R,Ti2000 DOWN,20～15,4.46,2.2JTS,24000,1250,出さない,,
ALFAROMEO,アルファ147,937AB,FF,2000 NA,13/10～,右ハンドル車 5ドア,1台分,25668,,160131,AR001TD-qq-e-16444,AR001TD-qq-e-d-16444,4511969245051,AR001TD,RS-R,Ti2000 DOWN,35～30/30～25,3.56/2.02,2.0 ツインスパーク セレスピード,41400,0,59900,,
ALFAROMEO,アルファ147,937AB,FF,2000 NA,13/10～,右ハンドル車 5ドア,フロント,14880,,151112,AR001TDF-qq-e-16442,出さない,4511969245068,AR001TDF,RS-R,Ti2000 DOWN,35～30,3.56,2.0 ツインスパーク セレスピード,24000,1250,出さない,,
ALFAROMEO,アルファ147,937AB,FF,2000 NA,13/10～,右ハンドル車 5ドア,リア,13330,,155637,AR001TDR-qq-e-16446,出さない,4511969245075,AR001TDR,RS-R,Ti2000 DOWN,30～25,2.02,2.0 ツインスパーク セレスピード,21500,1250,出さない,,
ALFAROMEO,アルファ147,937AB,FF,2000 NA,13/9～,右ハンドル車 3ドア 5MT,1台分,25668,,162003,AR001TD-qq-e-16441,AR001TD-qq-e-d-16441,4511969245051,AR001TD,RS-R,Ti2000 DOWN,40～35/35～30,3.56/2.02,2.0 ツインスパーク,41400,0,59900
ALFAROMEO,アルファ147,937AB,FF,2000 NA,13/9～,右ハンドル車 3ドア 5MT,フロント,14880,,162004,AR001TDF-qq-e-16445,出さない,4511969245068,AR001TDF,RS-R,Ti2000 DOWN,40～35,3.56,2.0 ツインスパーク,24000,1250,出さない
ALFAROMEO,アルファ147,937AB,FF,2000 NA,13/9～,右ハンドル車 3ドア 5MT,リア,13330,,162005,AR001TDR-qq-e-16443,出さない,4511969245075,AR001TDR,RS-R,Ti2000 DOWN,35～30,2.02,2.0 ツインスパーク,21500,1250,出さない
ALFAROMEO,アルファ147,937AB,FF,2000 NA,17/9～,右ハンドル車 5ドア,1台分,32116,,155644,AR100TD-qq-e-16447,AR100TD-qq-e-d-16447,4511969271173,AR100TD,RS-R,Ti2000 DOWN,20～15/20～15,4.28/3.62,TI2.0 ツインスパーク セレスピード,51800,0,66100
ALFAROMEO,アルファ147,937AB,FF,2000 NA,17/9～,右ハンドル車 5ドア,フロント,18042,,166597,AR100TDF-qq-e-16448,出さない,4511969271180,AR100TDF,RS-R,Ti2000 DOWN,20～15,4.28,TI2.0 ツインスパーク セレスピード,29100,1250,出さない
ALFAROMEO,アルファ147,937AB,FF,2000 NA,17/9～,右ハンドル車 5ドア,リア,17298,,164287,AR100TDR-qq-e-16449,出さない,4511969271197,AR100TDR,RS-R,Ti2000 DOWN,20～15,3.62,TI2.0 ツインスパーク セレスピード,27900,1250,出さない
ALFAROMEO,アルファ147,937BXB,FF,1600 NA,16/3～,右ハンドル車 5ドア 5MT,1台分,25668,,155635,AR001TD-qq-e-16450,AR001TD-qq-e-d-16450,4511969245051,AR001TD,RS-R,Ti2000 DOWN,20～15/35～30,3.56/2.02,1.6 ツインスパーク,41400,0,59900
ALFAROMEO,アルファ147,937BXB,FF,1600 NA,16/3～,右ハンドル車 5ドア 5MT,フロント,14880,,155636,AR001TDF-qq-e-16451,出さない,4511969245068,AR001TDF,RS-R,Ti2000 DOWN,20～15,3.56,1.6 ツインスパーク,24000,1250,出さない
ALFAROMEO,アルファ147,937BXB,FF,1600 NA,16/3～,右ハンドル車 5ドア 5MT,リア,13330,,162006,AR001TDR-qq-e-16452,出さない,4511969245075,AR001TDR,RS-R,Ti2000 DOWN,35～30,2.02,1.6 ツインスパーク,21500,1250,出さない
ALFAROMEO,アルファ156,932A1,FF,2500 NA,10/5～,,1台分,29946,,153358,AR002TD-qq-e-16453,AR002TD-qq-e-d-16453,4511969248144,AR002TD,RS-R,Ti2000 DOWN,10～5/25～20,4.77/2.65,2.5 V6 24V,48300,0,64000
ALFAROMEO,アルファ156,932A1,FF,2500 NA,10/5～,,フロント,17670,,164281,AR002TDF-qq-e-16454,出さない,4511969248151,AR002TDF,RS-R,Ti2000 DOWN,10～5,4.77,2.5 V6 24V,28500,1250,出さない
ALFAROMEO,アルファ156,932A1,FF,2500 NA,10/5～,,リア,15314,,164282,AR002TDR-qq-e-16455,出さない,4511969248168,AR002TDR,RS-R,Ti2000 DOWN,25～20,2.65,2.5 V6 24V,24700,1250,出さない
ALFAROMEO,アルファ156,932A1,FF,2500 NA,11/2～,4ドア,1台分,30690,,155638,AR004TD-qq-e-16456,AR004TD-qq-e-d-16456,4511969250925,AR004TD,RS-R,Ti2000 DOWN,15～10/25～20,3.56/2.65,2.5 V6 24V Qシステム,49500,0,64700
ALFAROMEO,アルファ156,932A1,FF,2500 NA,11/2～,4ドア,フロント,18414,,162008,AR004TDF-qq-e-16457,出さない,4511969250932,AR004TDF,RS-R,Ti2000 DOWN,15～10,3.56,2.5 V6 24V Qシステム,29700,1250,出さない
