自動車メーカー,車種,型式,駆動方式,排気量,年式,備考,セット内容,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,ダウン量,バネレート,マッチンググレード,定価,入り送料,SET価格,,取付特記事項
トヨタ,イスト,NCP61,FF,1500 NA,17/5～19/6,,1台分,25668,,160077,T372THIR-qq-e-11,T372THIR-qq-e-d-11,4511969259140,T372THIR,RS-R,Ti2000 Hi-Road,25～20/20～15,2.94/2.96,1.5A-S,41400,0,39900,,
日産,エルグランド,ALE50,FR,3300 NA,9/5～12/7,,1台分,34968,,161849,N750THIR-qq-e-10,N750THIR-qq-e-d-10,4511969251625,N750THIR,RS-R,Ti2000 Hi-Road,15～10/30～25,3.60/7.44,ライダー,56400,0,48900,,
日産,セレナ,TNC24,4WD,2000 NA,13/12～17/4,,1台分,27094,,157820,N698THIR-qq-e-5,N698THIR-qq-e-d-5,4511969254121,N698THIR,RS-R,Ti2000 Hi-Road,35～30/40～35,3.12/10.4,V-G,43700,0,41300,,
ホンダ,エリシオン,RR2,4WD,2400 NA,16/5～24/5,,1台分,48484,,156857,H731THIR-qq-e-6,H731THIR-qq-e-d-6,4511969255296,H731THIR,RS-R,Ti2000 Hi-Road,35～30/35～30,6.95/8.38,X,78200,0,62000,,
ホンダ,エリシオン,RR3,FF,3000 NA,16/5～24/5,AFS装着可,1台分,44206,,161399,H732THIR-qq-e-8,H732THIR-qq-e-d-8,4511969253889,H732THIR,RS-R,Ti2000 Hi-Road,25～20/20～15,6.84/8.38,VZ,71300,0,57800,,
ホンダ,エリシオン,RR3,FF,3000 NA,16/5～24/5,,1台分,44206,,154608,H732THIR-qq-e-7,H732THIR-qq-e-d-7,4511969253889,H732THIR,RS-R,Ti2000 Hi-Road,30～25/15～10,6.84/8.38,VG,71300,0,57800,,
ホンダ,エリシオン,RR4,4WD,3000 NA,16/5～24/5,,1台分,48484,,154610,H733THIR-qq-e-9,H733THIR-qq-e-d-9,4511969255470,H733THIR,RS-R,Ti2000 Hi-Road,35～30/25～20,6.84/8.38,VG,78200,0,62000,,
マツダ,MPV,LY3P,FF,2300 NA,18/2～19/12,,1台分,39246,,160659,M701THIR-qq-e-1,M701THIR-qq-e-d-1,4511969262867,M701THIR,RS-R,Ti2000 Hi-Road,20～15/15～10,3.40/5.83,23C,63300,0,53000,,
マツダ,MPV,LY3P,FF,2300 TB,18/2～,,1台分,39928,,150469,M700THIR-qq-e-2,M700THIR-qq-e-d-2,4511969262775,M700THIR,RS-R,Ti2000 Hi-Road,20～15/20～15,3.83/6.67,23T,64400,0,53700,,
三菱,グランディス,NA4W,4WD,2400 NA,15/5～21/3,,1台分,38502,,153390,B625THIR-qq-e-3,B625THIR-qq-e-d-3,4511969252257,B625THIR,RS-R,Ti2000 Hi-Road,40～35/25～20,3.61/10.7,エレガンス,62100,0,52300,,
三菱,グランディス,NA4W,FF,2400 NA,15/5～21/3,,1台分,38502,,160162,B625THIR-qq-e-4,B625THIR-qq-e-d-4,4511969252257,B625THIR,RS-R,Ti2000 Hi-Road,40～35/25～20,3.61/10.7,スポーツ,62100,0,52300,,
