自動車メーカー,車種,型式,年式,変化量,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,スプリングレート(F/R)N/mm,備考,注意事項,定価,送料,SET価格
スバル,BRZ,ZC6,2012/03～2016/07,Fr：-10mm<br>Rr：-15mm,AT用,110617,,239603,V0491-10B-50-qq-e-7k,V0491-10B-50-qq-e-d-7k,V0491-10B-50,SHOWA TUNING,SPORTS Evolution極,35.0/44.0,,,128600,1000,125400
スバル,BRZ,ZC6,2012/03～2016/07,Fr：-10mm<br>Rr：-15mm,MT用,110617,,239602,V0491-10B-40-qq-e-6k,V0491-10B-40-qq-e-d-6k,V0491-10B-40,SHOWA TUNING,SPORTS Evolution極,35.0/44.0,,,128600,1000,125400
スバル,BRZ,ZC6,2016/08～,Fr：-15mm<br>Rr：-15mm,後期<br>MT用,118926,,239601,V0491-10B-60-qq-e-5k,V0491-10B-60-qq-e-d-5k,V0491-10B-60,SHOWA TUNING,SPORTS Evolution極,35.0/44.0,,前期型に装着の場合、保安基準対象外,138600,1000,133900
ダイハツ,コペン,LA400K,2014/06～,Fr：-5～-10mm<br>Rr：-5～-10mm,,110118,,239604,V0521-10B-30-qq-e-8k,V0521-10B-30-qq-e-d-8k,V0521-10B-30,SHOWA TUNING,SPORTS Evolution極,31.0/30.0,純正ビルシュタインダンパー装着車には、別途純正部品「フロントスプリングバンパー(ダストカバー+バンプラバー)」が左右1つずつ必要<br>その他の部品は基本的に流用が可能(劣化の状態等によっては新品への交換を推奨),,128000,1000,124800
トヨタ,86,ZN6,2012/04～2016/07,Fr：-10mm<br>Rr：-15mm,AT用,110617,,239600,V0491-10B-50-qq-e-4k,V0491-10B-50-qq-e-d-4k,V0491-10B-50,SHOWA TUNING,SPORTS Evolution極,35.0/44.0,,,128600,1000,125400
トヨタ,86,ZN6,2012/04～2016/07,Fr：-10mm<br>Rr：-15mm,MT用,110617,,239598,V0491-10B-40-qq-e-2k,V0491-10B-40-qq-e-d-2k,V0491-10B-40,SHOWA TUNING,SPORTS Evolution極,35.0/44.0,,,128600,1000,125400
トヨタ,86,ZN6,2016/06～,Fr：-15mm<br>Rr：-15mm,後期<br>MT用,118926,,239597,V0491-10B-60-qq-e-1k,V0491-10B-60-qq-e-d-1k,V0491-10B-60,SHOWA TUNING,SPORTS Evolution極,35.0/44.0,,前期型に装着の場合、保安基準対象外,138600,1000,133900
トヨタ,86,ZN6,2016/08～,Fr：-15mm<br>Rr：-15mm,後期<br>AT用,118926,,239599,V0491-10B-60-qq-e-3k,V0491-10B-60-qq-e-d-3k,V0491-10B-60,SHOWA TUNING,SPORTS Evolution極,35.0/44.0,,前期型に装着の場合、保安基準対象外,138600,1000,133900
ホンダ,S660,JW5,2015/04～,Fr：±0mm<br>Rr：±0mm,,110118,,239605,V0531-10B-00-qq-e-9k,V0531-10B-00-qq-e-d-9k,V0531-10B-00,SHOWA TUNING,SPORTS Evolution極,23.0/34.5,,,128000,1000,124800
ホンダ,ヴェゼル,RU3,2013/12～,Fr：-15mm<br>Rr：-,,127236,,239606,V0561-10B-00-qq-e-10k,V0561-10B-00-qq-e-d-10k,V0561-10B-00,SHOWA TUNING,SPORTS Evolution極,24.0/23.0,,,148600,1000,142400
