自動車メーカー,車種,型式,年式,変化量,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,スプリングレート(F/R)N/mm,備考,注意事項,定価,送料,SET価格
スズキ,スイフトスポーツ,ZC11S/ZC21S/ZC31S/ZC71S,2004/11～,Fr：-20～-30mm<br>Rr：-10～-20mm,,72724,,239626,V0421-10B-00-qq-e-30k,V0421-10B-00-qq-e-d-30k,V0421-10B-00,SHOWA TUNING,SPORTS,30/30,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,83000,1000,86600
スバル,BRZ,ZC6,2012/03～2016/07,Fr：-10mm<br>Rr：-15mm,MT用,77710,,239611,V0491-10B-10-qq-e-15k,V0491-10B-10-qq-e-d-15k,V0491-10B-10,SHOWA TUNING,SPORTS,31/42,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,89000,1000,91700
スバル,BRZ,ZC6,2012/03～2016/07,Fr：-5mm<br>Rr：-10mm,AT用,75216,,239612,V0491-10B-20-qq-e-16k,V0491-10B-20-qq-e-d-16k,V0491-10B-20,SHOWA TUNING,SPORTS,31/40,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,86000,1000,89100
スバル,フォレスター,SJG,2012～2015,Fr：-10mm<br>Rr：-10mm,A～C型,82861,,239613,V0571-10B-00-qq-e-17k,V0571-10B-00-qq-e-d-17k,V0571-10B-00,SHOWA TUNING,SPORTS,44.9/43.0,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,95200,1000,100000
ダイハツ,コペン,L880K,2002/06～,Fr：ノーマル同等<br>Rr：ノーマル同等,,66907,,239623,V0311-10B-31-qq-e-27k,V0311-10B-31-qq-e-d-27k,V0311-10B-31,SHOWA TUNING,SPORTS,45/20,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,76000,1000,80600
ダイハツ,コペン,LA400K,2014/06～,Fr：-5mm<br>Rr：0～-5mm,,82861,,239625,V0521-10B-10-qq-e-29k,V0521-10B-10-qq-e-d-29k,V0521-10B-10,SHOWA TUNING,SPORTS,25/26,純正ビルシュタインダンパー装着車には、別途純正部品「フロントスプリングバンパー(ダストカバー+バンプラバー)」が左右1つずつ必要<br>その他の部品は基本的に流用が可能(劣化の状態等によっては新品への交換を推奨),車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,95200,1000,97000
トヨタ,86,ZN6,2012/04～2016/07,Fr：-5mm<br>Rr：-10mm,AT用,75216,,239610,V0491-10B-20-qq-e-14k,V0491-10B-20-qq-e-d-14k,V0491-10B-20,SHOWA TUNING,SPORTS,31/40,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,86000,1000,89100
トヨタ,86,ZN6,2012/04～2016/07,Fr：-5mm<br>Rr：-10mm,MT用,75216,,239609,V0491-10B-00-qq-e-13k,V0491-10B-00-qq-e-d-13k,V0491-10B-00,SHOWA TUNING,SPORTS,31/40,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,86000,1000,89100
ホンダ,CR-Z,ZF1,2010/02～,Fr：-15～-25mm<br>Rr：-,MT用,74386,,239619,V0461-10B-00-qq-e-23k,V0461-10B-00-qq-e-d-23k,V0461-10B-00,SHOWA TUNING,SPORTS,28/34,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,85000,1000,88300
ホンダ,CR-Z,ZF1,2010/02～,Fr：-20～-30mm<br>Rr：-15～-25mm,AT用,74386,,239621,V0461-10B-00-qq-e-25k,V0461-10B-00-qq-e-d-25k,V0461-10B-00,SHOWA TUNING,SPORTS,28/34,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,85000,1000,88300
ホンダ,CR-Z,ZF2,2012/09～,Fr：-15～-25mm<br>Rr：-,MT用,74386,,239620,V0461-10B-00-qq-e-24k,V0461-10B-00-qq-e-d-24k,V0461-10B-00,SHOWA TUNING,SPORTS,28/34,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,85000,1000,88300
ホンダ,CR-Z,ZF2,2012/09～,Fr：-20～-30mm<br>Rr：-15～-25mm,AT用,74386,,239622,V0461-10B-00-qq-e-26k,V0461-10B-00-qq-e-d-26k,V0461-10B-00,SHOWA TUNING,SPORTS,28/34,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,85000,1000,88300
ホンダ,N-ONE,JG1,2012/11～,Fr：-15～-20mm<br>Rr：-20～-25mm,FF車,71893,,239618,V0501-10B-00-qq-e-4,V0501-10B-00-qq-e-d-4,V0501-10B-00,SHOWA TUNING,SPORTS,24.0/24.0,,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,82000,1000,85700
ホンダ,フィット,GK3,2013/09～,Fr：-10～-15mm<br>Rr：-5～-15mm,FF車,81034,,239614,V0511-10B-10-qq-e-18k,V0511-10B-10-qq-e-d-18k,V0511-10B-10,SHOWA TUNING,SPORTS,25.5/25.5,CVT車輌にて確認,車高はメーカー開発車両による数値のため、装着する車両により誤差が生じる場合があります,93000,1000,95100
