自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,取付位置,仕様,注意事項,定価,送料,SET価格
スズキ,Kei,HN11S/HN21S/HN12S/HN22S,,,,8479,,310141,KLRS002-3-qq-e-f2-8,KLRS002-3-qq-e-d-8,KLRS002-3,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,MRワゴン,MF21S,H13/11～H15/08,,年式によりリアショック下部の取り付け部が異なります。(画像B:リアショック下部の形状が横から挿し込む形),8479,,310174,KLRS011-03-qq-e-f2-2k,KLRS011-03-qq-e-d-2k,KLRS011-03,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,MRワゴン,MF21S,H15/09～H18/01,車体番号:140470～300000,年式によりリアショック下部の取り付け部が異なります。(画像A:リアショック下部の形状がコの字型),8479,,310145,KLRS005-1-qq-e-f2-9,KLRS005-1-qq-e-d-9,KLRS005-1,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,MRワゴン,MF21S,H15/09～H18/01,車体番号:354148～500000,年式によりリアショック下部の取り付け部が異なります。(画像A:リアショック下部の形状がコの字型),8479,,310147,KLRS005-2-qq-e-f2-10,KLRS005-2-qq-e-d-10,KLRS005-2,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,MRワゴン,MF21S,H15/09～H18/01,車体番号:531119～999999,年式によりリアショック下部の取り付け部が異なります。(画像A:リアショック下部の形状がコの字型),8479,,310148,KLRS005-3-qq-e-f2-11,KLRS005-3-qq-e-d-11,KLRS005-3,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,MRワゴン,MF22S,H18/01～,,,8479,,310149,KLRS005-4-qq-e-f2-13,KLRS005-4-qq-e-d-13,KLRS005-4,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,MRワゴン,MF33S,,,,8479,,310165,KLRS007-3-qq-e-f2-7k,KLRS007-3-qq-e-d-7k,KLRS007-3,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,アルト/アルトワークス,CN21S/CR22S/CP21S/CS22S/CL11V/CL22V/CM11V/CM22V,,,,8479,,310135,KLRS001-1-qq-e-f2-1,KLRS001-1-qq-e-d-1,KLRS001-1,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,アルト/アルトワークス,HA11S/HA21S/HB11S/HB21S,,,,8479,,310136,KLRS001-2-qq-e-f2-2,KLRS001-2-qq-e-d-2,KLRS001-2,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,アルト/アルトワークス,HA12S/HA22S/HA23S,,,,8479,,310139,KLRS002-1-qq-e-f2-3,KLRS002-1-qq-e-d-3,KLRS002-1,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,アルト/アルトワークス,HA24S,,,,8479,,310146,KLRS005-10-qq-e-f2-11k,KLRS005-10-qq-e-d-11k,KLRS005-10,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,アルト/アルトワークス,HA25S/HA35S,,,,8479,,310166,KLRS007-4-qq-e-f2-12k,KLRS007-4-qq-e-d-12k,KLRS007-4,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,アルト/アルトワークス,HA36S,,4WD専用,,8479,,310164,KLRS007-2-qq-e-f2-6,KLRS007-2-qq-e-d-6,KLRS007-2,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,エブリイ,DA17V/DA17W,,,片側ピロボール仕様,10906,,310156,KLRS006-2-qq-e-f2-16,KLRS006-2-qq-e-d-16,KLRS006-2,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),12800,500,13800
スズキ,エブリイ,DA64V/DA64W,,,片側ピロボール仕様,10906,,310155,KLRS006-1-qq-e-f2-15,KLRS006-1-qq-e-d-15,KLRS006-1,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),12800,500,13800
スズキ,ジムニー,JA12V/JA12C/JA12W/JA22W,,,,8479,,310176,LRS8-2-qq-e-f2-17,LRS8-2-qq-e-d-17,LRS8-2,Spiegel,調整式ラテラルロッド,フロント,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ジムニー,JA12V/JA12C/JA12W/JA22W,,,,8479,,310177,LRS8-3-qq-e-f2-18,LRS8-3-qq-e-d-18,LRS8-3,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ジムニー,JB23W/JB33W,,,,8479,,310175,LRS8-1-qq-e-f2-19,LRS8-1-qq-e-d-19,LRS8-1,Spiegel,調整式ラテラルロッド,フロント,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ジムニー,JB23W/JB33W/JB64W,,,,8479,,310178,LRS9-1-qq-e-f2-20,LRS9-1-qq-e-d-20,LRS9-1,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
