自動車メーカー,車種,型式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,バネレート(F/R),減衰力(F/R),車高調整幅 (F/R),備考,注意事項,定価,SET価格
スズキ,エブリイ,DA17V/DA17W,H27/02～R01/05,78204,,311633,BSYS08-1-qq-e-f1-8,BSYS08-1-qq-e-d-8,BSYS08-1,Spiegel,プロスペック・ベーシック,6k/3k,30段/24段 調整式,-10～-65/-20～-60,,純正アッパーマウントを使用しているため、キャンバー角の調整はできません。予めご了承下さい。<br>ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
スズキ,エブリイ,DA52V/DA52W,2WD,78204,,311615,BSYS07A-1-qq-e-f1-1,BSYS07A-1-qq-e-d-1,BSYS07A-1,Spiegel,プロスペック・ベーシック,6k/4k,30段/24段 調整式,0～-75/-20～-60,,純正アッパーマウントを使用しているため、キャンバー角の調整はできません。予めご了承下さい。<br>ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
スズキ,エブリイ,DA52V/DA52W,4WD,78204,,311623,BSYS07B-1-qq-e-f1-2,BSYS07B-1-qq-e-d-2,BSYS07B-1,Spiegel,プロスペック・ベーシック,6k/4k,30段/24段 調整式,0～-65/-20～-60,,純正アッパーマウントを使用しているため、キャンバー角の調整はできません。予めご了承下さい。<br>ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
スズキ,エブリイ,DA62V/DA62W,2WD,78204,,311616,BSYS07A-2-qq-e-f1-3,BSYS07A-2-qq-e-d-3,BSYS07A-2,Spiegel,プロスペック・ベーシック,6k/4k,30段/24段 調整式,0～-75/-20～-60,,純正アッパーマウントを使用しているため、キャンバー角の調整はできません。予めご了承下さい。<br>ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
スズキ,エブリイ,DA62V/DA62W,4WD,78204,,311624,BSYS07B-2-qq-e-f1-4,BSYS07B-2-qq-e-d-4,BSYS07B-2,Spiegel,プロスペック・ベーシック,6k/4k,30段/24段 調整式,0～-65/-20～-60,,純正アッパーマウントを使用しているため、キャンバー角の調整はできません。予めご了承下さい。<br>ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
スズキ,エブリイ,DA64V/DA64W,2WD(～H20/03),78204,,311617,BSYS07A-3-qq-e-f1-5,BSYS07A-3-qq-e-d-5,BSYS07A-3,Spiegel,プロスペック・ベーシック,6k/4k,30段/24段 調整式,0～-60/-10～-50,,純正アッパーマウントを使用しているため、キャンバー角の調整はできません。予めご了承下さい。<br>ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
スズキ,エブリイ,DA64V/DA64W,2WD(H20/04～),78204,,311627,BSYS07C-1-qq-e-f1-7,BSYS07C-1-qq-e-d-7,BSYS07C-1,Spiegel,プロスペック・ベーシック,6k/4k,30段/24段 調整式,0～-55/-10～-50,,純正アッパーマウントを使用しているため、キャンバー角の調整はできません。予めご了承下さい。<br>ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
スズキ,エブリイ,DA64V/DA64W,4WD(～H20/03),78204,,311618,BSYS07A-4-qq-e-f1-6,BSYS07A-4-qq-e-d-6,BSYS07A-4,Spiegel,プロスペック・ベーシック,6k/4k,30段/24段 調整式,0～-60/-10～-50,,純正アッパーマウントを使用しているため、キャンバー角の調整はできません。予めご了承下さい。<br>ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
スズキ,ラパン,HE21S,,78204,,311608,BSYS03A-1-qq-e-f1-9,BSYS03A-1-qq-e-d-9,BSYS03A-1,Spiegel,プロスペック・ベーシック,6k/4k,30段/24段 調整式,0～-90/-5～-40,,純正アッパーマウントを使用しているため、キャンバー角の調整はできません。予めご了承下さい。<br>ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
スズキ,ラパン,HE22S,,78204,,311644,BSYS52-9-qq-e-f1-10,BSYS52-9-qq-e-d-10,BSYS52-9,Spiegel,プロスペック・ベーシック,5k/2k,30段/24段 調整式,0～-90/-5～-30,,純正アッパーマウントを使用しているため、キャンバー角の調整はできません。予めご了承下さい。<br>ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
