自動車メーカー,車種,型式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,バネレート(F/R),減衰力(F/R),車高調整幅 (F/R),備考,注意事項,定価,SET価格
スズキ,Kei/Keiワークス,HN11S/HN12S/HN21S/HN22S,2WD/4WD装着可,117600,,311812,PNS59-03-qq-e-f1-419,PNS59-03-qq-e-d-419,PNS59-03,Spiegel,プロスペック・ライントレース,10k/8k,30段/30段 調整式,-50～-100/-50～-90,純正タイヤサイズでの装着は不可,こちらの製品はレース仕様に設計し製品化された車高調となっております。ご理解の上お求めください。,120000,135000
スズキ,アルト,HA12S/HA12V/HA22S/HA23S/HA23V,2WD/4WD装着可,117600,,311810,PNS59-01-qq-e-f1-420,PNS59-01-qq-e-d-420,PNS59-01,Spiegel,プロスペック・ライントレース,10k/8k,30段/30段 調整式,-50～-100/-50～-90,,こちらの製品はレース仕様に設計し製品化された車高調となっております。ご理解の上お求めください。,120000,135000
スズキ,ワゴンR,MC11S/MC12S/MC21S/MC22S,2WD/4WD装着可(1型～4型 ～H14/08),117600,,311811,PNS59-02-qq-e-f1-421,PNS59-02-qq-e-d-421,PNS59-02,Spiegel,プロスペック・ライントレース,10k/8k,30段/30段 調整式,-50～-100/-50～-90,,こちらの製品はレース仕様に設計し製品化された車高調となっております。ご理解の上お求めください。,120000,135000
ダイハツ,MAX,L950S/L952S,,117600,,311753,PND50-5-qq-e-f1-422,PND50-5-qq-e-d-422,PND50-5,Spiegel,プロスペック・ライントレース,10k/8k,30段/30段 調整式,-70～-90/-70,,こちらの製品はレース仕様に設計し製品化された車高調となっております。ご理解の上お求めください。,120000,135000
ダイハツ,エッセ,L235S,,117600,,311755,PND84-01-qq-e-f1-7k,PND84-01-qq-e-d-7k,PND84-01,Spiegel,プロスペック・ライントレース,10k/8k,30段/30段 調整式,-40～-100/-40～-80,,こちらの製品はレース仕様に設計し製品化された車高調となっております。ご理解の上お求めください。,120000,135000
ダイハツ,オプティ,L800S/L802S,,117600,,311751,PND50-3-qq-e-f1-423,PND50-3-qq-e-d-423,PND50-3,Spiegel,プロスペック・ライントレース,10k/8k,30段/30段 調整式,,,こちらの製品はレース仕様に設計し製品化された車高調となっております。ご理解の上お求めください。,120000,135000
ダイハツ,コペン,L880K,,117600,,311750,PND50-2-qq-e-f1-424,PND50-2-qq-e-d-424,PND50-2,Spiegel,プロスペック・ライントレース,10k/8k,30段/30段 調整式,-30～-80/-35～-70,,こちらの製品はレース仕様に設計し製品化された車高調となっております。ご理解の上お求めください。,120000,135000
ダイハツ,タント,L350S,,117600,,311757,PND84-03-qq-e-f1-8k,PND84-03-qq-e-d-8k,PND84-03,Spiegel,プロスペック・ライントレース,10k/8k,30段/30段 調整式,-40～-100/-40～-80,,こちらの製品はレース仕様に設計し製品化された車高調となっております。ご理解の上お求めください。,120000,135000
ダイハツ,ネイキッド,L750S,,117600,,311754,PND50-6-qq-e-f1-425,PND50-6-qq-e-d-425,PND50-6,Spiegel,プロスペック・ライントレース,10k/8k,30段/30段 調整式,-70～-90/-70,,こちらの製品はレース仕様に設計し製品化された車高調となっております。ご理解の上お求めください。,120000,135000
ダイハツ,ミラ,L250S/L250V,,117600,,311760,PND84-06-qq-e-f1-9k,PND84-06-qq-e-d-9k,PND84-06,Spiegel,プロスペック・ライントレース,10k/8k,30段/30段 調整式,-40～-100/-40～-80,,こちらの製品はレース仕様に設計し製品化された車高調となっております。ご理解の上お求めください。,120000,135000
