自動車メーカー,車種,型式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,バネレート(F/R),減衰力(F/R),車高調整幅 (F/R),備考,注意事項,定価,SET価格
スズキ,Kei,HN11S/HN12S/HN21S,2WD/4WD装着可,83104,,311791,PNS06A-5-qq-e-f1-115,PNS06A-5-qq-e-d-115,PNS06A-5,Spiegel,プロスペック・ネオ,6k/4k,30段/24段 調整式,-30～-90/-35～-60,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,84800,99800
スズキ,Kei,HN22S,2WD/4WD装着可(～6型 ～H15/08),83104,,311792,PNS06A-6-qq-e-f1-116,PNS06A-6-qq-e-d-116,PNS06A-6,Spiegel,プロスペック・ネオ,6k/4k,30段/24段 調整式,-30～-90/-35～-60,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,84800,99800
スズキ,Kei,HN22S,2WD/4WD装着可(7型～ H15/09～),88004,,311796,PNS06B-1-qq-e-f1-117,PNS06B-1-qq-e-d-117,PNS06B-1,Spiegel,プロスペック・ネオ,6k/4k,30段/24段 調整式,-30～-90/-35～-60,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,89800,104800
スズキ,アルト,CN11S/CN21S/CR22S/CS22S/CL11V/CL21V/CL22V/CM11V/CM22V,2WD/4WD装着可,83104,,311765,PNS02-3-qq-e-f1-118,PNS02-3-qq-e-d-118,PNS02-3,Spiegel,プロスペック・ネオ,6k/4k,30段/24段 調整式,-10～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,84800,99800
スズキ,アルト,HA11S/HA21S/HB11S/HB21S,2WD/4WD装着可,83104,,311766,PNS02-4-qq-e-f1-119,PNS02-4-qq-e-d-119,PNS02-4,Spiegel,プロスペック・ネオ,6k/4k,30段/24段 調整式,-10～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,84800,99800
スズキ,アルト,HA12S/HA12V/HA22S/HA23S/HA23V,2WD/4WD装着可<br>ブレーキホース形状:クリップ留め,83104,,311790,PNS06A-4-qq-e-f1-120,PNS06A-4-qq-e-d-120,PNS06A-4,Spiegel,プロスペック・ネオ,6k/4k,30段/24段 調整式,-10～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,84800,99800
スズキ,アルト,HA12S/HA12V/HA22S/HA23S/HA23V,2WD/4WD装着可<br>ブレーキホース形状:ボルト留め,88004,,311798,PNS06B-3-qq-e-f1-121,PNS06B-3-qq-e-d-121,PNS06B-3,Spiegel,プロスペック・ネオ,6k/4k,30段/24段 調整式,-10～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,89800,104800
スズキ,アルト,HA24S/HA24V,2WD/4WD装着可,83104,,311781,PNS03C-5-qq-e-f1-122,PNS03C-5-qq-e-d-122,PNS03C-5,Spiegel,プロスペック・ネオ,6k/4k,30段/24段 調整式,-20～-70/-15～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,84800,99800
スズキ,アルト,HA25S/HA25V,2WD/4WD装着可,83104,,311804,PNS52-2-qq-e-f1-123,PNS52-2-qq-e-d-123,PNS52-2,Spiegel,プロスペック・ネオ,5k/2k,30段/24段 調整式,-20～-90/-20～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,84800,99800
スズキ,アルト,HA35S,2WD/4WD装着可,78204,,311639,BSYS52-4-qq-e-f1-124,BSYS52-4-qq-e-d-124,BSYS52-4,Spiegel,プロスペック・ネオ,5k/2k,30段/24段 調整式,-15～-75/-25～-50,純正アッパーマウント使用<br>センターロックタイプ1本止め,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
