自動車メーカー,車種,型式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,バネレート(F/R),減衰力(F/R),車高調整幅 (F/R),備考,注意事項,定価,SET価格
スズキ,Kei,HN11S/HN12S/HN21S,2WD/4WD装着可,96040,,311973,STPNS06A-4-qq-e-f1-294,STPNS06A-4-qq-e-d-294,STPNS06A-4,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-30～-90/-35～-60,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,Kei,HN22S,2WD/4WD装着可(～6型 ～H15/08),96040,,311974,STPNS06A-5-qq-e-f1-296,STPNS06A-5-qq-e-d-296,STPNS06A-5,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-30～-90/-35～-60,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,Kei,HN22S,2WD/4WD装着可(7型～ H15/09～),100940,,311979,STPNS06B-1-qq-e-f1-295,STPNS06B-1-qq-e-d-295,STPNS06B-1,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-30～-90/-35～-60,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,103000,118000
スズキ,MRワゴン,MF21S,2WD/4WD装着可,96040,,311952,STPNS03A-2-qq-e-f1-297,STPNS03A-2-qq-e-d-297,STPNS03A-2,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-45/-5～-30,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,MRワゴン,MF22S,2WD/4WD装着可,96040,,311962,STPNS03C-3-qq-e-f1-298,STPNS03C-3-qq-e-d-298,STPNS03C-3,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-45/-5～-30,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,アルト,CN11S/CN21S/CR22S/CS22S/CL11V/CL21V/CL22V/CM11V/CM22V,2WD/4WD装着可,96040,,311948,STPNS02-3-qq-e-f1-299,STPNS02-3-qq-e-d-299,STPNS02-3,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-10～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,アルト,HA11S/HA21S/HB11S/HB21S,2WD/4WD装着可,96040,,311949,STPNS02-4-qq-e-f1-300,STPNS02-4-qq-e-d-300,STPNS02-4,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-10～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,アルト,HA12S/HA12V/HA22S/HA23S/HA23V,2WD/4WD装着可<br>ブレーキホース形状:クリップ留め,96040,,311972,STPNS06A-3-qq-e-f1-301,STPNS06A-3-qq-e-d-301,STPNS06A-3,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-10～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,アルト,HA12S/HA12V/HA22S/HA23S/HA23V,2WD/4WD装着可<br>ブレーキホース形状:ボルト留め,100940,,311981,STPNS06B-3-qq-e-f1-17k,STPNS06B-3-qq-e-d-17k,STPNS06B-3,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-10～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,103000,118000
スズキ,アルト,HA24S/HA24V,2WD/4WD装着可,96040,,311964,STPNS03C-5-qq-e-f1-302,STPNS03C-5-qq-e-d-302,STPNS03C-5,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-20～-70/-15～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,アルト,HA25S/HA25V,2WD/4WD装着可,96040,,312004,STPNS52-2-qq-e-f1-303,STPNS52-2-qq-e-d-303,STPNS52-2,Spiegel,プロスペック・ステージII,5k/2k,30段/30段 調整式,-20～-90/-20～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,アルト,HA35S,2WD/4WD装着可,96040,,312006,STPNS52-4-qq-e-f1-304,STPNS52-4-qq-e-d-304,STPNS52-4,Spiegel,プロスペック・ステージII,5k/2k,30段/30段 調整式,-20～-85/-25～-50,フロント調整式ピロアッパーマウント付<br>フロントアッパー2本止め,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,エブリイ,DA17V/DA17W,H27/02～R01/05,96040,,312002,STPNS08-1-qq-e-f1-18k,STPNS08-1-qq-e-d-18k,STPNS08-1,Spiegel,プロスペック・ステージII,6k/3k,30段/30段 調整式,-10～-70/-20～-60,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,エブリイ,DA52V/DA52W,2WD,96040,,311984,STPNS07A-1-qq-e-f1-305,STPNS07A-1-qq-e-d-305,STPNS07A-1,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-60/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,エブリイ,DA52V/DA52W,4WD,96040,,311992,STPNS07B-1-qq-e-f1-306,STPNS07B-1-qq-e-d-306,STPNS07B-1,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-50/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,エブリイ,DA62V/DA62W,2WD,96040,,311985,STPNS07A-2-qq-e-f1-307,STPNS07A-2-qq-e-d-307,STPNS07A-2,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,エブリイ,DA62V/DA62W,4WD,96040,,311993,STPNS07B-2-qq-e-f1-308,STPNS07B-2-qq-e-d-308,STPNS07B-2,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,エブリイ,DA64V/DA64W,2WD(～H20/03),96040,,311986,STPNS07A-3-qq-e-f1-309,STPNS07A-3-qq-e-d-309,STPNS07A-3,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-60/-10～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,エブリイ,DA64V/DA64W,2WD(H20/04～),96040,,311996,STPNS07C-1-qq-e-f1-311,STPNS07C-1-qq-e-d-311,STPNS07C-1,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-60/-10～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,エブリイ,DA64V/DA64W,4WD(～H20/03),96040,,311987,STPNS07A-4-qq-e-f1-310,STPNS07A-4-qq-e-d-310,STPNS07A-4,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-60/-10～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,エブリイ,DE51V/DF51V,,57820,,312032,STFPNS33-01-qq-e-f1-19k,出さない,STFPNS33-01,Spiegel,プロスペック・ステージII,6k/-,30段/- 調整式,-30～-70/-,フロント調整式ピロアッパーマウント付<br>車高調はフロントのみ,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,59000,出さない
