自動車メーカー,車種,型式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,バネレート(F/R),減衰力(F/R),車高調整幅 (F/R),備考,注意事項,定価,SET価格
スズキ,MRワゴン,MF21S,2WD/4WD装着可,83104,,311769,PNS03A-2-qq-e-f1-104k,PNS03A-2-qq-e-d-104k,PNS03A-2,Spiegel,プロスペック・ワゴン,6k/4k,30段/24段 調整式,0～-45/-5～-30,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,84800,99800
スズキ,MRワゴン,MF22S,2WD/4WD装着可,83104,,311779,PNS03C-3-qq-e-f1-105k,PNS03C-3-qq-e-d-105k,PNS03C-3,Spiegel,プロスペック・ワゴン,6k/4k,30段/24段 調整式,-20～-70/-15～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,84800,99800
スズキ,MRワゴン,MF33S,2WD/4WD装着可,78204,,311637,BSYS52-2-qq-e-f1-106k,BSYS52-2-qq-e-d-106k,BSYS52-2,Spiegel,プロスペック・ワゴン,5k/2k,30段/24段 調整式,～-70/～-40,純正アッパーマウント使用,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,94800
スズキ,エブリイ,DE51V/DF51V,2WD/4WD装着可,48804,,312044,FPNS33-1-qq-e-f1-107k,出さない,FPNS33-1,Spiegel,プロスペック・ワゴン,6k/-,30段/- 調整式,-30～-70/-,フロント調整式ピロアッパーマウント付<br>車高調はフロントのみ,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,49800,出さない
スズキ,キャリイトラック,DA16T,スーパーキャリイ適合不可,78204,,312026,PNS56A-01-qq-e-f1-109k,出さない,PNS56A-01,Spiegel,プロスペック・ワゴン,6k/-,30段/- 調整式,,フロント調整式ピロアッパーマウント付<br>フロント車高調・リアショック(リーフは付属しません),ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,出さない
スズキ,キャリイトラック,DA16T,スーパーキャリイ適合不可,48804,,312039,FBSYS56-90001-qq-e-f1-108k,出さない,FBSYS56-90001,Spiegel,プロスペック・ワゴン,6k/-,30段/- 調整式,,純正アッパーマウント使用<br>車高調はフロントのみ,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,49800,出さない
スズキ,キャリイトラック,DA62T/DA63T,2WD/4WD,48804,,312018,FPNS05-1-qq-e-f1-111k,出さない,FPNS05-1,Spiegel,プロスペック・ワゴン,6k/-,30段/- 調整式,0～-70/-,フロント調整式ピロアッパーマウント付<br>車高調はフロントのみ,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,49800,出さない
スズキ,キャリイトラック,DA62T/DA63T,2WD/4WD,78204,,312025,PNS09A-1-qq-e-f1-110k,出さない,PNS09A-1,Spiegel,プロスペック・ワゴン,6k/-,30段/24段 調整式,0～-70/-,フロント調整式ピロアッパーマウント付<br>フロント車高調・リアショック(リーフは付属しません),ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,79800,出さない
スズキ,キャリイトラック,DA63T,2WD<br>特装車装着不可,107800,,312050,PNS09B-1-qq-e-f1-112k,出さない,PNS09B-1,Spiegel,プロスペック・ワゴン,6k/5.8k,30段/24段 調整式,0～-70/-40～-45,フロント調整式ピロアッパーマウント付<br>フロント車高調・リアリーフ&ショックのセット商品<br>強度検討書付き<br>車検非対応(要構造変更申請),ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,110000,出さない
スズキ,キャリイトラック,DC51T/DD51T,2WD/4WD,48804,,312045,FPNS33-2-qq-e-f1-113k,出さない,FPNS33-2,Spiegel,プロスペック・ワゴン,6k/-,30段/- 調整式,0～-70/-,フロント調整式ピロアッパーマウント付<br>車高調はフロントのみ,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,49800,出さない
