自動車メーカー,車種,型式,年式,駆動方式,適合詳細,減衰力,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,スプリング K(F/R),車高調整可能範囲ノーマル比mm(F/R),その他仕様,備考,注意事項,定価,SET価格,C_SET価格
スズキ,MRワゴン,MF21S,01/11～03/08,FF/4WD,1型,15段調整式,66750,60075,242109,SR-S402-qq-e-257,SR-S402-qq-e-d-257,SR-S402,STREET RIDE,ダンパー タイプK2,4.0/2.5,-65～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,MRワゴン,MF21S,01/11～03/08,FF/4WD,1型,固定式,58500,52650,242175,SR-S502-qq-e-165,SR-S502-qq-e-d-165,SR-S502,STREET RIDE,ダンパー タイプK2,4.0/2.5,-65～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,MRワゴン,MF21S,03/09～05/12,FF/4WD,1～2型,15段調整式,66750,60075,242328,SR-S402-qq-e-258,SR-S402-qq-e-d-258,SR-S402,STREET RIDE,ダンパー タイプK2,4.0/2.5,-65～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,MRワゴン,MF21S,03/09～05/12,FF/4WD,1～2型,固定式,58500,52650,242375,SR-S502-qq-e-166,SR-S502-qq-e-d-166,SR-S502,STREET RIDE,ダンパー タイプK2,4.0/2.5,-65～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,MRワゴン,MF22S,06/01～11/01,FF/4WD,1～3型,15段調整式,66750,60075,242335,SR-S403-qq-e-259,SR-S403-qq-e-d-259,SR-S403,STREET RIDE,ダンパー タイプK2,4.0/3.0,-80～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,MRワゴン,MF22S,06/01～11/01,FF/4WD,1～3型,固定式,58500,52650,242188,SR-S503-qq-e-167,SR-S503-qq-e-d-167,SR-S503,STREET RIDE,ダンパー タイプK2,4.0/3.0,-80～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,MRワゴンWit,MF22S,06/12～11/01,FF/4WD,1～3型,15段調整式,66750,60075,242336,SR-S403-qq-e-260,SR-S403-qq-e-d-260,SR-S403,STREET RIDE,ダンパー タイプK2,4.0/3.0,-80～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,MRワゴンWit,MF22S,06/12～11/01,FF/4WD,1～3型,固定式,58500,52650,242189,SR-S503-qq-e-168,SR-S503-qq-e-d-168,SR-S503,STREET RIDE,ダンパー タイプK2,4.0/3.0,-80～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルト,HA24S,04/09～09/12,FF/4WD,1～4型,15段調整式,66750,60075,242124,SR-S403-qq-e-261,SR-S403-qq-e-d-261,SR-S403,STREET RIDE,ダンパー タイプK2,4.0/3.0,-80～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルト,HA24S,04/09～09/12,FF/4WD,1～4型,固定式,58500,52650,242384,SR-S503-qq-e-169,SR-S503-qq-e-d-169,SR-S503,STREET RIDE,ダンパー タイプK2,4.0/3.0,-80～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
