自動車メーカー,車種,型式,年式,駆動方式,適合詳細,減衰力,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,スプリング K(F/R),車高調整可能範囲ノーマル比mm(F/R),その他仕様,備考,注意事項,定価,SET価格,C_SET価格
スズキ,MRワゴン,MF21S,01/11～03/08,FF/4WD,1型,15段調整式,86250,77625,242117,SR-S402MC-qq-e-433,SR-S402MC-qq-e-d-433,SR-S402MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.5,-50～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,MRワゴン,MF21S,01/11～03/08,FF/4WD,1型,固定式,78000,70200,242183,SR-S502MC-qq-e-355,SR-S502MC-qq-e-d-355,SR-S502MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.5,-50～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,MRワゴン,MF21S,03/09～05/12,FF/4WD,1～2型,15段調整式,86250,77625,242331,SR-S402MC-qq-e-434,SR-S402MC-qq-e-d-434,SR-S402MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.5,-50～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,MRワゴン,MF21S,03/09～05/12,FF/4WD,1～2型,固定式,78000,70200,242184,SR-S502MC-qq-e-356,SR-S502MC-qq-e-d-356,SR-S502MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.5,-50～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,MRワゴン,MF22S,06/01～11/01,FF/4WD,1～3型,15段調整式,86250,77625,242129,SR-S403MC-qq-e-435,SR-S403MC-qq-e-d-435,SR-S403MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/3.0,-55～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,MRワゴン,MF22S,06/01～11/01,FF/4WD,1～3型,固定式,78000,70200,242388,SR-S503MC-qq-e-357,SR-S503MC-qq-e-d-357,SR-S503MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/3.0,-55～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,MRワゴンWit,MF22S,06/12～11/01,FF/4WD,1～3型,15段調整式,86250,77625,242338,SR-S403MC-qq-e-436,SR-S403MC-qq-e-d-436,SR-S403MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/3.0,-55～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,MRワゴンWit,MF22S,06/12～11/01,FF/4WD,1～3型,固定式,78000,70200,242192,SR-S503MC-qq-e-358,SR-S503MC-qq-e-d-358,SR-S503MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/3.0,-55～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルト,HA24S,04/09～09/12,FF/4WD,1～4型,15段調整式,86250,77625,242339,SR-S403MC-qq-e-437,SR-S403MC-qq-e-d-437,SR-S403MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/3.0,-55～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルト,HA24S,04/09～09/12,FF/4WD,1～4型,固定式,78000,70200,242389,SR-S503MC-qq-e-359,SR-S503MC-qq-e-d-359,SR-S503MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/3.0,-55～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
