自動車メーカー,車種,型式,年式,駆動方式,適合詳細,減衰力,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,スプリング K(F/R),車高調整可能範囲ノーマル比mm(F/R),その他仕様,備考,注意事項,定価,SET価格,C_SET価格
トヨタ,アルファード,ANH10W/ANH15W/MNH15W,02/05～08/05,FF/4WD,,,67500,60750,242419,SR-WT201-qq-e-1,SR-WT201-qq-e-d-1,SR-WT201,STREET RIDE,ダンパー タイプワゴン,8.0/7.3,-75～-20/-67～-26,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-25/-30,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,アルファード,MNH10W,02/05～08/05,FF,,,67500,60750,242265,SR-WT201-qq-e-3,SR-WT201-qq-e-d-3,SR-WT201,STREET RIDE,ダンパー タイプワゴン,8.0/7.3,-81～-10/-52～-11,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-25/-15,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,アルファード/ヴェルファイア,ANH20W/GGH20W,08/05～15/01,FF,,,67500,60750,242266,SR-WT202-qq-e-5,SR-WT202-qq-e-d-5,SR-WT202,STREET RIDE,ダンパー タイプワゴン,7.0/7.0,-65～+10/-66～-23,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-34/-34,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,アルファード/ヴェルファイア,ANH25W/GGH25W,08/05～15/01,4WD,,,67500,60750,242420,SR-WT202-qq-e-7,SR-WT202-qq-e-d-7,SR-WT202,STREET RIDE,ダンパー タイプワゴン,8.0/7.0,-56～+19/-91～-48,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-34/-34,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,アルファード/ヴェルファイア,GGH30W/AGH30W,15/01～,FF,Executive Lounge未確認,,67500,60750,242276,SR-WT208-qq-e-9,SR-WT208-qq-e-d-9,SR-WT208,STREET RIDE,ダンパー タイプワゴン,7.0/9.0,-110～-30/-90～-50,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-70/-70,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,アルファードハイブリッド/ヴェルファイアハイブリッド,AYH30W,15/01～,4WD,Executive Lounge未確認,,67500,60750,242275,SR-WT208-qq-e-10,SR-WT208-qq-e-d-10,SR-WT208,STREET RIDE,ダンパー タイプワゴン,7.0/9.0,-110～-30/-90～-50,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-70/-70,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,イプサム,ACM21W,01/05～09/12,FF,,,67500,60750,242271,SR-WT205-qq-e-11,SR-WT205-qq-e-d-11,SR-WT205,STREET RIDE,ダンパー タイプワゴン,7.0/6.0,-82～+13/-46～-13,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-39/-36,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,エスティマ,ACR30W/MCR30W,00/01～06/01,FF,,,67500,60750,242267,SR-WT203-qq-e-12,SR-WT203-qq-e-d-12,SR-WT203,STREET RIDE,ダンパー タイプワゴン,8.0/8.0,-96～+3/-67～-24,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-35/-35,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,エスティマ,ACR40W/MCR40W,00/01～06/01,4WD,,,67500,60750,242268,SR-WT203-qq-e-14,SR-WT203-qq-e-d-14,SR-WT203,STREET RIDE,ダンパー タイプワゴン,8.0/8.0,-111～-12/-97～-54,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-50/-65,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,ノア/ヴォクシー,ZRR70W/ZRR70G,07/06～,FF,,,67500,60750,242272,SR-WT205-qq-e-20,SR-WT205-qq-e-d-20,SR-WT205,STREET RIDE,ダンパー タイプワゴン,7.0/6.0,-90～-10/-76～-42,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-45/-46,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,ノア/ヴォクシー,ZRR75W/ZRR75G,07/06～,4WD,,,67500,60750,242273,SR-WT205-qq-e-21,SR-WT205-qq-e-d-21,SR-WT205,STREET RIDE,ダンパー タイプワゴン,7.0/6.0,-95～-15/-106～-72,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-50/-76,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,プリウス,ZVW30,09/05～,FF,,,67500,60750,242421,SR-WT206-qq-e-22,SR-WT206-qq-e-d-22,SR-WT206,STREET RIDE,ダンパー タイプワゴン,5.0/4.0,-64～+1/-65～-30,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-29/-47,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
トヨタ,プリウスα,ZVW40/ZVW41W,11/05～,FF,,,67500,60750,242274,SR-WT207-qq-e-24,SR-WT207-qq-e-d-24,SR-WT207,STREET RIDE,ダンパー タイプワゴン,5.0/4.0,-59～+6/-68～-33,スプリング形状(F/R):直巻/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-34/-38,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,90000,78000,71700
