自動車メーカー,車種,型式,年式,駆動方式,適合詳細,減衰力,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,スプリング K(F/R),車高調整可能範囲ノーマル比mm(F/R),その他仕様,備考,注意事項,定価,SET価格,C_SET価格
トヨタ,アルファード,ANH10W/ANH15W/MNH15W,02/05～08/05,FF/4WD,,,65250,58725,242277,SR-WT601-qq-e-2,SR-WT601-qq-e-d-2,SR-WT601,STREET RIDE,ダンパー タイプワゴンNM,6.0/6.5,-90～+3/-72～-31,スプリング形状(F/R):樽型/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-30/-35,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,87000,75900,69900
トヨタ,アルファード,MNH10W,02/05～08/05,FF,,,65250,58725,242422,SR-WT601-qq-e-4,SR-WT601-qq-e-d-4,SR-WT601,STREET RIDE,ダンパー タイプワゴンNM,6.0/6.5,-95～-2/-57～-16,スプリング形状(F/R):樽型/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-30/-20,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,87000,75900,69900
トヨタ,アルファード/ヴェルファイア,ANH20W/GGH20W,08/05～15/01,FF,,,65250,58725,242423,SR-WT602-qq-e-6,SR-WT602-qq-e-d-6,SR-WT602,STREET RIDE,ダンパー タイプワゴンNM,6.0/7.0,-82～-12/-68～-15,スプリング形状(F/R):テーパー/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-34/-34,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,87000,75900,69900
トヨタ,アルファード/ヴェルファイア,ANH25W/GGH25W,08/05～15/01,4WD,,,65250,58725,242424,SR-WT602-qq-e-8,SR-WT602-qq-e-d-8,SR-WT602,STREET RIDE,ダンパー タイプワゴンNM,6.0/7.0,-73～-3/-93～-41,スプリング形状(F/R):テーパー/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-25/-46,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,87000,75900,69900
トヨタ,エスティマ,ACR30W/MCR30W,00/01～06/01,FF,,,65250,58725,242425,SR-WT603-qq-e-13,SR-WT603-qq-e-d-13,SR-WT603,STREET RIDE,ダンパー タイプワゴンNM,6.0/6.0,-85～+3/-65～-20,スプリング形状(F/R):樽型/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-45/-48,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,87000,75900,69900
トヨタ,エスティマ,ACR40W/MCR40W,00/01～06/01,4WD,,,65250,58725,242426,SR-WT603-qq-e-15,SR-WT603-qq-e-d-15,SR-WT603,STREET RIDE,ダンパー タイプワゴンNM,6.0/6.0,-107～-19/-95～-50,スプリング形状(F/R):樽型/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-53/-63,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,87000,75900,69900
トヨタ,エスティマ,ACR50W/GSR50W,06/01～,FF,,,65250,58725,242427,SR-WT604-qq-e-17,SR-WT604-qq-e-d-17,SR-WT604,STREET RIDE,ダンパー タイプワゴンNM,6.0/7.0,-76～+1/-57～-3,スプリング形状(F/R):テーパー/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-33/-30,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,87000,75900,69900
トヨタ,エスティマ,ACR55W/GSR55W,06/01～,4WD,,,65250,58725,242428,SR-WT604-qq-e-19,SR-WT604-qq-e-d-19,SR-WT604,STREET RIDE,ダンパー タイプワゴンNM,6.0/7.0,-71～+6/-69～-15,スプリング形状(F/R):テーパー/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-28/-54,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,87000,75900,69900
トヨタ,プリウス,ZVW30,09/05～,FF,,,65250,58725,242278,SR-WT606-qq-e-23,SR-WT606-qq-e-d-23,SR-WT606,STREET RIDE,ダンパー タイプワゴンNM,4.0/3.5,-75～-9/-63～-29,スプリング形状(F/R):テーパー/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-24/-35,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,87000,75900,69900
トヨタ,プリウスα,ZVW40/ZVW41W,11/05～,FF,,,65250,58725,242429,SR-WT607-qq-e-25,SR-WT607-qq-e-d-25,SR-WT607,STREET RIDE,ダンパー タイプワゴンNM,4.0/4.0,-84～-4/-57～-23,スプリング形状(F/R):テーパー/荒巻<br>基準ダウン量 ノーマル比mm(F/R):-29/-33,,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください<br>上記寸法は標準グレードを基準にしております<br>車種、グレードにより、純正車高が標準グレードより低い設定の場合、上記ダウン量とは異なりますので、予めご了承ください,87000,75900,69900
