自動車メーカー,車種,型式,年式,適合詳細,備考,注意事項,対応純正品番,タイプ,販売価格,Camp価格,商品ID,物販コード,メーカー名,商品名,取付位置
イスズ,ジェミニ,MJ4/MJ5/MJ6,97/02～02/08,全グレード,参考DENSO品番:DCC3002,,08R79-S04-A00/08R79-S04-B00,カーボンタイプ,1530,,259073,30080203007-qq-218,STRIKE,エアコンフィルター カーボンタイプ,
スズキ,Kei,HN11S/HN12S/HN21S/HN22S,98/10～09/08,全グレード,,,95860-81A10,カーボンタイプ,1290,,258723,30080208002-qq-213,STRIKE,エアコンフィルター カーボンタイプ,
スズキ,Kei,HN11S/HN12S/HN21S/HN22S,98/10～09/09,,,,95860-81A00,,1246,,259040,30080108002-qq-183,STRIKE,エアコンフィルター,
スズキ,MRワゴン,MF21S,01/12～06/01,全グレード,,,95860-81A10,カーボンタイプ,1290,,258724,30080208002-qq-214,STRIKE,エアコンフィルター カーボンタイプ,
スズキ,MRワゴン,MF21S,01/12～06/01,,,,95860-81A00,,1246,,258571,30080108002-qq-181,STRIKE,エアコンフィルター,
スズキ,MRワゴン,MF22S/MF33S,MF22S:06/01～11/01<br>MF33S:11/01～,,,,95860-58J00,,1258,,258566,30080108001-qq-77,STRIKE,エアコンフィルター,
スズキ,MRワゴン,MF22S/MF33S,MF22S:06/01～11/01<br>MF33S:11/01～13/07,全グレード,参考DENSO品番:DCC7003,,95860-58J00/99000-79N29/99000-990C5-A01,カーボンタイプ,1510,,258751,30080208003-qq-218,STRIKE,エアコンフィルター カーボンタイプ,
スズキ,MRワゴン,MF22S/MF33S,MF22S:06/01～11/01<br>MF33S:11/01～13/07,全グレード,参考DENSO品番:DCC7003,,95860-58J00/99000-79N29/99000-990C5-A01,カーボンタイプ PM2.5cut ver.,1679,,259190,30080308001-qq-105,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.,
スズキ,MRワゴン/MRワゴンWit,MF33,13/07～,全グレード,参考DENSO品番:DCC7006,,95861-50ME0/99000-990C5-A02,カーボンタイプ,1290,,258768,30080208005-qq-173,STRIKE,エアコンフィルター カーボンタイプ,
スズキ,アルト,HA12S/HA22S/HA23S,98/10～04/09,全グレード(2シーター除く),,,95860-81A10,カーボンタイプ,1290,,259101,30080208002-qq-219,STRIKE,エアコンフィルター カーボンタイプ,
スズキ,アルト,HA12S/HA22S/HA23S,98/10～04/09,,,,95860-81A00,,1246,,258569,30080108002-qq-176,STRIKE,エアコンフィルター,
スズキ,アルト,HA24S/HA25S,HA24S:04/09～09/12<br>HA25S:09/12～,,,,95860-58J00,,1258,,258563,30080108001-qq-72,STRIKE,エアコンフィルター,
スズキ,アルト,HA24V/HA24S/HA25V/HA25S,HA24V/HA24S:04/09～09/12<br>HA25V/HA25S:09/12～13/03,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ,1510,,258752,30080208003-qq-221,STRIKE,エアコンフィルター カーボンタイプ,
スズキ,アルト,HA24V/HA24S/HA25V/HA25S,HA24V/HA24S:04/09～09/12<br>HA25V/HA25S:09/12～13/03,全グレード,参考DENSO品番:DCC7003,,95860-58J00,カーボンタイプ PM2.5cut ver.,1679,,258916,30080308001-qq-108,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.,
スズキ,アルトエコ,HA12V/HA23V,98/10～05/01,,,,95860-81A00,,1246,,259038,30080108002-qq-177,STRIKE,エアコンフィルター,
スズキ,アルトエコ,HA35S,11/12～,,,,95860-58J00,,1258,,258564,30080108001-qq-73,STRIKE,エアコンフィルター
スズキ,アルトエコ,HA35S,11/12～13/03,全グレード,参考DENSO品番:DCC7003,,95860-58J00/99000-79N29/99000-990C5-A01,カーボンタイプ,1510,,258753,30080208003-qq-222,STRIKE,エアコンフィルター カーボンタイプ
スズキ,アルトエコ,HA35S,11/12～13/03,全グレード,参考DENSO品番:DCC7003,,95860-58J00/99000-990C5-A01/99000-79N29,カーボンタイプ PM2.5cut ver.,1679,,258917,30080308001-qq-109,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スズキ,アルトバン,HA24V/HA25V,HA24V:05/01～09/12<br>HA25V:09/12～,,,,95860-58J00,,1258,,258565,30080108001-qq-75,STRIKE,エアコンフィルター
スズキ,アルトラパン,HE21S,02/01～08/11,全グレード,,,95860-81A10,カーボンタイプ,1290,,258725,30080208002-qq-225,STRIKE,エアコンフィルター カーボンタイプ
スズキ,アルトラパン/アルトラパンショコラ,HE22,アルトラパン:08/11～<br>アルトラパンショコラ:13/06～,全グレード,参考DENSO品番:DCC7006,,95861-82K00/99000-990C5-A02,カーボンタイプ,1290,,258769,30080208005-qq-174,STRIKE,エアコンフィルター カーボンタイプ
スズキ,アルトワークス,HA12S/HA22S,98/10～00/12,全グレード,,,95860-81A10,カーボンタイプ,1290,,258726,30080208002-qq-226,STRIKE,エアコンフィルター カーボンタイプ
スズキ,エブリイ,DA52V/DA52W/DA62V/DA62W/DB52V,99/01～05/08,,,,95860-81A00,,1246,,258570,30080108002-qq-178,STRIKE,エアコンフィルター
スズキ,エブリイ,DA52V/DA62V/DB52V,99/01～05/08,全グレード,,,95860-81A10,カーボンタイプ,1290,,258727,30080208002-qq-227,STRIKE,エアコンフィルター カーボンタイプ
スズキ,エブリイ,DA64,05/08～,全グレード,参考DENSO品番:DCC7004,,95861-68H00/99000-990C5-A00,カーボンタイプ,1290,,259124,30080208004-qq-176,STRIKE,エアコンフィルター カーボンタイプ
スズキ,エブリイ,DA64#,05/09～,,,,99000-990C5-A00,,1308,,258582,30080108004-qq-136,STRIKE,エアコンフィルター
スズキ,エブリイ+/エブリイランディ,DA32W,エブリイ+:99/06～01/05<br>エブリイランディ:01/05～05/06,,,,95860-81A00,,1246,,259039,30080108002-qq-180,STRIKE,エアコンフィルター
スズキ,エブリイ+/エブリイランディ,DA32W,エブリイ+:99/06～01/05<br>エブリイランディ:01/05～05/08,全グレード,,,95860-81A10,カーボンタイプ,1290,,258728,30080208002-qq-228,STRIKE,エアコンフィルター カーボンタイプ
スズキ,キャリイ,DA16T,13/09～,販売店オプションフィルター車,参考DENSO品番:DCC7001,,99000-99079-67H,カーボンタイプ,1290,,258740,30080208002-qq-230,STRIKE,エアコンフィルター カーボンタイプ
スズキ,キャリイ,DA52/DA62/DA63/DA65/DB52,99/01～10/02,販売店オプションフィルター車,参考DENSO品番:DCC7001,,99000-990N2-A10,カーボンタイプ,1290,,258742,30080208002-qq-232,STRIKE,エアコンフィルター カーボンタイプ
スズキ,キャリイ,DA52T/DA62T/DA63T/DA65T/DB52T,10/02～13/09,全グレード,参考DENSO品番:DCC7001,,99000-99079-67H,カーボンタイプ,1290,,258741,30080208002-qq-231,STRIKE,エアコンフィルター カーボンタイプ
